1728232019
0xfa3a 0xf955 0xf8bd 0xf88c 0xf837 0xf8c9 0xf68b 0xf66a 0xf65f 0xf68c 0xf718 0xf7ad 0xf8b5 0xf9ec 0xfabd 0xfc24 
0xf99c 0xf8e6 0xf849 0xf7fd 0xf94b 0x06f9 0xf5d6 0xf590 0xf574 0xf5bb 0xf66b 0xf809 0xf981 0xfa59 0xfb01 0xfb84 
0xf902 0xf81b 0xf774 0xf6b8 0xf5bd 0xf533 0xf4ce 0xf4a2 0xf4a3 0xf51b 0xf701 0xf899 0xf920 0xf9f9 0xfab8 0xfb22 
0xf8df 0xf7f2 0xf717 0xf647 0xf531 0xf479 0xf451 0xf41f 0xf42e 0xf5a6 0xf7c1 0xf84f 0xf8f0 0xf9e5 0xfa65 0xfac7 
0xf88c 0xf77f 0xf6b1 0xf5c5 0xf4c3 0xf42e 0xf3c9 0xf3a7 0xf44a 0xf6bc 0xf745 0xf7da 0xf90e 0xf91d 0xf993 0xfa9e 
0xf867 0xf76f 0xf684 0xf5a2 0xf498 0xf401 0xf3bd 0xf3c8 0xf61a 0xf701 0xf73e 0xf828 0xf86c 0xf8df 0xf993 0xfa9e 
0xf861 0xf74f 0xf671 0xf582 0xf48c 0xf3d8 0xf398 0xf513 0xf62f 0xf69b 0xf78f 0xf812 0xf81d 0xf8db 0xf9df 0xfae2 
0xf885 0xf78e 0xf6b5 0xf5c8 0xf4e5 0xf442 0xf46f 0xf6c3 0xf6c7 0xf769 0xf7f5 0xf7d6 0xf857 0xf908 0xfa37 0xfb01 
0xf8ae 0xf7b4 0xf6ed 0xf626 0xf538 0xf4c1 0xf5ca 0xf719 0xf786 0xf7ce 0xf813 0xf820 0xf8ad 0xf95b 0xfa55 0xfb21 
0xf8fe 0xf832 0xf775 0xf6ca 0xf5f4 0xf5cf 0xf710 0xf767 0xf791 0xf811 0xf845 0xf8e5 0xf984 0xfa22 0xface 0xfb8d 
0xf95e 0xf892 0xf7ec 0xf749 0xf6bc 0xf6d7 0xf7d5 0xf7bd 0xf851 0xf892 0xf91c 0xf971 0xf9f9 0xfa6f 0xfb23 0xfc18 
0xfaca 0xf8ee 0xf887 0xf7dc 0xf781 0xf80e 0xf8a0 0xf886 0xf8e6 0xf931 0xf9ba 0xfa07 0xfa71 0xfaf0 0xfbc7 0xfd55 
0x45d8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7d 0xf503 0x1a86 0xd912 0xffea 0xffec 0xfffb 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06c8 0x1b22 0x1b22 0x1b22 0x1b22 0x1b21 0x1b21 0x1b21 0xfd7a 0xce70 0xd0d0 0xd8df 0xffed 0xffe8 0xfffc 0xfffd 
