1728232079
0xfba0 0xfade 0xfa6e 0xfa0f 0xf99e 0xf933 0xf910 0xf8ee 0xf8dc 0xf914 0xf95e 0xf9d7 0xfa28 0xfa7e 0xfb44 0xfd04 
0xfb3e 0xfab9 0xfa32 0xf9a5 0xf935 0xf8ba 0xf89a 0xf83d 0xf850 0xf883 0xf8ec 0xf950 0xf9c4 0xfa33 0xfac8 0xfbda 
0xfae8 0xfa34 0xf98c 0xf91c 0xf869 0xf802 0xf7e0 0xf7a7 0xf78c 0xf7d2 0xf831 0xf8a4 0xf933 0xf9b3 0xfa5c 0xfafe 
0xfaac 0xfa02 0xf966 0xf8be 0xf82e 0xf79a 0xf775 0xf733 0xf728 0xf76d 0xf7d1 0xf85e 0xf8d1 0xf9a3 0xfa35 0xfaeb 
0xfa65 0xf9ac 0xf90c 0xf84f 0xf7a5 0xf728 0xf6e8 0xf6e2 0xf6bf 0xf6f5 0xf76c 0xf7ef 0xf883 0xf93e 0xf9f2 0xfaa8 
0xfa68 0xf99d 0xf8fb 0xf843 0xf78f 0xf72b 0xf6dc 0xf6ab 0xf6b8 0xf6cb 0xf762 0xf7d4 0xf86b 0xf92a 0xf9e0 0xfaa4 
0xfa2f 0xf979 0xf8d8 0xf844 0xf786 0xf6fd 0xf6ba 0xf681 0xf67f 0xf6bc 0xf760 0xf7cc 0xf84e 0xf90e 0xf9d0 0xfa92 
0xfa53 0xf99a 0xf911 0xf875 0xf7c6 0xf73a 0xf6fd 0xf6f2 0xf6da 0xf712 0xf7b0 0xf80c 0xf87e 0xf944 0xfa22 0xfac6 
0xfa53 0xf9b3 0xf919 0xf87e 0xf7cb 0xf73c 0xf72c 0xf6fe 0xf6f8 0xf75e 0xf7ac 0xf834 0xf8bc 0xf95f 0xfa2a 0xfade 
0xfaa4 0xfa01 0xf975 0xf8ee 0xf867 0xf7e7 0xf7ba 0xf78e 0xf784 0xf7cd 0xf83f 0xf8b7 0xf932 0xf9d7 0xfaa6 0xfb2e 
0xfaa8 0xfa24 0xf9aa 0xf930 0xf8c8 0xf84a 0xf840 0xf813 0xf80a 0xf820 0xf8a5 0xf8f6 0xf991 0xfa15 0xfac4 0xfb8a 
0xfaef 0xfa58 0xfa18 0xf981 0xf921 0xf8d3 0xf8cb 0xf887 0xf8b4 0xf8b3 0xf93c 0xf98f 0xfa17 0xfa96 0xfb4f 0xfc91 
0x4d85 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb0 0xf560 0x1c55 0xd757 0xffee 0xfff1 0xfffe 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x064a 0x192a 0x192a 0x192a 0x192a 0x1929 0x1929 0x1929 0xfda7 0xccfc 0xced5 0xd7e9 0xffef 0xffeb 0x0001 0x0004 
