1728232109
0xfa06 0xf90d 0xf85c 0xf7e6 0xf719 0xf699 0xf653 0xf6a4 0xf6b1 0xf6b9 0xf716 0xf7c2 0xf902 0xf9b8 0xfaad 0xfbf3 
0xf980 0xf8b5 0xf7ef 0xf72d 0xf649 0xf5c6 0xf599 0xf5df 0xf6c7 0xf686 0xf67d 0xf6ab 0xf840 0xf95e 0xfa65 0xfafa 
0xf8df 0xf7ed 0xf73f 0xf680 0xf571 0xf4cd 0xf489 0xf48c 0x08b6 0xf6f0 0xf55a 0xf5d9 0xf716 0xf8d7 0xf9ef 0xfaa5 
0xf8bb 0xf7c5 0xf6e8 0xf60f 0xf4e9 0xf429 0xf405 0xf3d9 0xf3fa 0xf417 0xf4b8 0xf58c 0xf65c 0xf87e 0xf9c9 0xfa5b 
0xf868 0xf751 0xf67e 0xf589 0xf478 0xf3dc 0xf376 0xf34b 0xf32e 0xf392 0xf43d 0xf4ef 0xf5e0 0xf77c 0xf916 0xfa24 
0xf845 0xf741 0xf653 0xf564 0xf448 0xf3ab 0xf363 0xf33a 0xf315 0xf39c 0xf461 0xf4ec 0xf5ba 0xf76c 0xf90c 0xfa14 
0xf83a 0xf71f 0xf640 0xf543 0xf43c 0xf37d 0xf334 0xf317 0xf32f 0xf38f 0xf460 0xf4ee 0xf5c1 0xf6e7 0xf936 0xfa39 
0xf860 0xf765 0xf685 0xf58e 0xf496 0xf3e9 0xf3a9 0xf381 0xf386 0xf3de 0xf46b 0xf520 0xf619 0xf700 0xf93d 0xfa64 
0xf88b 0xf78c 0xf6c1 0xf5ef 0xf4ef 0xf456 0xf425 0xf3e9 0xf404 0xf44e 0xf56a 0xf5b7 0xf66f 0xf742 0xf907 0xfa98 
0xf8de 0xf808 0xf74c 0xf693 0xf5a5 0xf53c 0xf50c 0xf4be 0xf4ce 0xf54c 0xf5e1 0xf666 0xf71d 0xf7fb 0xf93f 0xfaf3 
0xf940 0xf86a 0xf7c2 0xf713 0xf665 0xf5d2 0xf5a8 0xf567 0xf593 0xf5ed 0xf6ac 0xf710 0xf7b9 0xf86b 0xf998 0xfb80 
0xfaba 0xf8cc 0xf85f 0xf7a7 0xf71e 0xf6a6 0xf67b 0xf66c 0xf68c 0xf6b7 0xf76f 0xf7e1 0xf864 0xf91c 0xfa76 0xfcf1 
0x451b 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7c 0xf4f9 0x1a42 0xd910 0xffe3 0xffe4 0xfffa 0xfff8 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06da 0x1b69 0x1b69 0x1b69 0x1b69 0x1b68 0x1b68 0x1b68 0xfd79 0xce76 0xd0d1 0xd8e0 0xffe2 0xffe2 0xfffb 0xfffa 
