1728232109
0xfd77 0xfd5f 0xfd4e 0xfd25 0xfce4 0xfcce 0xfcbb 0xfc65 0xfc45 0xfc2a 0xfc06 0xfc36 0xfc30 0xfc6a 0xfc81 0xfcac 
0xfd86 0xfd71 0xfd4d 0xfd1a 0xfccb 0xfca0 0xfc81 0xfc4e 0xfbfe 0xfbf8 0xfbf4 0xfc16 0xfc2f 0xfc87 0xfcb6 0xfc4a 
0xfd60 0xfd4b 0xfd26 0xfcdd 0xfcad 0xfc3b 0xfc08 0xfbb5 0xfba8 0xfbaf 0xfb88 0xfbdb 0xfbce 0xfc55 0xfcac 0xfc2c 
0xfd74 0xfd41 0xfd21 0xfcf8 0xfc9a 0xfc4a 0xfbd5 0xfb02 0xfb28 0xfb34 0xfb82 0xfb72 0xfbec 0xfc87 0xfcf0 0xfc5b 
0xfd4d 0xfd0e 0xfced 0xfcc9 0xfc43 0xfbe9 0xfb71 0xfb06 0xfaf1 0xfad5 0xfb0e 0xfb26 0xfbda 0xfc7d 0xfcaa 0xfbee 
0xfd66 0xfd14 0xfcc2 0xfc85 0xfbe1 0xfb58 0xfae9 0xfb35 0xfb26 0xfaef 0xfae7 0xfb47 0xfbf1 0xfc92 0xfc95 0xfbd7 
0xfcf4 0xfccd 0xfc5e 0xfbde 0xfb6c 0xfb00 0xfab4 0xfad6 0xfaa9 0xfadc 0xfadd 0xfb4b 0xfbf2 0xfc7b 0xfc49 0xfbcd 
0xfceb 0xfc98 0xfc76 0xfc22 0xfb6c 0xfb1a 0xfad1 0xfaa1 0xfab8 0xfaee 0xfb13 0xfb61 0xfc3a 0xfc89 0xfbe6 0xfbcf 
0xfcc0 0xfc97 0xfc2e 0xfbf3 0xfb8f 0xfba7 0xfaeb 0xfacd 0xfaff 0xfb04 0xfb31 0xfbc2 0xfc48 0xfc23 0xfb7f 0xfbd8 
0xfce5 0xfca1 0xfc52 0xfc0c 0xfbdb 0xfba4 0xfb52 0xfb28 0xfb56 0xfb4b 0xfba5 0xfc4f 0xfc55 0xfb88 0xfb99 0xfc13 
0xfcbb 0xfc8d 0xfc72 0xfc51 0xfc02 0xfba5 0xfb90 0xfb7a 0xfb6c 0xfb88 0xfc1b 0xfc3b 0xfb92 0xfb74 0xfbbd 0xfcce 
0xfcf7 0xfc6e 0xfc5d 0xfc3f 0xfc34 0xfbf0 0xfbc1 0xfbb0 0xfbc0 0xfc18 0xfc3c 0xfb75 0xfb65 0xfb95 0xfc5e 0xfda6 
0x52ce 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd86 0xf588 0x1e81 0xd788 0xfffa 0xfffc 0x0004 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x061c 0x1871 0x1871 0x1871 0x1871 0x1870 0x1870 0x1870 0xfd81 0xcbc0 0xce4a 0xd708 0xfffb 0xfff6 0x0004 0x0007 
