1728232139
0xfba1 0xfae4 0xfa7d 0xfa24 0xf9b3 0xf94c 0xf92c 0xf90a 0xf8f8 0xf92e 0xf97a 0xf9eb 0xfa36 0xfa8d 0xfb4d 0xfcfc 
0xfb47 0xfac7 0xfa46 0xf9bc 0xf951 0xf8d8 0xf8b9 0xf863 0xf871 0xf8a7 0xf907 0xf96c 0xf9d7 0xfa44 0xfad3 0xfbdd 
0xfaf6 0xfa45 0xf9a3 0xf939 0xf88a 0xf829 0xf804 0xf7cd 0xf7b1 0xf7f7 0xf854 0xf8c6 0xf94d 0xf9c8 0xfa70 0xfb07 
0xfaba 0xfa16 0xf981 0xf8db 0xf851 0xf7bf 0xf79e 0xf75d 0xf751 0xf796 0xf7f6 0xf881 0xf8f0 0xf9ba 0xfa4a 0xfafb 
0xfa73 0xf9bd 0xf927 0xf870 0xf7ce 0xf756 0xf716 0xf710 0xf6ec 0xf71f 0xf796 0xf813 0xf8a2 0xf95a 0xfa04 0xfab7 
0xfa75 0xf9b0 0xf917 0xf863 0xf7b7 0xf753 0xf709 0xf6d9 0xf6e8 0xf6fa 0xf78d 0xf7f9 0xf88b 0xf945 0xf9f5 0xfab3 
0xfa3f 0xf98f 0xf8f5 0xf866 0xf7ac 0xf726 0xf6e8 0xf6b2 0xf6af 0xf6e9 0xf78b 0xf7f2 0xf86c 0xf92a 0xf9e5 0xfaa3 
0xfa61 0xf9b0 0xf92d 0xf897 0xf7eb 0xf764 0xf729 0xf720 0xf708 0xf73c 0xf7d6 0xf830 0xf89c 0xf95d 0xfa36 0xfad4 
0xfa5f 0xf9c7 0xf933 0xf8a0 0xf7ed 0xf763 0xf756 0xf72a 0xf723 0xf787 0xf7d3 0xf857 0xf8d8 0xf977 0xfa3d 0xfaeb 
0xfaad 0xfa12 0xf98d 0xf90b 0xf883 0xf809 0xf7e0 0xf7b4 0xf7ab 0xf7f3 0xf863 0xf8d3 0xf94c 0xf9e9 0xfab5 0xfb37 
0xfab2 0xfa31 0xf9bb 0xf949 0xf8e4 0xf866 0xf85f 0xf835 0xf82c 0xf840 0xf8c1 0xf911 0xf9a6 0xfa26 0xface 0xfb8f 
0xfaf5 0xfa61 0xfa23 0xf990 0xf937 0xf8eb 0xf8e6 0xf8a1 0xf8d0 0xf8cb 0xf954 0xf9a2 0xfa26 0xfaa2 0xfb58 0xfc8d 
0x4e2c 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8b 0xf568 0x1c97 0xd757 0xfff0 0xfff1 0xffff 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x063a 0x18ea 0x18ea 0x18ea 0x18ea 0x18e9 0x18e9 0x18e9 0xfd85 0xccf5 0xced4 0xd7e9 0xfff0 0xffed 0xffff 0x0003 
