1728232139
0xfd7b 0xfd56 0xfd43 0xfd0d 0xfcc2 0xfc93 0xfc34 0xfbf4 0xfbbb 0xfbdd 0xfbc5 0xfc45 0xfc44 0xfb9c 0xfbae 0xfc5c 
0xfd80 0xfd53 0xfd2a 0xfce8 0xfca5 0xfc4b 0xfbff 0xfba7 0xfb85 0xfbcd 0xfbb3 0xfc17 0xfc5b 0xfbdd 0xfb8b 0xfbe3 
0xfd3f 0xfd1e 0xfce7 0xfc8a 0xfc22 0xfbda 0xfba7 0xfb7a 0xfb68 0xfb63 0xfb8e 0xfbfe 0xfc1f 0xfbb6 0xfb4d 0xfba7 
0xfd4b 0xfcff 0xfcd7 0xfc72 0xfbe9 0xfbd3 0xfb7a 0xfb13 0xfb57 0xfb0c 0xfbb5 0xfc0e 0xfc40 0xfbb1 0xfb74 0xfbcc 
0xfd27 0xfcc6 0xfc74 0xfc37 0xfbb8 0xfb8c 0xfb1e 0xfb0f 0xfaaf 0xfac7 0xfbbc 0xfc17 0xfc10 0xfb57 0xfb09 0xfb54 
0xfd2b 0xfcd5 0xfc63 0xfbbd 0xfb21 0xfafc 0xfacf 0xfaad 0xfa68 0xfb13 0xfbe8 0xfc0d 0xfc1f 0xfb1f 0xfaf1 0xfb52 
0xfd05 0xfcb8 0xfc5c 0xfba7 0xfb21 0xfab0 0xfa95 0xfa96 0xfa67 0xfad5 0xfbe3 0xfc09 0xfbe4 0xfaae 0xfae0 0xfb60 
0xfd07 0xfca6 0xfc2b 0xfb9f 0xfb6c 0xfb26 0xfac4 0xfa79 0xfac5 0xfadd 0xfbfc 0xfc13 0xfb61 0xfa9e 0xfb00 0xfb78 
0xfcb8 0xfc48 0xfbd0 0xfb93 0xfb26 0xfb3a 0xfadb 0xfa87 0xfac3 0xfb2c 0xfbef 0xfbd2 0xfa87 0xfa91 0xfafc 0xfb95 
0xfcb7 0xfc80 0xfc0d 0xfbad 0xfb5d 0xfb31 0xfb40 0xfb06 0xfb13 0xfbd1 0xfbff 0xfb1f 0xfa8c 0xfac3 0xfb47 0xfbe0 
0xfcb0 0xfc53 0xfc1a 0xfbf1 0xfb92 0xfb66 0xfb67 0xfb54 0xfb90 0xfbd3 0xfb3c 0xfa93 0xfaab 0xfb14 0xfb86 0xfca8 
0xfcef 0xfc6e 0xfc5e 0xfbf8 0xfbd4 0xfb9e 0xfbac 0xfbb7 0xfbdb 0xfb1e 0xfac3 0xfaaa 0xfb08 0xfb59 0xfc37 0xfd8e 
0x52a0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd85 0xf586 0x1e6d 0xd787 0xfff9 0xfff8 0x0005 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0621 0x1885 0x1885 0x1885 0x1885 0x1884 0x1884 0x1884 0xfd7f 0xcbc0 0xce49 0xd707 0xfff9 0xfff3 0x0003 0x0004 
