1728232229
0xfa14 0xf91a 0xf86d 0xf7da 0xf70f 0xf699 0xf66c 0xf7c9 0xf86b 0xf8b6 0xf920 0xf993 0xfa01 0xfa77 0xfb24 0xfc45 
0xf988 0xf8c7 0xf806 0xf744 0xf641 0xf5bf 0xf5aa 0xf70d 0xf771 0xf7e7 0xf86d 0xf8f7 0xf97a 0xfa26 0xfadb 0xfb6a 
0xf8ed 0xf809 0xf76a 0xf6e4 0xf586 0xf4c4 0xf4a4 0xf643 0xf66c 0xf6ee 0xf78e 0xf841 0xf8dc 0xf982 0xfa60 0xfb04 
0xf8cf 0xf7e6 0xf738 0xf6cd 0xf61e 0xf424 0xf419 0xf5d3 0xf5e4 0xf606 0xf6ec 0xf7d3 0xf868 0xf923 0xfa17 0xfab7 
0xf878 0xf775 0xf6e2 0xf6e8 0x0c44 0xf402 0xf37d 0xf53a 0xf54a 0xf5a5 0xf66d 0xf733 0xf7f5 0xf892 0xf97a 0xfa71 
0xf850 0xf75e 0xf6aa 0xf60e 0xf474 0xf3a4 0xf35f 0xf4b4 0xf55f 0xf59a 0xf664 0xf700 0xf7b2 0xf8b9 0xf978 0xfa45 
0xf847 0xf72b 0xf63c 0xf53d 0xf430 0xf36c 0xf324 0xf41d 0xf560 0xf58a 0xf63d 0xf717 0xf7d1 0xf88a 0xf96f 0xfa6d 
0xf859 0xf757 0xf671 0xf57b 0xf482 0xf3d4 0xf39a 0xf3f8 0xf5e8 0xf5e8 0xf680 0xf718 0xf824 0xf8e9 0xf9c3 0xfa6d 
0xf882 0xf77f 0xf6aa 0xf5d6 0xf4d7 0xf441 0xf40f 0xf404 0xf62d 0xf6b5 0xf785 0xf7d8 0xf839 0xf8dc 0xf9bb 0xfa97 
0xf8d6 0xf7fd 0xf738 0xf67d 0xf590 0xf526 0xf4db 0xf4c4 0xf5f5 0xf7ad 0xf851 0xf8af 0xf90d 0xf9a6 0xfa4d 0xfb1a 
0xf93c 0xf863 0xf7b4 0xf6fd 0xf655 0xf5c2 0xf58b 0xf569 0xf5ee 0xf7d8 0xf8cb 0xf922 0xf985 0xf9f9 0xfade 0xfbe8 
0xfabe 0xf8c3 0xf84e 0xf794 0xf70d 0xf695 0xf66a 0xf664 0xf6c0 0xf7aa 0xf934 0xf9b5 0xfa0b 0xfa8d 0xfb8a 0xfd54 
0x4486 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda5 0xf4f3 0x1a0c 0xd90c 0xffe6 0xffeb 0xfffb 0xfff6 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06e8 0x1ba3 0x1ba3 0x1ba3 0x1ba3 0x1ba2 0x1ba2 0x1ba2 0xfda0 0xce7a 0xd0d0 0xd8de 0xffe8 0xffe6 0xfffa 0xfffa 
