1728232259
0xfbc1 0xfb6c 0xfb5d 0xfbc2 0xfbdd 0xfb72 0xfb4f 0xfb96 0xfc0c 0xfc4e 0xfc2e 0xfc55 0xfc4f 0xfc73 0xfc99 0xfcd1 
0xfbbc 0xfb8e 0xfc14 0xfbe5 0xfb52 0xfb0f 0xfb74 0xfbd3 0xfc43 0xfc41 0xfc1b 0xfc32 0xfc1f 0xfc4b 0xfcc0 0xfced 
0xfb8b 0xfbec 0xfbcc 0xfb33 0xfae2 0xfab8 0xfb97 0xfbfd 0xfc23 0xfc11 0xfbb8 0xfbad 0xfbb2 0xfbe0 0xfc72 0xfcf1 
0xfbcf 0xfc0e 0xfbbd 0xfb62 0xfad7 0xfb39 0xfbf8 0xfc27 0xfc22 0xfbfd 0xfbda 0xfb7e 0xfb7b 0xfbbf 0xfc6f 0xfcfc 
0xfc05 0xfbdc 0xfb9e 0xfb41 0xfb8c 0xfb7c 0xfbf5 0xfc05 0xfbe9 0xfbca 0xfb97 0xfb4a 0xfb3d 0xfb7a 0xfc16 0xfc74 
0xfc42 0xfc14 0xfbcc 0xfb6c 0xfb79 0xfb8e 0xfc0d 0xfbe1 0xfbe4 0xfbd7 0xfb97 0xfb5d 0xfb75 0xfb8e 0xfc0f 0xfc6a 
0xfc7a 0xfc16 0xfb59 0xfb1a 0xfb3a 0xfbd3 0xfbd9 0xfbfe 0xfbdb 0xfb9f 0xfb84 0xfb6c 0xfb71 0xfb7a 0xfc02 0xfc7a 
0xfca2 0xfbf3 0xfb8c 0xfb63 0xfbbd 0xfc19 0xfc19 0xfbe2 0xfbd3 0xfbae 0xfb84 0xfba6 0xfb8d 0xfb9d 0xfc22 0xfc95 
0xfc6b 0xfbf0 0xfbdf 0xfc05 0xfc25 0xfc72 0xfc39 0xfbf9 0xfbe2 0xfbc0 0xfb8d 0xfbbb 0xfb8f 0xfbb5 0xfc33 0xfcb7 
0xfc8d 0xfc76 0xfc84 0xfc6d 0xfc8e 0xfc75 0xfc80 0xfc51 0xfc21 0xfbd5 0xfbe4 0xfbf3 0xfbe3 0xfbf7 0xfc84 0xfcf8 
0xfca7 0xfc84 0xfca4 0xfcbf 0xfc93 0xfc88 0xfc92 0xfc6a 0xfc14 0xfbe7 0xfbfc 0xfc0f 0xfc03 0xfc4c 0xfcbb 0xfd64 
0xfcf3 0xfca0 0xfcc2 0xfcaf 0xfcad 0xfc98 0xfca5 0xfc6b 0xfc17 0xfbfb 0xfc21 0xfc19 0xfc45 0xfc95 0xfd2a 0xfdc8 
0x5292 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd60 0xf583 0x1e67 0xd787 0xfff8 0xfff9 0x0003 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0622 0x1889 0x1889 0x1889 0x1889 0x1888 0x1888 0x1888 0xfd5b 0xcbc4 0xce4c 0xd706 0xfffc 0xfff6 0x0006 0x0008 
