1728232319
0xf9e4 0xf8e3 0xf824 0xf7aa 0xf6d4 0xf651 0xf5f7 0xf5e1 0xf5d2 0xf5fe 0xf684 0xf6fa 0xf78c 0xf831 0xf939 0xfb10 
0xf957 0xf884 0xf7b7 0xf6ec 0xf5ff 0xf570 0xf52c 0xf4f2 0xf4d2 0xf514 0xf5a0 0xf643 0xf6e2 0xf7c5 0xf8bd 0xf9a5 
0xf8b2 0xf7bb 0xf6ff 0xf645 0xf527 0xf473 0xf421 0xf3f4 0xf3ee 0xf447 0xf4dd 0xf57d 0xf62a 0xf71a 0xf83e 0xf935 
0xf88a 0xf78c 0xf6a0 0xf5c2 0xf49a 0xf3cd 0xf39c 0xf366 0xf365 0xf3a2 0xf451 0xf52f 0xf5d5 0xf6e4 0xf801 0xf965 
0xf834 0xf715 0xf635 0xf536 0xf41f 0xf37b 0xf30c 0xf2de 0xf2c4 0xf32a 0xf3dc 0xf493 0xf588 0xf64b 0xf7a7 0xf9d7 
0xf80f 0xf702 0xf606 0xf512 0xf3ee 0xf347 0xf2fc 0xf2d1 0xf2ac 0xf337 0xf405 0xf494 0xf56b 0xf6b9 0xf89a 0xfa1c 
0xf803 0xf6df 0xf5f5 0xf4eb 0xf3e1 0xf318 0xf2c8 0xf2aa 0xf2cc 0xf331 0xf41b 0xf4a5 0xf583 0xf717 0xf92c 0xfa68 
0xf82c 0xf72b 0xf63b 0xf53a 0xf43d 0xf38b 0xf348 0xf31a 0xf329 0xf3a5 0x0301 0xf636 0xf69c 0xf817 0xf98b 0xfa9d 
0xf857 0xf750 0xf679 0xf5a1 0xf499 0xf3fa 0xf3c4 0xf385 0xf3af 0xf409 0xfc0a 0xf6e1 0xf78f 0xf88f 0xf9a9 0xfab4 
0xf8af 0xf7d3 0xf709 0xf64b 0xf558 0xf4e9 0xf496 0xf465 0xf481 0xf509 0xf68c 0xf76e 0xf855 0xf932 0xfa0b 0xfb0b 
0xf917 0xf839 0xf787 0xf6cb 0xf61f 0xf589 0xf54d 0xf51a 0xf539 0xf5d0 0xf752 0xf845 0xf901 0xf988 0xfa73 0xfbb5 
0xfa9c 0xf89f 0xf829 0xf767 0xf6e0 0xf663 0xf634 0xf621 0xf654 0xf6fa 0xf8b2 0xf928 0xf963 0xf9fd 0xfb2f 0xfd27 
0x4431 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8c 0xf4ee 0x19eb 0xd90b 0xffe5 0xffe7 0xfff7 0xfff6 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06f0 0x1bc2 0x1bc2 0x1bc2 0x1bc2 0x1bc0 0x1bc0 0x1bc0 0xfd8a 0xce7c 0xd0d0 0xd8de 0xffe6 0xffe3 0xfffb 0xfffc 
