1728232319
0xfbb6 0xfb4f 0xfb39 0xfb98 0xfc3c 0xfb7f 0xfb45 0xfb6f 0xfbfa 0xfc50 0xfcba 0xfcd3 0xfcb1 0xfcb6 0xfd11 0xfd52 
0xfb90 0xfb35 0xfb04 0xfbdf 0xfbd0 0xfb10 0xfaef 0xfb43 0xfbe1 0xfc53 0xfcb4 0xfcc5 0xfca3 0xfca2 0xfce8 0xfd16 
0xfb2f 0xface 0xfa90 0xfba8 0xfb35 0xfaab 0xfa82 0xfabb 0xfba3 0xfc28 0xfc7f 0xfcae 0xfc68 0xfc60 0xfc8f 0xfcde 
0xfb1f 0xfa9b 0xfa59 0xfb43 0xfb04 0xfaf7 0xfa6f 0xfab0 0xfbc3 0xfc47 0xfc8d 0xfc95 0xfc93 0xfc76 0xfcbd 0xfcf4 
0xfaee 0xfa60 0xfa12 0xfafa 0xfb0c 0xfad6 0xfa5c 0xfb3e 0xfbb5 0xfc26 0xfc56 0xfc54 0xfc3c 0xfc36 0xfc6b 0xfc93 
0xfaed 0xfa62 0xfa16 0xfae2 0xfaf7 0xfae5 0xfaab 0xfb6d 0xfb8b 0xfc29 0xfc50 0xfc55 0xfc69 0xfc53 0xfc75 0xfc91 
0xfabd 0xfa37 0xf9ed 0xfa9b 0xfbb6 0xfac7 0xfa62 0xfae6 0xfb6f 0xfbfb 0xfc3a 0xfc51 0xfc53 0xfc35 0xfc65 0xfc96 
0xfadf 0xfa5b 0xfa1a 0xfa58 0xfb95 0xfada 0xfa69 0xfa80 0xfbcb 0xfc17 0xfc4d 0xfc5d 0xfc4a 0xfc52 0xfc81 0xfca4 
0xfad7 0xfa68 0xf9fe 0xf9fe 0xfb29 0xfb3f 0xfb05 0xfb51 0xfbeb 0xfc2f 0xfc37 0xfc66 0xfc22 0xfc5f 0xfc66 0xfcb8 
0xfb1c 0xfab5 0xfa4d 0xfa0f 0xfaa2 0xfb9a 0xfbd7 0xfc25 0xfc43 0xfc82 0xfc90 0xfc86 0xfc64 0xfc6b 0xfc96 0xfd01 
0xfb4e 0xfac4 0xfa74 0xfa42 0xfa33 0xfb4a 0xfc19 0xfc70 0xfc6c 0xfc97 0xfc9f 0xfc74 0xfc60 0xfc8c 0xfcbf 0xfd78 
0xfc1b 0xfafe 0xfabf 0xfa62 0xfa67 0xfa75 0xfbd4 0xfc67 0xfc8e 0xfcac 0xfca6 0xfc62 0xfc86 0xfca3 0xfd3f 0xfdf3 
0x5270 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdac 0xf583 0x1e59 0xd787 0xfffc 0xfff7 0x0002 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0625 0x1896 0x1896 0x1896 0x1896 0x1895 0x1895 0x1895 0xfdaa 0xcbc5 0xce4c 0xd708 0xfff8 0xfff3 0x0004 0x0006 
