1728232349
0xfbdd 0xfb2d 0xfacd 0xfa7d 0xfa12 0xf9b1 0xf994 0xf976 0xf962 0xf998 0xf9dc 0xfa49 0xfa8f 0xfadb 0xfb8d 0xfd1e 
0xfb8e 0xfb16 0xfa99 0xfa1b 0xf9bb 0xf94a 0xf92f 0xf8d9 0xf8ec 0xf919 0xf978 0xf9d3 0xfa38 0xfa9a 0xfb23 0xfc16 
0xfb3b 0xfa9c 0xfa04 0xf9a1 0xf900 0xf8a3 0xf884 0xf84f 0xf837 0xf876 0xf8cd 0xf937 0xf9b6 0xfa26 0xfac0 0xfb4e 
0xfb07 0xfa70 0xf9e5 0xf94d 0xf8ca 0xf845 0xf826 0xf7eb 0xf7e2 0xf821 0xf878 0xf8f7 0xf960 0xfa1c 0xfaa1 0xfb43 
0xfac5 0xfa1d 0xf991 0xf8e9 0xf850 0xf7de 0xf7a7 0xf7a1 0xf77f 0xf7b0 0xf81e 0xf893 0xf918 0xf9c0 0xfa5d 0xfb04 
0xfac8 0xfa12 0xf981 0xf8dd 0xf83f 0xf7e1 0xf79b 0xf773 0xf77c 0xf78b 0xf81b 0xf87a 0xf904 0xf9ae 0xfa53 0xfb03 
0xfa92 0xf9ef 0xf960 0xf8e1 0xf833 0xf7b5 0xf780 0xf749 0xf747 0xf77c 0xf815 0xf876 0xf8e7 0xf996 0xfa42 0xfaf3 
0xfab5 0xfa10 0xf999 0xf90c 0xf86d 0xf7ef 0xf7ba 0xf7af 0xf79e 0xf7cd 0xf85f 0xf8ae 0xf910 0xf9c7 0xfa8f 0xfb21 
0xfaaf 0xfa20 0xf99b 0xf912 0xf86c 0xf7ec 0xf7df 0xf7bb 0xf7af 0xf810 0xf856 0xf8d1 0xf948 0xf9dc 0xfa92 0xfb35 
0xfafb 0xfa6b 0xf9ed 0xf976 0xf8f9 0xf889 0xf862 0xf839 0xf830 0xf873 0xf8dc 0xf945 0xf9b3 0xfa45 0xfb03 0xfb7e 
0xfafa 0xfa84 0xfa18 0xf9ad 0xf94f 0xf8dd 0xf8d5 0xf8ae 0xf8a7 0xf8b9 0xf930 0xf97d 0xfa07 0xfa7e 0xfb1b 0xfbcc 
0xfb34 0xfaad 0xfa77 0xf9ee 0xf999 0xf955 0xf951 0xf910 0xf93b 0xf938 0xf9b7 0xfa01 0xfa7e 0xfaee 0xfb9a 0xfcb4 
0x4fa5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd94 0xf57c 0x1d2f 0xd75d 0xfff2 0xfff3 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0615 0x1857 0x1857 0x1857 0x1857 0x1855 0x1855 0x1855 0xfd91 0xcced 0xced6 0xd7ea 0xfff0 0xfff0 0x0002 0x0006 
