1728232349
0xf9d7 0xf8d5 0xf819 0xf79c 0xf6c5 0xf641 0xf5ea 0xf5d0 0xf5c4 0xf5ed 0xf675 0xf6ec 0xf77e 0xf822 0xf92f 0xfb04 
0xf949 0xf876 0xf7a6 0xf6de 0xf5ed 0xf55e 0xf51e 0xf4e4 0xf4c3 0xf503 0xf590 0xf636 0xf6d2 0xf7b5 0xf8b2 0xf998 
0xf8a4 0xf7aa 0xf6f0 0xf629 0xf50e 0xf460 0xf411 0xf3e6 0xf3dd 0xf434 0xf4cd 0xf56f 0xf61b 0xf70a 0xf82e 0xf923 
0xf87d 0xf77d 0xf694 0xf5b5 0xf482 0xf3b7 0xf38c 0xf355 0xf353 0xf391 0xf441 0xf523 0xf5c6 0xf6d5 0xf7f3 0xf8e9 
0xf827 0xf705 0xf627 0xf529 0xf40e 0xf366 0xf2fa 0xf2ce 0xf2b2 0xf31c 0xf3cf 0xf484 0xf577 0xf63b 0xf76f 0xf8b7 
0xf802 0xf6f2 0xf5fb 0xf503 0xf3dc 0xf335 0xf2e9 0xf2bc 0xf299 0xf327 0xf3f3 0xf483 0xf558 0xf69e 0xf77f 0xf923 
0xf7f9 0xf6d3 0xf5e7 0xf4e1 0xf3d2 0xf309 0xf2b7 0xf29b 0xf2b4 0xf31c 0xf3f7 0xf48c 0xf566 0xf668 0xf7d1 0xf9eb 
0xf821 0xf719 0xf62b 0xf52e 0xf42c 0xf378 0xf334 0xf30c 0xf314 0xf373 0xf406 0xf4de 0xf5d3 0xf6e6 0xf8c9 0xfa59 
0xf84c 0xf743 0xf66d 0xf594 0xf489 0xf3e9 0xf3b4 0xf374 0xf398 0xf3de 0xf4f0 0x02cb 0xfb93 0xf828 0xf95e 0xfa79 
0xf8a4 0xf7c4 0xf6fc 0xf63e 0xf548 0xf4d9 0xf486 0xf455 0xf46a 0xf4cd 0xf5b0 0xf6ee 0xf824 0xf8fa 0xf9ec 0xfae2 
0xf909 0xf82a 0xf77a 0xf6c3 0xf611 0xf579 0xf53f 0xf507 0xf521 0xf5b1 0xf667 0xf74f 0xf8c7 0xf96c 0xfa55 0xfb9b 
0xfa8f 0xf88f 0xf81f 0xf75b 0xf6d2 0xf656 0xf625 0xf614 0xf641 0xf674 0xf755 0xf8c1 0xf995 0xf9fb 0xfb0d 0xfd1f 
0x4429 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7c 0xf4f0 0x19ea 0xd90b 0xffe2 0xffe7 0xfff9 0xfff7 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06f1 0x1bc5 0x1bc5 0x1bc5 0x1bc5 0x1bc3 0x1bc3 0x1bc3 0xfd79 0xce7c 0xd0d2 0xd8df 0xffe2 0xffe4 0xfff9 0xfffa 
