1728232379
0xfbe5 0xfb39 0xfad8 0xfa8a 0xfa25 0xf9c6 0xf9a7 0xf988 0xf978 0xf9ab 0xf9ef 0xfa5a 0xfa9e 0xfae8 0xfb97 0xfd21 
0xfb99 0xfb21 0xfaaa 0xfa2b 0xf9cd 0xf95c 0xf943 0xf8ee 0xf902 0xf92e 0xf98b 0xf9e5 0xfa49 0xfaab 0xfb2e 0xfc1f 
0xfb48 0xfaaa 0xfa13 0xf9b3 0xf917 0xf8b9 0xf89b 0xf868 0xf84d 0xf890 0xf8e5 0xf94d 0xf9c8 0xfa35 0xfacf 0xfb5c 
0xfb14 0xfa81 0xf9f5 0xf962 0xf8e1 0xf85f 0xf83f 0xf805 0xf7f9 0xf838 0xf88f 0xf90f 0xf973 0xfa2e 0xfab1 0xfb53 
0xfad3 0xfa2f 0xf9a1 0xf8fc 0xf866 0xf7fb 0xf7c1 0xf7b9 0xf79c 0xf7cb 0xf837 0xf8ab 0xf92c 0xf9d2 0xfa6f 0xfb15 
0xfad9 0xfa22 0xf996 0xf8f0 0xf855 0xf7f9 0xf7b7 0xf78b 0xf799 0xf7a3 0xf833 0xf891 0xf91a 0xf9c2 0xfa63 0xfb11 
0xfaa3 0xfa00 0xf974 0xf8f4 0xf84c 0xf7d0 0xf79a 0xf766 0xf764 0xf795 0xf82c 0xf88c 0xf8fc 0xf9a5 0xfa53 0xfaff 
0xfac3 0xfa21 0xf9ab 0xf921 0xf888 0xf809 0xf7d6 0xf7cb 0xf7b6 0xf7e8 0xf877 0xf8c8 0xf925 0xf9da 0xfaa1 0xfb32 
0xfabd 0xfa32 0xf9ac 0xf927 0xf886 0xf804 0xf7fa 0xf7d1 0xf7c9 0xf82a 0xf86e 0xf8e8 0xf95e 0xf9ec 0xfaa6 0xfb44 
0xfb07 0xfa79 0xfa00 0xf98a 0xf910 0xf8a0 0xf87a 0xf852 0xf847 0xf88b 0xf8f0 0xf959 0xf9c6 0xfa58 0xfb13 0xfb88 
0xfb07 0xfa93 0xfa28 0xf9bf 0xf961 0xf8f0 0xf8ec 0xf8c4 0xf8be 0xf8cf 0xf944 0xf98e 0xfa18 0xfa8d 0xfb25 0xfbd8 
0xfb42 0xfaba 0xfa88 0xfa00 0xf9ac 0xf965 0xf964 0xf926 0xf94f 0xf94c 0xf9c9 0xfa14 0xfa8c 0xfafc 0xfba4 0xfcbc 
0x4feb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd96 0xf57e 0x1d4e 0xd75f 0xffef 0xfff3 0x0000 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x060e 0x183a 0x183a 0x183a 0x183a 0x1839 0x1839 0x1839 0xfd93 0xcced 0xced8 0xd7eb 0xfff0 0xfff1 0x0003 0x0004 
