1728232379
0xfbf1 0xfbbe 0xfc84 0xfc54 0xfbb6 0xfb91 0xfbd1 0xfc4b 0xfc71 0xfc78 0xfc81 0xfcb5 0xfcb1 0xfcc2 0xfd1e 0xfd85 
0xfbd3 0xfbb8 0xfcb0 0xfc29 0xfb76 0xfb55 0xfbb3 0xfc37 0xfc52 0xfc51 0xfc43 0xfc70 0xfc87 0xfcbf 0xfd10 0xfd5b 
0xfb73 0xfb6a 0xfc6e 0xfbb5 0xfb2d 0xfaf5 0xfb91 0xfbfe 0xfc1a 0xfbf8 0xfbdc 0xfc2d 0xfc47 0xfc61 0xfccc 0xfd35 
0xfb5b 0xfb32 0xfc35 0xfb5b 0xfabe 0xfae7 0xfb73 0xfbee 0xfc1a 0xfbe4 0xfc1d 0xfc52 0xfc6c 0xfc69 0xfcdb 0xfd41 
0xfb23 0xfad2 0xfb92 0xfaf8 0xfa86 0xfaae 0xfb33 0xfbc0 0xfbee 0xfba2 0xfbf5 0xfc2c 0xfc36 0xfc43 0xfc8a 0xfce9 
0xfb13 0xfab1 0xfb39 0xfade 0xfa5e 0xfa80 0xfb4c 0xfbb8 0xfbe6 0xfbb2 0xfbb1 0xfc03 0xfc59 0xfc51 0xfc81 0xfce3 
0xfad9 0xfa6f 0xfac8 0xfb19 0xfa8b 0xfa0b 0xfb0a 0xfbdb 0xfbda 0xfbae 0xfb71 0xfba6 0xfc2f 0xfc26 0xfc78 0xfce8 
0xfaf9 0xfa87 0xfaa3 0xfb58 0xfac2 0xfa85 0xfb5b 0xfbe8 0xfbf1 0xfbc6 0xfb7e 0xfb78 0xfbc6 0xfc1c 0xfc7a 0xfce3 
0xfaec 0xfa88 0xfa46 0xfb43 0xfb31 0xfb38 0xfb60 0xfbf8 0xfbe1 0xfbc5 0xfb7e 0xfb72 0xfb80 0xfbfa 0xfc5d 0xfce5 
0xfb2b 0xfacd 0xfa76 0xfa83 0xfb5d 0xfb05 0xfb55 0xfc0b 0xfc06 0xfbec 0xfba7 0xfbaa 0xfbb4 0xfc19 0xfc95 0xfd05 
0xfb5a 0xfad4 0xfa8d 0xfa6d 0xfaaf 0xfba2 0xfbe8 0xfc2c 0xfc0c 0xfbe4 0xfbd1 0xfbba 0xfbd0 0xfc50 0xfcb4 0xfd76 
0xfc31 0xfb0a 0xfad2 0xfa79 0xfa88 0xfad9 0xfc17 0xfc4f 0xfc40 0xfbf2 0xfc08 0xfbd6 0xfc37 0xfc96 0xfd2e 0xfdfc 
0x51f7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdcc 0xf57d 0x1e27 0xd787 0xfff8 0xfff8 0x0003 0x0000 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0630 0x18c2 0x18c2 0x18c2 0x18c2 0x18c1 0x18c1 0x18c1 0xfdca 0xcbcb 0xce4f 0xd709 0xfff9 0xfff6 0x0003 0x0007 
