1728232439
0xf9f9 0xf8f9 0xf83b 0xf7bc 0xf6ec 0xf668 0xf615 0xf60b 0xf6a4 0xf7d3 0xf8a7 0xf932 0xf9a4 0xfa14 0xfad3 0xfc17 
0xf969 0xf89b 0xf7c9 0xf702 0xf615 0xf58a 0xf54a 0xf51d 0xf5f0 0xf79a 0xf832 0xf8af 0xf90a 0xf9a7 0xfa74 0xfb17 
0xf8c9 0xf7d1 0xf715 0xf64c 0xf53b 0xf48f 0xf442 0xf41c 0xf519 0xf6e3 0xf756 0xf7b2 0xf872 0xf927 0xfa07 0xfabc 
0xf8a3 0xf7a5 0xf6b9 0xf5da 0xf4af 0xf3eb 0xf3c2 0xf396 0xf45a 0xf5c2 0xf658 0xf723 0xf82d 0xf900 0xf9c5 0xfa95 
0xf84c 0xf727 0xf64d 0xf551 0xf440 0xf3a0 0xf347 0xf34e 0xf3de 0xf511 0xf59e 0xf688 0xf7a4 0xf842 0xf948 0xfa64 
0xf829 0xf716 0xf61f 0xf52c 0xf410 0xf376 0xf358 0xf989 0x02cf 0xf587 0xf5f1 0xf68b 0xf767 0xf880 0xf963 0xfa5d 
0xf81e 0xf6fc 0xf60d 0xf509 0xf403 0xf345 0xf30e 0xf351 0xf429 0xf5c7 0xf621 0xf699 0xf782 0xf879 0xf99b 0xfa95 
0xf844 0xf741 0xf653 0xf556 0xf45f 0xf3af 0xf374 0xf355 0xf3a0 0xf5f2 0xf617 0xf6f8 0xf813 0xf8e8 0xf9ea 0xfac7 
0xf86f 0xf76a 0xf694 0xf5bc 0xf4b6 0xf41c 0xf3e8 0xf3ac 0xf3ed 0xf5fb 0xf703 0xf7b2 0xf8a5 0xf93b 0xfa20 0xfaf6 
0xf8c7 0xf7ea 0xf721 0xf662 0xf573 0xf502 0xf4b2 0xf484 0xf4ac 0xf646 0xf7cc 0xf87d 0xf928 0xf9cd 0xfa90 0xfb5e 
0xf92b 0xf84e 0xf79e 0xf6e6 0xf63a 0xf5a3 0xf568 0xf535 0xf55b 0xf67f 0xf858 0xf8de 0xf98b 0xfa18 0xfade 0xfc00 
0xfab5 0xf8b1 0xf83d 0xf77c 0xf6f6 0xf67a 0xf64b 0xf63b 0xf66d 0xf6e3 0xf89b 0xf927 0xf9f9 0xfa98 0xfb8c 0xfd61 
0x4418 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdab 0xf4ee 0x19e4 0xd909 0xffe4 0xffe6 0xfff8 0xfff9 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06f2 0x1bcb 0x1bcb 0x1bcb 0x1bcb 0x1bca 0x1bca 0x1bca 0xfda8 0xce7d 0xd0d1 0xd8de 0xffe8 0xffe4 0xfffc 0xfffb 
