1728232439
0xfd4d 0xfcdf 0xfbbb 0xfad2 0xfa6f 0xfa2d 0xfa12 0xf9ea 0xf9ff 0xf9fc 0xfa40 0xfa74 0xfac8 0xfb12 0xfb97 0xfbf4 
0xfd46 0xfcbe 0xfb1a 0xfa7f 0xfa16 0xf9b5 0xf993 0xf970 0xf95e 0xf998 0xf9f6 0xfa27 0xfa8a 0xfad4 0xfb53 0xfbb9 
0xfd0f 0xfc44 0xfa99 0xfa15 0xf9aa 0xf94f 0xf90e 0xf90a 0xf8f0 0xf915 0xf966 0xf9c4 0xfa11 0xfa81 0xfb20 0xfb83 
0xfd0f 0xfbf1 0xfa5e 0xf9da 0xf953 0xf8f1 0xf8b8 0xf8a0 0xf89a 0xf8c7 0xf92d 0xf97a 0xf9d3 0xfa40 0xfae8 0xfb63 
0xfcd6 0xfb5b 0xfa13 0xf996 0xf90c 0xf89f 0xf873 0xf86e 0xf84f 0xf894 0xf8e8 0xf936 0xf980 0xfa0a 0xfab7 0xfb42 
0xfcb5 0xfb42 0xfa0b 0xf980 0xf8f5 0xf892 0xf87e 0xf842 0xf839 0xf875 0xf8d1 0xf90a 0xf981 0xfa03 0xfaab 0xfb5a 
0xfc88 0xfad8 0xf9ea 0xf96a 0xf8dc 0xf869 0xf853 0xf854 0xf818 0xf84c 0xf89c 0xf907 0xf980 0xf9f1 0xfab6 0xfb33 
0xfc73 0xfad4 0xfa18 0xf97e 0xf902 0xf8b1 0xf8b3 0xf875 0xf857 0xf893 0xf8e2 0xf936 0xf996 0xfa21 0xfabc 0xfb63 
0xfc4b 0xfabf 0xfa22 0xf9af 0xf937 0xf8cb 0xf88e 0xf894 0xf8a6 0xf89c 0xf8f7 0xf97d 0xf9c5 0xfa2e 0xfaf5 0xfb6a 
0xfc48 0xfaf6 0xfa5d 0xf9ea 0xf97a 0xf933 0xf931 0xf8e8 0xf909 0xf8fc 0xf95c 0xf9d0 0xfa2a 0xfac6 0xfb2f 0xfba9 
0xfc25 0xfb0b 0xfa8d 0xfa3f 0xf9dc 0xf97e 0xf982 0xf94c 0xf949 0xf964 0xf9a2 0xfa05 0xfa8e 0xface 0xfb54 0xfbcd 
0xfc4e 0xfb31 0xfabd 0xfa42 0xf9ff 0xf9cd 0xf9cf 0xf9b6 0xf9ad 0xf9d4 0xfa3b 0xfa80 0xfac7 0xfb20 0xfb98 0xfbfb 
0x54e1 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfcf2 0xf532 0x20a7 0xd7f3 0xfff5 0xfff9 0x000a 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c3 0x170d 0x170d 0x170d 0x170d 0x170c 0x170c 0x170c 0xfcf1 0xcc65 0xcf30 0xd720 0xfff5 0xfff4 0x000b 0x000a 
