1728232469
0xfcff 0xfcd3 0xfcbd 0xfc99 0xfc5b 0xfc34 0xfc1e 0xfbda 0xfba2 0xfb53 0xfb05 0xfa8d 0xfa7b 0xfaa5 0xfb2e 0xfc04 
0xfd0e 0xfcd5 0xfcab 0xfc79 0xfc4c 0xfc23 0xfc09 0xfbfd 0xfbd8 0xfb7c 0xfb37 0xfb14 0xfa8d 0xfaa7 0xfb07 0xfb88 
0xfccb 0xfc94 0xfc5a 0xfc2d 0xfc14 0xfbd6 0xfbd2 0xfba5 0xfb78 0xfb73 0xfb43 0xfb27 0xfaf0 0xfa6e 0xfad5 0xfb50 
0xfccc 0xfc7f 0xfc3d 0xfc21 0xfbd9 0xfbba 0xfba0 0xfb92 0xfb69 0xfb54 0xfb8e 0xfb76 0xfb33 0xfaf1 0xfb20 0xfb85 
0xfcab 0xfc4d 0xfbf7 0xfbc8 0xfba3 0xfb74 0xfb6a 0xfb69 0xfb55 0xfb2d 0xfb4d 0xfb74 0xfb4d 0xfb3a 0xfaef 0xfb23 
0xfcb4 0xfc4e 0xfc20 0xfbcc 0xfb60 0xfb23 0xfb4a 0xfb51 0xfb5c 0xfb51 0xfb66 0xfb58 0xfbbd 0xfb79 0xfb4a 0xfb39 
0xfc71 0xfc25 0xfc19 0xfbdc 0xfb88 0xfb19 0xfabd 0xfb15 0xfb32 0xfb46 0xfb33 0xfb43 0xfbc1 0xfb94 0xfb91 0xfb5f 
0xfc68 0xfc50 0xfc46 0xfc0f 0xfba6 0xfb71 0xfb45 0xfad4 0xfb1c 0xfb69 0xfb79 0xfb8d 0xfbcc 0xfbdb 0xfbdf 0xfb90 
0xfc68 0xfc5a 0xfc27 0xfc0d 0xfbb2 0xfbbb 0xfb44 0xfaf2 0xfb0b 0xfb0d 0xfb30 0xfb5c 0xfba1 0xfbf7 0xfbe4 0xfbb8 
0xfcac 0xfc85 0xfc50 0xfc1c 0xfbff 0xfbc5 0xfb97 0xfb6f 0xfb54 0xfb33 0xfb7d 0xfbb1 0xfbc4 0xfc0c 0xfc16 0xfc07 
0xfca7 0xfc68 0xfc48 0xfc2d 0xfc0e 0xfbe8 0xfbcd 0xfbc8 0xfb8a 0xfb7d 0xfb8d 0xfc0a 0xfc1e 0xfc3a 0xfc2c 0xfcd2 
0xfcdd 0xfc6b 0xfc5d 0xfc30 0xfc2c 0xfc01 0xfc08 0xfbe4 0xfbc6 0xfbc5 0xfbfb 0xfc36 0xfc6b 0xfc6b 0xfca5 0xfdae 
0x518f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd5e 0xf579 0x1dfb 0xd784 0xfff7 0xfff8 0x0002 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x063a 0x18eb 0x18eb 0x18eb 0x18eb 0x18ea 0x18ea 0x18ea 0xfd59 0xcbce 0xce4f 0xd709 0xfff9 0xfff4 0x0005 0x0003 
