1728232499
0xf9a6 0xf8a1 0xf7e4 0xf766 0xf692 0xf615 0xf5ef 0xf735 0xf7c5 0xf7cd 0xf851 0xf8d0 0xf94a 0xf9c1 0xfa89 0xfbcb 
0xf917 0xf847 0xf771 0xf6aa 0xf5bc 0xf52e 0xf4fa 0xf5ff 0xf6a2 0xf70c 0xf77c 0xf83e 0xf8d7 0xf98b 0xfa3b 0xfad8 
0xf874 0xf779 0xf6bc 0xf5f3 0xf4dd 0xf431 0xf3e5 0xf410 0xf541 0xf5f8 0xf6a0 0xf798 0xf84c 0xf90d 0xf9de 0xfa83 
0xf84d 0xf74c 0xf662 0xf582 0xf452 0xf388 0xf363 0xf33a 0xf47e 0xf5c8 0xf656 0xf76c 0xf819 0xf8ee 0xf9bd 0xfa59 
0xf7fa 0xf6d6 0xf5f3 0xf4f9 0xf3e0 0xf33b 0xf2cf 0xf2b3 0xf79b 0xf993 0xf609 0xf700 0xf7da 0xf865 0xf941 0xfa27 
0xf7d2 0xf6c5 0xf5c9 0xf4d5 0xf3af 0xf309 0xf2c5 0xf298 0xf299 0xf45b 0xf5ea 0xf6f9 0xf7aa 0xf89d 0xf93b 0xf9fe 
0xf7cb 0xf6a5 0xf5b6 0xf4ae 0xf3a5 0xf2dd 0xf29a 0xf278 0xf294 0xf322 0xf5ae 0xf6db 0xf7aa 0xf846 0xf92b 0xfa12 
0xf7f3 0xf6ed 0xf5fb 0xf4fd 0xf400 0xf34a 0xf30f 0xf2dd 0xf2ec 0xf349 0xf47d 0xf696 0xf7c4 0xf890 0xf984 0xfa4a 
0xf822 0xf716 0xf63f 0xf563 0xf45d 0xf3bd 0xf386 0xf343 0xf36a 0xf3ad 0xf4a8 0xf637 0xf7c8 0xf8af 0xf99c 0xfa74 
0xf879 0xf79a 0xf6cf 0xf60f 0xf51a 0xf4a9 0xf453 0xf425 0xf43d 0xf492 0xf577 0xf622 0xf7be 0xf914 0xf9f2 0xfacb 
0xf8e3 0xf801 0xf74f 0xf693 0xf5e4 0xf54c 0xf510 0xf4d6 0xf4f2 0xf573 0xf649 0xf6a0 0xf77e 0xf8eb 0xfa15 0xfb6c 
0xfa6d 0xf867 0xf7f1 0xf72e 0xf6a6 0xf629 0xf5f6 0xf5e3 0xf5fc 0xf651 0xf6ff 0xf777 0xf80c 0xf8f0 0xfa9a 0xfce3 
0x440f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd38 0xf4ed 0x19e2 0xd90a 0xffe6 0xffe7 0xfff8 0xfff7 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06f3 0x1bcf 0x1bcf 0x1bcf 0x1bcf 0x1bce 0x1bce 0x1bce 0xfd3b 0xce7d 0xd0cf 0xd8df 0xffe5 0xffe4 0xfffb 0xfffa 
