1728232499
0xfd83 0xfd49 0xfd23 0xfc9b 0xfb42 0xfa36 0xfa1b 0xf9f0 0xfa04 0xfa03 0xfa46 0xfa7b 0xfac9 0xfb17 0xfb99 0xfbf3 
0xfd80 0xfd29 0xfcce 0xfbc8 0xfa35 0xf9c0 0xf99b 0xf978 0xf967 0xf9a0 0xf9f9 0xfa2d 0xfa8e 0xfad7 0xfb55 0xfbb9 
0xfd3d 0xfcd9 0xfc57 0xfa8e 0xf9b2 0xf958 0xf917 0xf911 0xf8f3 0xf91f 0xf96b 0xf9c6 0xfa15 0xfa86 0xfb23 0xfb86 
0xfd1b 0xfc8a 0xfb62 0xf9e5 0xf95a 0xf8fa 0xf8c1 0xf8a8 0xf89f 0xf8ce 0xf933 0xf97d 0xf9d8 0xfa42 0xfaea 0xfb65 
0xfcb2 0xfbcd 0xfa42 0xf99d 0xf910 0xf8aa 0xf87c 0xf872 0xf856 0xf899 0xf8ed 0xf939 0xf983 0xfa0d 0xfaba 0xfb40 
0xfc62 0xfb36 0xfa0f 0xf987 0xf8fa 0xf898 0xf884 0xf84a 0xf83d 0xf87e 0xf8d6 0xf90f 0xf982 0xfa07 0xfaad 0xfb5a 
0xfbfd 0xfa7f 0xf9ee 0xf96b 0xf8e3 0xf86f 0xf858 0xf85b 0xf81f 0xf850 0xf8a1 0xf90d 0xf986 0xf9f8 0xfaba 0xfb38 
0xfba8 0xfa82 0xfa1b 0xf980 0xf908 0xf8b6 0xf8b7 0xf879 0xf85c 0xf89a 0xf8e2 0xf93b 0xf99b 0xfa29 0xfac4 0xfb65 
0xfb3d 0xfa82 0xfa21 0xf9b1 0xf939 0xf8cd 0xf893 0xf89b 0xf8ad 0xf8a2 0xf8fb 0xf983 0xf9c8 0xfa34 0xfaf8 0xfb6d 
0xfb37 0xfac1 0xfa5e 0xf9ef 0xf97f 0xf937 0xf933 0xf8ea 0xf911 0xf905 0xf95f 0xf9d3 0xfa1b 0xfabe 0xfb55 0xfbb2 
0xfb45 0xfad3 0xfa8f 0xfa42 0xf9e3 0xf982 0xf986 0xf94d 0xf94f 0xf969 0xf9a8 0xf9f9 0xfaa4 0xfae0 0xfb60 0xfbd4 
0xfbd9 0xfaf2 0xfabe 0xfa45 0xfa03 0xf9cc 0xf9d7 0xf9b9 0xf9b2 0xf9d7 0xfa31 0xfa8f 0xfad4 0xfb2a 0xfb9b 0xfbfe 
0x54e7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfcf5 0xf533 0x20aa 0xd7f2 0xfff7 0xfff5 0x0008 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c2 0x1709 0x1709 0x1709 0x1709 0x1708 0x1708 0x1708 0xfcf3 0xcc66 0xcf31 0xd720 0xfff8 0xfff2 0x000b 0x000c 
