1728232529
0xfd13 0xfce8 0xfcd4 0xfca2 0xfc63 0xfc3e 0xfc34 0xfc1b 0xfbf1 0xfb78 0xfb68 0xfbac 0xfb9f 0xfb18 0xfb5e 0xfc1e 
0xfd1e 0xfced 0xfcc4 0xfc89 0xfc49 0xfc15 0xfbf5 0xfbe2 0xfbbe 0xfbc2 0xfb80 0xfb4c 0xfb86 0xfb6e 0xfb3c 0xfb9f 
0xfcde 0xfcb7 0xfc84 0xfc49 0xfc0e 0xfba7 0xfba0 0xfb99 0xfb59 0xfb5c 0xfbaa 0xfb66 0xfb29 0xfb5f 0xfb0b 0xfb5d 
0xfce5 0xfca8 0xfc74 0xfc44 0xfbe6 0xfbbf 0xfb81 0xfb6b 0xfb46 0xfb44 0xfba5 0xfbab 0xfb48 0xfb7c 0xfb32 0xfb82 
0xfcbf 0xfc81 0xfc45 0xfc0f 0xfbbe 0xfb8a 0xfb4e 0xfb3d 0xfb08 0xfb07 0xfb3f 0xfb78 0xfb31 0xfb49 0xfb00 0xfb1f 
0xfcc7 0xfc80 0xfc43 0xfbe2 0xfba7 0xfb81 0xfb73 0xfb3f 0xfb4e 0xfb34 0xfb15 0xfb88 0xfb6e 0xfb64 0xfaf6 0xfb22 
0xfc72 0xfc3c 0xfc1b 0xfbe7 0xfba7 0xfb64 0xfb48 0xfb41 0xfadd 0xfaca 0xfb18 0xfb78 0xfb5f 0xfb43 0xfae0 0xfb35 
0xfc8b 0xfc3c 0xfc12 0xfbd3 0xfb83 0xfb86 0xfb81 0xfb51 0xfb23 0xfaee 0xfb43 0xfb72 0xfb7d 0xfb52 0xfaf6 0xfb50 
0xfc69 0xfc4b 0xfc07 0xfbd4 0xfb64 0xfb6f 0xfb48 0xfb56 0xfb18 0xfaeb 0xfb07 0xfb5a 0xfb49 0xfb14 0xfaea 0xfb6d 
0xfc84 0xfc76 0xfc44 0xfbfe 0xfbd2 0xfb68 0xfb58 0xfb29 0xfb09 0xfb17 0xfb59 0xfb8d 0xfb7a 0xfaed 0xfb2c 0xfbb9 
0xfc78 0xfc5b 0xfc3b 0xfc15 0xfbdd 0xfbad 0xfb8f 0xfb60 0xfb14 0xfb7e 0xfbbf 0xfbc8 0xfb51 0xfb13 0xfb69 0xfc89 
0xfcd3 0xfc5f 0xfc4a 0xfc16 0xfc12 0xfbdd 0xfbd5 0xfb93 0xfb6a 0xfbc0 0xfc0a 0xfbb0 0xfb2c 0xfb4a 0xfc1b 0xfd78 
0x518c 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd4d 0xf578 0x1dfb 0xd784 0xfff7 0xfff8 0x0003 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x063a 0x18eb 0x18eb 0x18eb 0x18eb 0x18ea 0x18ea 0x18ea 0xfd4a 0xcbd1 0xce50 0xd709 0xfffa 0xfff7 0x0003 0x0007 
