1728232559
0xfc17 0xfb75 0xfb1f 0xfad6 0xfa75 0xfa1c 0xfa01 0xf9e5 0xf9d4 0xfa06 0xfa43 0xfaa7 0xfae5 0xfb2c 0xfbcd 0xfd3d 
0xfbd1 0xfb65 0xfaf6 0xfa7f 0xfa27 0xf9bf 0xf9a6 0xf957 0xf968 0xf995 0xf9e7 0xfa3c 0xfa9b 0xfaf2 0xfb6f 0xfc4d 
0xfb87 0xfaf1 0xfa66 0xfa0d 0xf97a 0xf924 0xf908 0xf8d9 0xf8c0 0xf8fd 0xf94d 0xf9af 0xfa22 0xfa87 0xfb16 0xfb98 
0xfb54 0xfac8 0xfa4a 0xf9c1 0xf94b 0xf8cf 0xf8b2 0xf87c 0xf872 0xf8b1 0xf900 0xf975 0xf9d2 0xfa82 0xfafa 0xfb90 
0xfb18 0xfa80 0xf9fc 0xf965 0xf8d6 0xf86f 0xf83c 0xf839 0xf819 0xf847 0xf8ac 0xf917 0xf990 0xfa2c 0xfab9 0xfb55 
0xfb1a 0xfa75 0xf9f1 0xf958 0xf8cb 0xf873 0xf835 0xf810 0xf81a 0xf826 0xf8aa 0xf904 0xf980 0xfa1a 0xfab2 0xfb51 
0xfae9 0xfa54 0xf9d3 0xf95b 0xf8bb 0xf84b 0xf818 0xf7e9 0xf7e6 0xf816 0xf8a1 0xf8fe 0xf965 0xfa02 0xfaa3 0xfb46 
0xfb09 0xfa72 0xfa06 0xf984 0xf8f4 0xf881 0xf84e 0xf848 0xf834 0xf863 0xf8ea 0xf932 0xf98d 0xfa31 0xfaec 0xfb6e 
0xfb00 0xfa7e 0xfa02 0xf988 0xf8f3 0xf87d 0xf871 0xf84d 0xf844 0xf8a1 0xf8de 0xf950 0xf9bc 0xfa42 0xfaee 0xfb82 
0xfb45 0xfac1 0xfa4f 0xf9e4 0xf972 0xf90a 0xf8e7 0xf8c2 0xf8b9 0xf8f7 0xf95a 0xf9b8 0xfa1f 0xfaa6 0xfb56 0xfbc1 
0xfb43 0xfad6 0xfa73 0xfa14 0xf9bb 0xf953 0xf950 0xf92c 0xf923 0xf934 0xf9a4 0xf9ea 0xfa6a 0xfad3 0xfb64 0xfc09 
0xfb75 0xfafb 0xfacb 0xfa4d 0xfa00 0xf9c1 0xf9bf 0xf981 0xf9af 0xf9a8 0xfa1e 0xfa65 0xfad4 0xfb3e 0xfbd9 0xfcdd 
0x5147 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9c 0xf591 0x1de0 0xd762 0xfff3 0xfff6 0x0000 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ec 0x17b2 0x17b2 0x17b2 0x17b2 0x17b1 0x17b1 0x17b1 0xfd9a 0xcce3 0xced8 0xd7ec 0xfff7 0xfff2 0x0004 0x0006 
