1728232559
0xf9a9 0xf8b0 0xf7f9 0xf782 0xf6b2 0xf631 0xf5db 0xf5c8 0xf5bb 0xf5e2 0xf667 0xf6da 0xf7c4 0xf8f7 0xfa1f 0xfb7d 
0xf921 0xf859 0xf78e 0xf6cc 0xf5e5 0xf559 0xf51b 0xf4e5 0xf4c4 0xf501 0xf58f 0xf62a 0xf6e6 0xf8b5 0xf9e9 0xfaa3 
0xf880 0xf790 0xf6df 0xf620 0xf50c 0xf465 0xf41b 0xf3ee 0xf3e6 0xf43d 0xf4d1 0xf56e 0xf61c 0xf814 0xf967 0xfa4e 
0xf863 0xf76b 0xf689 0xf5b1 0xf487 0xf3c5 0xf39a 0xf365 0xf361 0xf39e 0xf44a 0xf523 0xf5c4 0xf76b 0xf912 0xfa1f 
0xf80f 0xf6f6 0xf621 0xf52b 0xf414 0xf376 0xf30d 0xf2e1 0xf2c5 0xf32a 0xf3d6 0xf487 0xf576 0xf66b 0xf858 0xf9e5 
0xf7eb 0xf6e5 0xf5f5 0xf507 0xf3e6 0xf344 0xf2ff 0xf2d5 0xf2ae 0xf339 0xf3fe 0xf48c 0xf557 0xf6ae 0xf860 0xf9d9 
0xf7e4 0xf6c8 0xf5e3 0xf4e3 0xf3de 0xf319 0xf2cb 0xf2b1 0xf2cc 0xf32e 0xf400 0xf48c 0xf563 0xf663 0xf861 0xf9f5 
0xf80c 0xf70c 0xf625 0xf530 0xf438 0xf387 0xf347 0xf31d 0xf325 0xf37f 0xf409 0xf4c3 0xf5be 0xf6a4 0xf880 0xfa03 
0xf837 0xf733 0xf664 0xf593 0xf490 0xf3f5 0xf3c3 0xf382 0xf3a6 0xf3e3 0xf4cd 0xf554 0xf615 0xf700 0xf887 0xfa2b 
0xf888 0xf7b2 0xf6f2 0xf639 0xf548 0xf4dd 0xf48b 0xf45e 0xf471 0xf4c5 0xf579 0xf61d 0xf6f0 0xf7b4 0xf8e1 0xfa95 
0xf8ec 0xf812 0xf768 0xf6b4 0xf60a 0xf574 0xf541 0xf508 0xf520 0xf588 0xf673 0xf6d1 0xf76c 0xf81f 0xf957 0xfb2e 
0xfa5e 0xf86f 0xf800 0xf747 0xf6bf 0xf647 0xf61a 0xf60b 0xf61a 0xf673 0xf726 0xf793 0xf816 0xf8cc 0xfa30 0xfca3 
0x4517 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfcf7 0xf4fb 0x1a40 0xd910 0xffe2 0xffe7 0xfff9 0xfff7 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06da 0x1b6b 0x1b6b 0x1b6b 0x1b6b 0x1b6a 0x1b6a 0x1b6a 0xfcf3 0xce79 0xd0d3 0xd8e1 0xffe3 0xffe4 0xfffb 0xfffa 
