1728232559
0xfdc8 0xfda3 0xfda5 0xfd6a 0xfd48 0xfd0f 0xfc9c 0xfb89 0xfa2c 0xfa1a 0xfa55 0xfa88 0xfada 0xfb23 0xfba5 0xfbff 
0xfddc 0xfdb0 0xfd9a 0xfd5a 0xfd3b 0xfce8 0xfccb 0xfadf 0xf98a 0xf9b8 0xfa0c 0xfa37 0xfaa0 0xfae8 0xfb5f 0xfbc6 
0xfdb0 0xfd7e 0xfd5d 0xfd2e 0xfd05 0xfca6 0xfc69 0xfa17 0xf918 0xf935 0xf97d 0xf9d6 0xfa26 0xfa97 0xfb2e 0xfb90 
0xfdb7 0xfd60 0xfd4f 0xfd0c 0xfcb1 0xfc66 0xfb90 0xf945 0xf8c0 0xf8e8 0xf947 0xf98e 0xf9ec 0xfa57 0xfaf6 0xfb6f 
0xfd8a 0xfd2b 0xfcf5 0xfcc5 0xfc3a 0xfbff 0xfac8 0xf8c9 0xf874 0xf8b5 0xf8ff 0xf94c 0xf999 0xfa21 0xfac3 0xfb50 
0xfd94 0xfd3b 0xfce1 0xfc89 0xfc16 0xfbc0 0xfa67 0xf86f 0xf85c 0xf897 0xf8ea 0xf922 0xf99b 0xfa19 0xfab8 0xfb66 
0xfd68 0xfce4 0xfcbe 0xfc4f 0xfbf6 0xfb42 0xf9b5 0xf877 0xf83b 0xf86b 0xf8b7 0xf920 0xf99b 0xfa08 0xfac4 0xfb41 
0xfd3f 0xfcdd 0xfcbe 0xfc32 0xfbd9 0xfb16 0xf960 0xf894 0xf87b 0xf8b3 0xf8fa 0xf94c 0xf9ae 0xfa3c 0xfacc 0xfb6d 
0xfcdb 0xfc9c 0xfc80 0xfc36 0xfbef 0xfac6 0xf8ca 0xf8b5 0xf8c8 0xf8bb 0xf910 0xf993 0xf9dc 0xfa42 0xfb02 0xfb74 
0xfcd5 0xfca3 0xfc7e 0xfc2c 0xfc2a 0xfa85 0xf956 0xf903 0xf92e 0xf91a 0xf971 0xf9e1 0xfa30 0xfaa8 0xfb4c 0xfbc2 
0xfcad 0xfc86 0xfc7c 0xfc40 0xfbc4 0xf9f8 0xf99b 0xf963 0xf966 0xf97c 0xf9b3 0xfa03 0xfa91 0xfaf3 0xfb67 0xfbdb 
0xfcd0 0xfc79 0xfc68 0xfc03 0xfb3c 0xf9ff 0xf9e9 0xf9c8 0xf9c7 0xf9e7 0xfa3b 0xfa8f 0xfae5 0xfb35 0xfba3 0xfc06 
0x54eb 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd09 0xf533 0x20aa 0xd7f1 0xfffa 0xfffa 0x0006 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c2 0x1709 0x1709 0x1709 0x1709 0x1708 0x1708 0x1708 0xfd06 0xcc67 0xcf32 0xd71f 0xfffa 0xfff6 0x0008 0x000a 
