1728232589
0xfc1a 0xfb7c 0xfb27 0xfadd 0xfa7f 0xfa29 0xfa0d 0xf9f3 0xf9e3 0xfa12 0xfa4f 0xfab2 0xfaf0 0xfb36 0xfbd4 0xfd3f 
0xfbd6 0xfb6b 0xfaff 0xfa89 0xfa32 0xf9ca 0xf9b7 0xf965 0xf976 0xf9a4 0xf9f5 0xfa47 0xfaa4 0xfb00 0xfb76 0xfc51 
0xfb8d 0xfafa 0xfa70 0xfa1b 0xf989 0xf933 0xf919 0xf8e9 0xf8d0 0xf90c 0xf95b 0xf9bb 0xfa2e 0xfa92 0xfb1c 0xfb9b 
0xfb5f 0xfad5 0xfa56 0xf9cc 0xf958 0xf8df 0xf8c6 0xf88e 0xf883 0xf8be 0xf910 0xf983 0xf9e1 0xfa8a 0xfb05 0xfb98 
0xfb21 0xfa8a 0xfa0a 0xf972 0xf8e5 0xf881 0xf850 0xf84a 0xf82c 0xf85a 0xf8bc 0xf92b 0xf9a0 0xfa3a 0xfac6 0xfb5e 
0xfb24 0xfa80 0xf9fd 0xf967 0xf8db 0xf886 0xf847 0xf820 0xf82b 0xf836 0xf8ba 0xf913 0xf98d 0xfa27 0xfabf 0xfb5d 
0xfaf2 0xfa5e 0xf9de 0xf96b 0xf8cd 0xf85d 0xf82b 0xf7fb 0xf7f8 0xf829 0xf8b4 0xf90c 0xf971 0xfa0e 0xfaab 0xfb4f 
0xfb11 0xfa7b 0xfa10 0xf991 0xf904 0xf891 0xf862 0xf858 0xf845 0xf875 0xf8fa 0xf941 0xf99a 0xfa41 0xfaf7 0xfb78 
0xfb07 0xfa88 0xfa0f 0xf997 0xf901 0xf88e 0xf882 0xf85b 0xf854 0xf8ad 0xf8ef 0xf961 0xf9ca 0xfa4d 0xfaf6 0xfb8a 
0xfb4c 0xfacc 0xfa5c 0xf9f0 0xf97f 0xf91b 0xf8f9 0xf8d4 0xf8cb 0xf908 0xf968 0xf9c8 0xfa2c 0xfab0 0xfb5e 0xfbc8 
0xfb49 0xfadf 0xfa7f 0xfa20 0xf9cb 0xf963 0xf961 0xf93a 0xf933 0xf940 0xf9b1 0xf9f6 0xfa74 0xfadc 0xfb6b 0xfc11 
0xfb7f 0xfb04 0xfad4 0xfa5a 0xfa0b 0xf9cd 0xf9cd 0xf991 0xf9b7 0xf9b4 0xfa2a 0xfa70 0xfae0 0xfb47 0xfbe2 0xfce1 
0x517e 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9a 0xf594 0x1df8 0xd764 0xfff4 0xfff3 0x0003 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05e7 0x179c 0x179c 0x179c 0x179c 0x179b 0x179b 0x179b 0xfd96 0xcce1 0xced8 0xd7ec 0xfff5 0xfff2 0x0003 0x000a 
