1728232589
0xf9dc 0xf8e8 0xf835 0xf7c4 0xf6f8 0xf67d 0xf629 0xf614 0xf605 0xf62e 0xf6ad 0xf71e 0xf7a4 0xf841 0xf9d1 0xfb68 
0xf959 0xf897 0xf7cf 0xf713 0xf630 0xf5ab 0xf56d 0xf536 0xf518 0xf556 0xf5dd 0xf673 0xf708 0xf7e3 0xf94f 0xfa84 
0xf8be 0xf7d5 0xf727 0xf66b 0xf560 0xf4bb 0xf470 0xf449 0xf441 0xf496 0xf526 0xf5bc 0xf65f 0xf741 0xf8d7 0xfa3a 
0xf8a1 0xf7b0 0xf6d4 0xf601 0xf4dc 0xf420 0xf3f6 0xf3c4 0xf3bf 0xf3f8 0xf4a1 0xf576 0xf610 0xf714 0xf8db 0xfa33 
0xf84e 0xf73b 0xf66e 0xf57e 0xf471 0xf3d5 0xf36c 0xf343 0xf325 0xf38a 0xf430 0xf4df 0xf5ca 0xf682 0xf895 0xfa0f 
0xf82c 0xf72f 0xf642 0xf55d 0xf446 0xf3a4 0xf35f 0xf335 0xf312 0xf395 0xf459 0xf4e3 0xf5ab 0xf6e4 0xf88b 0xfa08 
0xf824 0xf70f 0xf631 0xf538 0xf439 0xf378 0xf32f 0xf316 0xf32e 0xf38d 0xf459 0xf4e6 0xf5b7 0xf6b5 0xf89b 0xfa3d 
0xf84b 0xf752 0xf670 0xf582 0xf491 0xf3e6 0xf3a7 0xf37e 0xf384 0xf3de 0xf463 0xf516 0xf60e 0xf6fc 0xf916 0xfa64 
0xf875 0xf779 0xf6ae 0xf5e0 0xf4e5 0xf44f 0xf41f 0xf3de 0xf402 0xf43f 0xf51f 0xf5a6 0xf662 0xf753 0xf96e 0xfa82 
0xf8c2 0xf7f2 0xf735 0xf681 0xf599 0xf531 0xf4e2 0xf4b5 0xf4c9 0xf51b 0xf5c9 0xf65e 0xf733 0xf852 0xf9f6 0xfaec 
0xf91f 0xf84f 0xf7a7 0xf6fa 0xf652 0xf5c2 0xf58d 0xf55a 0xf572 0xf5d8 0xf6b1 0xf722 0xf7b9 0xf8ce 0xfa72 0xfb8f 
0xfa85 0xf8a3 0xf83b 0xf783 0xf702 0xf68d 0xf664 0xf654 0xf666 0xf6bd 0xf774 0xf7d7 0xf857 0xf9ac 0xfb19 0xfce8 
0x45b5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd1a 0xf501 0x1a76 0xd911 0xffe3 0xffe7 0xfff8 0xfffa 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x06cc 0x1b30 0x1b30 0x1b30 0x1b30 0x1b2f 0x1b2f 0x1b2f 0xfd16 0xce74 0xd0d4 0xd8e2 0xffe5 0xffe6 0xfffa 0xfffa 
