1728232679
0xfa6b 0xf98e 0xf8e9 0xf886 0xf7c9 0xf75a 0xf70c 0xf6fb 0xf6f0 0xf711 0xf783 0xf7ea 0xf868 0xf8fa 0xf9ef 0xfb9b 
0xf9fa 0xf947 0xf892 0xf7e5 0xf719 0xf69d 0xf666 0xf633 0xf617 0xf64e 0xf6ca 0xf756 0xf7e0 0xf8ba 0xf9c1 0xfae9 
0xf96d 0xf898 0xf7f8 0xf74e 0xf65b 0xf5c6 0xf581 0xf55b 0xf554 0xf5a1 0xf623 0xf6b4 0xf75c 0xf8b4 0xfa79 0xfb59 
0xf955 0xf876 0xf7ab 0xf6ef 0xf5e5 0xf537 0xf514 0xf4e3 0xf4e0 0xf518 0xf5b0 0xf688 0xf808 0xf9ce 0xfad4 0xfb6b 
0xf909 0xf80c 0xf750 0xf677 0xf584 0xf4f5 0xf492 0xf470 0xf454 0xf4b1 0xf563 0xf714 0xf8e9 0xf9c6 0xfa98 0xfb49 
0xf8e8 0xf802 0xf728 0xf656 0xf55c 0xf4cd 0xf48a 0xf463 0xf443 0xf4db 0xf6eb 0xf86b 0xf949 0xfa3a 0xfac9 0xfb5b 
0xf8de 0xf7e4 0xf717 0xf636 0xf550 0xf4a1 0xf45a 0xf444 0xf473 0xf66e 0xf81e 0xf8ca 0xf97f 0xfa1c 0xfacd 0xfb76 
0xf902 0xf81f 0xf754 0xf679 0xf59f 0xf502 0xf4ca 0xf4b2 0xf61c 0xf7cc 0xf887 0xf92c 0xf9ce 0xfa4e 0xfb04 0xfb91 
0xf926 0xf83c 0xf786 0xf6cd 0xf5e9 0xf563 0xf53e 0xf619 0xf7b2 0xf848 0xf917 0xf988 0xf9f8 0xfa5f 0xfb04 0xfbad 
0xf96d 0xf8ac 0xf7ff 0xf760 0xf68b 0xf635 0xf686 0xf7d2 0xf86f 0xf8e3 0xf98a 0xf9f9 0xfa39 0xfad1 0xfb59 0xfbfe 
0xf9ba 0xf8fc 0xf864 0xf7c7 0xf73a 0xf6ec 0xf81c 0xf879 0xf8d8 0xf95c 0xfa0d 0xfa4d 0xfa8d 0xfae7 0xfb9e 0xfc7a 
0xfaff 0xf944 0xf8e7 0xf845 0xf7e8 0xf839 0xf91e 0xf959 0xf981 0xf9c3 0xfa4d 0xfa85 0xfad3 0xfb49 0xfc21 0xfd87 
0x47aa 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd7c 0xf519 0x1b32 0xd91c 0xffea 0xffed 0xfff9 0xfff9 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x069b 0x1a6e 0x1a6e 0x1a6e 0x1a6e 0x1a6d 0x1a6d 0x1a6d 0xfd78 0xce69 0xd0d9 0xd8e3 0xffeb 0xffeb 0xfffe 0xffff 
