1728232709
0xfc30 0xfb9b 0xfb4a 0xfb05 0xfaa6 0xfa54 0xfa3b 0xfa23 0xfa11 0xfa41 0xfa7a 0xfad9 0xfb13 0xfb54 0xfbf0 0xfd4d 
0xfbf3 0xfb8c 0xfb22 0xfab2 0xfa60 0xf9fb 0xf9e7 0xf99a 0xf9ab 0xf9d6 0xfa25 0xfa74 0xfacc 0xfb23 0xfb95 0xfc69 
0xfbab 0xfb1f 0xfa9b 0xfa48 0xf9ba 0xf969 0xf951 0xf922 0xf90b 0xf946 0xf990 0xf9ee 0xfa5a 0xfab9 0xfb40 0xfbbd 
0xfb7d 0xfaf9 0xfa82 0xf9ff 0xf98e 0xf91b 0xf8ff 0xf8c9 0xf8c1 0xf8fb 0xf946 0xf9b6 0xfa0e 0xfab7 0xfb27 0xfbb4 
0xfb40 0xfab3 0xfa38 0xf9a4 0xf920 0xf8bd 0xf88f 0xf888 0xf86e 0xf896 0xf8f8 0xf961 0xf9cf 0xfa65 0xfaee 0xfb7e 
0xfb48 0xfaa8 0xfa2c 0xf99d 0xf914 0xf8c3 0xf888 0xf861 0xf86c 0xf878 0xf8f8 0xf94c 0xf9c0 0xfa54 0xfae6 0xfb7e 
0xfb13 0xfa84 0xfa0d 0xf99d 0xf90a 0xf89a 0xf86a 0xf83e 0xf83c 0xf865 0xf8f0 0xf947 0xf9a5 0xfa3c 0xfad4 0xfb70 
0xfb34 0xfaa2 0xfa3e 0xf9c5 0xf93b 0xf8cf 0xf8a0 0xf899 0xf887 0xf8b3 0xf934 0xf977 0xf9cb 0xfa6a 0xfb1c 0xfb99 
0xfb29 0xfab0 0xfa3b 0xf9c7 0xf938 0xf8c7 0xf8be 0xf89e 0xf893 0xf8e8 0xf924 0xf994 0xf9fc 0xfa78 0xfb1a 0xfba9 
0xfb71 0xfaf1 0xfa85 0xfa1f 0xf9af 0xf94e 0xf931 0xf90e 0xf904 0xf93f 0xf99f 0xf9f8 0xfa57 0xfad6 0xfb80 0xfbe5 
0xfb66 0xfb03 0xfaa4 0xfa4a 0xf9fb 0xf994 0xf994 0xf970 0xf965 0xf975 0xf9e1 0xfa26 0xfa9c 0xfb01 0xfb8b 0xfc28 
0xfb9a 0xfb22 0xfaf7 0xfa7d 0xfa36 0xf9fa 0xf9fa 0xf9bf 0xf9e7 0xf9e4 0xfa55 0xfaaf 0xfb07 0xfb67 0xfbfe 0xfcef 
0x523d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9a 0xf59c 0x1e4b 0xd766 0xfff7 0xfff7 0x0001 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05d4 0x1752 0x1752 0x1752 0x1752 0x1751 0x1751 0x1751 0xfd97 0xccdd 0xced8 0xd7ed 0xfff4 0xfff1 0x0004 0x0006 
