1728232709
0xfb85 0xfb11 0xfae3 0xfabc 0xfb21 0xfbae 0xfbd4 0xfb9e 0xfb55 0xfb3d 0xfb6b 0xfbd0 0xfc04 0xfc31 0xfca0 0xfd16 
0xfb63 0xfb04 0xfabe 0xfac3 0xfb9b 0xfbc5 0xfc09 0xfbca 0xfb6f 0xfb29 0xfb21 0xfb5b 0xfbbb 0xfc2a 0xfca7 0xfcdb 
0xfb09 0xfaaf 0xfa70 0xfb02 0xfbc3 0xfbdd 0xfc02 0xfbf4 0xfba7 0xfb6f 0xfb77 0xfb83 0xfb77 0xfbc5 0xfc4e 0xfca0 
0xfb02 0xfa90 0xfa7d 0xfbcd 0xfbec 0xfc14 0xfc03 0xfbc3 0xfb96 0xfbb2 0xfbaf 0xfbfa 0xfc29 0xfc36 0xfc47 0xfc96 
0xfada 0xfa69 0xfa9d 0xfc1e 0xfbec 0xfbb5 0xfbd9 0xfbd8 0xfbaa 0xfb6c 0xfb7c 0xfbcb 0xfc23 0xfc7c 0xfc99 0xfca5 
0xfadf 0xfa7b 0xfb01 0xfbc5 0xfb33 0xfb5d 0xfbcf 0xfbc4 0xfbbc 0xfb91 0xfbc0 0xfbec 0xfc30 0xfc58 0xfca1 0xfca9 
0xfab4 0xfa59 0xfb05 0xfb81 0xfaf5 0xfaf8 0xfb7b 0xfb95 0xfb2b 0xfb88 0xfbaa 0xfbf0 0xfc29 0xfc44 0xfc64 0xfcb8 
0xfadb 0xfa82 0xfb26 0xfbbf 0xfb80 0xfb2f 0xfb96 0xfb93 0xfb91 0xfb96 0xfb8a 0xfbd4 0xfc1f 0xfc73 0xfcbf 0xfd13 
0xfad3 0xfa90 0xfaf4 0xfbf8 0xfbcf 0xfbcf 0xfb68 0xfb4f 0xfb14 0xfb8c 0xfbc0 0xfbf2 0xfbef 0xfc4d 0xfcb8 0xfd11 
0xfb17 0xfad7 0xfafa 0xfc26 0xfc31 0xfbf6 0xfbea 0xfbda 0xfba5 0xfb5c 0xfb95 0xfc06 0xfc51 0xfc8e 0xfcda 0xfd2d 
0xfb49 0xfae0 0xfadf 0xfc00 0xfc2f 0xfbfb 0xfbf3 0xfbfc 0xfbee 0xfc0f 0xfc07 0xfbfb 0xfc0f 0xfc61 0xfcc2 0xfd70 
0xfc15 0xfb0a 0xfb01 0xfb5a 0xfc40 0xfc0f 0xfc1f 0xfbfb 0xfc02 0xfc22 0xfc4c 0xfc41 0xfc8a 0xfcb5 0xfd24 0xfdd7 
0x520c 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd6b 0xf57e 0x1e2f 0xd785 0xfffb 0xfffa 0x0001 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x062f 0x18bd 0x18bd 0x18bd 0x18bd 0x18bc 0x18bc 0x18bc 0xfd66 0xcbca 0xce4d 0xd707 0xfffb 0xfff5 0x0004 0x0006 
