1728232739
0xfd7a 0xfced 0xfcce 0xfb71 0xfa87 0xfa42 0xfa26 0xf9fa 0xfa10 0xfa12 0xfa54 0xfa88 0xfada 0xfb25 0xfba5 0xfbff 
0xfd7f 0xfd0d 0xfcbb 0xfbf3 0xfa3b 0xf9ce 0xf9a6 0xf984 0xf974 0xf9af 0xfa0a 0xfa3b 0xfa9f 0xfae7 0xfb61 0xfbc5 
0xfd22 0xfcf2 0xfc8f 0xfbfa 0xfa2a 0xf96a 0xf923 0xf920 0xf909 0xf930 0xf97c 0xf9d8 0xfa24 0xfa96 0xfb2e 0xfb8f 
0xfd13 0xfcbc 0xfc81 0xfc08 0xfa9d 0xf911 0xf8d8 0xf8b8 0xf8b4 0xf8e2 0xf943 0xf990 0xf9eb 0xfa53 0xfaf9 0xfb70 
0xfcdc 0xfcae 0xfc78 0xfc93 0xfb38 0xf8e0 0xf893 0xf887 0xf86a 0xf8b0 0xf8ff 0xf94b 0xf997 0xfa20 0xfac6 0xfb50 
0xfcd5 0xfcfa 0xfd06 0xfd2c 0xfc5f 0xf951 0xf8a0 0xf85e 0xf858 0xf896 0xf8e8 0xf921 0xf998 0xfa1a 0xfabb 0xfb66 
0xfce6 0xfcb6 0xfcbf 0xfcfa 0xfcd2 0xfa37 0xf87a 0xf871 0xf836 0xf867 0xf8b1 0xf91f 0xf997 0xfa07 0xfac5 0xfb43 
0xfce0 0xfcb9 0xfcdd 0xfcf4 0xfce2 0xfb82 0xf8e6 0xf892 0xf877 0xf8af 0xf8f6 0xf94b 0xf9ae 0xfa3a 0xfacb 0xfb6e 
0xfcb9 0xfc4d 0xfc6c 0xfcb0 0xfcba 0xfc21 0xf91a 0xf8b5 0xf8c4 0xf8ba 0xf910 0xf990 0xf9dc 0xfa43 0xfb01 0xfb75 
0xfce1 0xfc9d 0xfc72 0xfca1 0xfccc 0xfc82 0xfa50 0xf907 0xf92a 0xf919 0xf971 0xf9dd 0xfa2e 0xfaa3 0xfb32 0xfbb1 
0xfcdf 0xfcbc 0xfc69 0xfca0 0xfcd7 0xfc83 0xfb35 0xf96d 0xf965 0xf97c 0xf9b4 0xf9ff 0xfa7a 0xfadc 0xfb6b 0xfbe3 
0xfcfa 0xfcaa 0xfc8f 0xfc80 0xfcaf 0xfc83 0xfbdb 0xf9de 0xf9c8 0xf9e8 0xfa37 0xfa78 0xfade 0xfb30 0xfba0 0xfc05 
0x54f7 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd02 0xf534 0x20b1 0xd7f1 0xfff7 0xfff9 0x0007 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c0 0x1703 0x1703 0x1703 0x1703 0x1702 0x1702 0x1702 0xfd02 0xcc67 0xcf30 0xd71e 0xfff9 0xfff5 0x000a 0x000b 
