1728232799
0xfadb 0xfa19 0xf986 0xf92c 0xf883 0xf820 0xf7dc 0xf7cb 0xf7c0 0xf7df 0xf846 0xf8a2 0xf912 0xf9b0 0xfb44 0xfc59 
0xfa7f 0xf9de 0xf93a 0xf89f 0xf7e6 0xf778 0xf74a 0xf71d 0xf6fe 0xf734 0xf7a4 0xf81d 0xf896 0xf94c 0xfaa7 0xfbac 
0xf9fb 0xf93c 0xf8b1 0xf81c 0xf73e 0xf6b5 0xf67a 0xf656 0xf650 0xf69a 0xf70b 0xf78a 0xf809 0xf8c8 0xf9d5 0xfb5c 
0xf9ea 0xf921 0xf86e 0xf7c8 0xf6d3 0xf637 0xf617 0xf5ed 0xf5ea 0xf61a 0xf6a3 0xf750 0xf7d0 0xf8a1 0xf987 0xfafa 
0xf9a3 0xf8c1 0xf81a 0xf75b 0xf679 0xf5f8 0xf5a2 0xf587 0xf56a 0xf5bf 0xf646 0xf6d7 0xf793 0xf825 0xf916 0xfa69 
0xf988 0xf8ba 0xf7fa 0xf73c 0xf655 0xf5d8 0xf59c 0xf57d 0xf559 0xf5c5 0xf669 0xf6d8 0xf77b 0xf87d 0xf92b 0xfa21 
0xf97c 0xf89d 0xf7e8 0xf71c 0xf64b 0xf5ac 0xf56e 0xf55c 0xf571 0xf5c1 0xf669 0xf6db 0xf785 0xf84b 0xf93f 0xfa36 
0xf99e 0xf8cf 0xf81d 0xf757 0xf694 0xf608 0xf5d6 0xf5b4 0xf5b4 0xf5ff 0xf671 0xf703 0xf7cd 0xf886 0xf978 0xfa54 
0xf9bc 0xf8ee 0xf848 0xf7a4 0xf6d2 0xf65b 0xf635 0xf600 0xf61d 0xf649 0xf70a 0xf775 0xf811 0xf8b9 0xf9a0 0xfa7e 
0xf9fd 0xf950 0xf8b7 0xf825 0xf765 0xf710 0xf6d4 0xf6ae 0xf6c1 0xf703 0xf794 0xf809 0xf8a1 0xf957 0xfa27 0xfb02 
0xfa3e 0xf994 0xf90c 0xf880 0xf7fa 0xf781 0xf757 0xf72f 0xf745 0xf798 0xf83b 0xf89c 0xf939 0xf9bf 0xfa95 0xfbb7 
0xfb58 0xf9cc 0xf97c 0xf8e6 0xf880 0xf81e 0xf801 0xf7f9 0xf808 0xf83e 0xf8e6 0xf93e 0xf9a7 0xfa3c 0xfb4c 0xfd38 
0x4a36 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd78 0xf538 0x1c2c 0xd928 0xffed 0xffed 0xfffc 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x065d 0x1977 0x1977 0x1977 0x1977 0x1976 0x1976 0x1976 0xfd76 0xce57 0xd0dd 0xd8e6 0xffed 0xffea 0xfffd 0x0000 
