1728232829
0xfc46 0xfbb1 0xfb64 0xfb23 0xfac9 0xfa77 0xfa62 0xfa49 0xfa36 0xfa64 0xfaa1 0xfafb 0xfb34 0xfb71 0xfc09 0xfd55 
0xfc0b 0xfba5 0xfb40 0xfad7 0xfa85 0xfa25 0xfa13 0xf9c9 0xf9d4 0xfa01 0xfa4d 0xfa9a 0xfaef 0xfb3e 0xfbb2 0xfc7c 
0xfbc3 0xfb3a 0xfabc 0xfa6e 0xf9e5 0xf997 0xf97f 0xf953 0xf93a 0xf974 0xf9bd 0xfa19 0xfa7f 0xfadb 0xfb5c 0xfbd7 
0xfb99 0xfb18 0xfaa7 0xfa28 0xf9b9 0xf94a 0xf933 0xf8fe 0xf8f5 0xf92c 0xf976 0xf9e5 0xfa38 0xfad9 0xfb47 0xfbd2 
0xfb5f 0xfad4 0xfa5e 0xf9cd 0xf94e 0xf8f1 0xf8c4 0xf8bf 0xf8a1 0xf8ca 0xf92a 0xf98d 0xf9fa 0xfa8a 0xfb0f 0xfb9b 
0xfb65 0xfac9 0xfa54 0xf9c7 0xf948 0xf8f6 0xf8be 0xf898 0xf8a3 0xf8ad 0xf92b 0xf97b 0xf9ed 0xfa79 0xfb05 0xfb97 
0xfb35 0xfaa8 0xfa33 0xf9cb 0xf938 0xf8ce 0xf8a0 0xf875 0xf874 0xf89c 0xf921 0xf97a 0xf9d1 0xfa63 0xfaf6 0xfb8b 
0xfb51 0xfac4 0xfa65 0xf9f0 0xf96a 0xf901 0xf8d5 0xf8ce 0xf8bc 0xf8e7 0xf965 0xf9a5 0xf9f6 0xfa92 0xfb3b 0xfbb5 
0xfb47 0xfad1 0xfa5f 0xf9f3 0xf964 0xf8fa 0xf8f0 0xf8d1 0xf8c5 0xf91c 0xf957 0xf9c1 0xfa24 0xfa9b 0xfb39 0xfbc2 
0xfb89 0xfb0e 0xfaa9 0xfa45 0xf9db 0xf97b 0xf961 0xf93c 0xf933 0xf96f 0xf9c9 0xfa23 0xfa7d 0xfaf6 0xfb9a 0xfbfe 
0xfb7e 0xfb20 0xfac6 0xfa6f 0xfa20 0xf9bf 0xf9bf 0xf99c 0xf993 0xf99f 0xfa0c 0xfa4a 0xfac7 0xfb21 0xfba6 0xfc3f 
0xfbb2 0xfb3c 0xfb14 0xfaa0 0xfa59 0xfa1f 0xfa24 0xf9e7 0xfa0e 0xfa09 0xfa79 0xfab9 0xfb2b 0xfb82 0xfc13 0xfcfc 
0x52dd 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9d 0xf5a4 0x1e90 0xd769 0xfff6 0xfff6 0x0003 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c4 0x1712 0x1712 0x1712 0x1712 0x1711 0x1711 0x1711 0xfd98 0xccd7 0xced6 0xd7ed 0xfff8 0xfff4 0x0005 0x0009 
