1728232859
0xfdc5 0xfdae 0xfdaa 0xfd62 0xfc93 0xfb30 0xfa2a 0xf9fd 0xfa11 0xfa0e 0xfa53 0xfa87 0xfad4 0xfb20 0xfba5 0xfbfe 
0xfdd7 0xfdba 0xfd90 0xfd20 0xfc09 0xfa08 0xf9ab 0xf989 0xf978 0xf9ab 0xfa08 0xfa37 0xfa9c 0xfae1 0xfb60 0xfbc8 
0xfda3 0xfda2 0xfd60 0xfcc0 0xfb02 0xf96d 0xf929 0xf924 0xf907 0xf92c 0xf97d 0xf9d6 0xfa22 0xfa92 0xfb2c 0xfb91 
0xfdb4 0xfd86 0xfd41 0xfc3f 0xf9d4 0xf911 0xf8da 0xf8b7 0xf8b0 0xf8df 0xf942 0xf98c 0xf9e5 0xfa51 0xfaf7 0xfb72 
0xfd7b 0xfd45 0xfced 0xfb46 0xf931 0xf8be 0xf88f 0xf884 0xf866 0xf8ac 0xf8ff 0xf946 0xf993 0xfa1c 0xfac8 0xfb52 
0xfd72 0xfd3b 0xfc9d 0xfa38 0xf910 0xf8b0 0xf896 0xf85a 0xf851 0xf88f 0xf8e7 0xf91e 0xf991 0xfa16 0xfaba 0xfb65 
0xfd4c 0xfcea 0xfbe3 0xf998 0xf8f7 0xf887 0xf86c 0xf86c 0xf830 0xf860 0xf8b2 0xf91c 0xf993 0xfa07 0xfacb 0xfb45 
0xfd38 0xfcc4 0xfb13 0xf997 0xf91b 0xf8ce 0xf8cc 0xf88c 0xf86e 0xf8ab 0xf8f6 0xf94a 0xf9aa 0xfa35 0xfad0 0xfb74 
0xfcfd 0xfc59 0xfa5c 0xf9c2 0xf94d 0xf8e0 0xf8a8 0xf8ae 0xf8bc 0xf8b1 0xf90d 0xf992 0xf9d8 0xfa40 0xfb03 0xfb76 
0xfcea 0xfbe3 0xfa70 0xf9ff 0xf98c 0xf947 0xf948 0xf8fd 0xf91e 0xf912 0xf970 0xf9e2 0xfa28 0xfaa0 0xfb38 0xfbb3 
0xfc9d 0xfb31 0xfa9c 0xfa51 0xf9ed 0xf98e 0xf993 0xf95e 0xf95c 0xf975 0xf9b4 0xfa00 0xfa79 0xfad7 0xfb68 0xfbe0 
0xfc79 0xfb06 0xfac8 0xfa50 0xfa0d 0xf9db 0xf9e2 0xf9c6 0xf9bf 0xf9e2 0xfa38 0xfa79 0xfadb 0xfb31 0xfba7 0xfc09 
0x54f5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd04 0xf533 0x20b3 0xd7f2 0xfff5 0xfff8 0x0009 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c1 0x1705 0x1705 0x1705 0x1705 0x1704 0x1704 0x1704 0xfd01 0xcc65 0xcf32 0xd71f 0xfff8 0xfff5 0x000b 0x000c 
