1728232889
0xfd3b 0xfd3c 0xfd5a 0xfd40 0xfd13 0xfcf1 0xfce4 0xfcbf 0xfca9 0xfcac 0xfcba 0xfcdc 0xfccf 0xfc3b 0xfc0c 0xfc9d 
0xfd68 0xfd7e 0xfd66 0xfd2f 0xfd28 0xfce1 0xfcc2 0xfc9a 0xfca0 0xfca5 0xfc96 0xfcb6 0xfcdc 0xfcf1 0xfc60 0xfc45 
0xfd6d 0xfd66 0xfd32 0xfd05 0xfcf4 0xfc86 0xfc80 0xfc78 0xfc5f 0xfc4a 0xfc67 0xfca7 0xfcad 0xfccc 0xfcdd 0xfc30 
0xfd91 0xfd60 0xfd25 0xfd10 0xfca8 0xfc82 0xfc98 0xfc63 0xfc5e 0xfc3a 0xfc65 0xfc91 0xfcc1 0xfcea 0xfd11 0xfca5 
0xfd6f 0xfd38 0xfd14 0xfcdc 0xfc81 0xfc4c 0xfc63 0xfc50 0xfc2e 0xfc23 0xfc3c 0xfc62 0xfc98 0xfcce 0xfd0d 0xfcce 
0xfd78 0xfd56 0xfd0b 0xfcd0 0xfc5a 0xfc42 0xfc6e 0xfc42 0xfc29 0xfc28 0xfc37 0xfc61 0xfc9a 0xfcce 0xfcfa 0xfd00 
0xfd52 0xfd26 0xfce9 0xfca0 0xfc41 0xfc39 0xfc4e 0xfc60 0xfc1d 0xfc1e 0xfc3d 0xfc47 0xfc6b 0xfca2 0xfceb 0xfcfe 
0xfd63 0xfd24 0xfd07 0xfcb3 0xfc53 0xfc74 0xfc77 0xfc5e 0xfc49 0xfc49 0xfc69 0xfc72 0xfc8f 0xfcae 0xfce9 0xfd09 
0xfd29 0xfd05 0xfcdd 0xfca0 0xfc4f 0xfc9b 0xfc6e 0xfc4e 0xfc60 0xfc4e 0xfc68 0xfca9 0xfca3 0xfccf 0xfcee 0xfd0e 
0xfd23 0xfd17 0xfcee 0xfcad 0xfc75 0xfc70 0xfc74 0xfc56 0xfc64 0xfc6c 0xfc94 0xfcc8 0xfcbb 0xfcde 0xfd1c 0xfd29 
0xfcd9 0xfcde 0xfcb7 0xfca8 0xfc5b 0xfc35 0xfc20 0xfbf3 0xfc4f 0xfc96 0xfc98 0xfcb6 0xfca2 0xfcf4 0xfd23 0xfd81 
0xfd08 0xfc8f 0xfca6 0xfc79 0xfc5e 0xfc35 0xfc3b 0xfc17 0xfc27 0xfc5e 0xfc9c 0xfcb6 0xfccd 0xfd13 0xfd65 0xfe00 
0x52bd 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd89 0xf586 0x1e7a 0xd787 0xfffe 0xfffb 0x0005 0x0002 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x061e 0x187b 0x187b 0x187b 0x187b 0x187a 0x187a 0x187a 0xfd84 0xcbc2 0xce4a 0xd706 0xfffe 0xfff8 0x0006 0x0007 
