1728232919
0xfb3f 0xfa8c 0xfa05 0xf9ba 0xf926 0xf8cd 0xf887 0xf87e 0xf875 0xf892 0xf8f7 0xfa92 0xfb3b 0xfba9 0xfc60 0xfd31 
0xfaee 0xfa5f 0xf9c8 0xf93c 0xf896 0xf833 0xf80a 0xf7de 0xf7ca 0xf7f8 0xf86c 0xfa9b 0xfb30 0xfb84 0xfc67 0xfce0 
0xfa76 0xf9c9 0xf94b 0xf8c8 0xf7ff 0xf787 0xf74d 0xf72f 0xf72b 0xf76f 0xf7fd 0xfa6e 0xfadf 0xfb2e 0xfc44 0xfcba 
0xfa6b 0xf9b8 0xf910 0xf87e 0xf7a2 0xf717 0xf6f7 0xf6d4 0xf6d0 0xf701 0xf7d1 0xfa7a 0xfaa9 0xfb48 0xfc1f 0xfcac 
0xfa28 0xf95d 0xf8c4 0xf818 0xf752 0xf6dd 0xf690 0xf675 0xf65d 0xf6ad 0xf7bb 0xfa46 0xfa5e 0xfafd 0xfbda 0xfc93 
0xfa10 0xf957 0xf8a8 0xf7fc 0xf733 0xf6c1 0xf68a 0xf66d 0xf64f 0xf6b2 0xf81e 0xfa32 0xfa3d 0xfb2c 0xfbd9 0xfc68 
0xfa04 0xf938 0xf892 0xf7e1 0xf72a 0xf697 0xf65b 0xf64d 0xf663 0xf6b2 0xf852 0xf9f5 0xfa34 0xfac5 0xfbb1 0xfc72 
0xfa25 0xf96a 0xf8c5 0xf816 0xf768 0xf6ed 0xf6ba 0xf69d 0xf69d 0xf6ea 0xf884 0xf9f5 0xfa6a 0xfade 0xfbe1 0xfc82 
0xfa3d 0xf982 0xf8ed 0xf85b 0xf79f 0xf732 0xf70c 0xf6e2 0xf6fd 0xf72b 0xf908 0xfa2c 0xfac0 0xfb00 0xfbe4 0xfc8f 
0xfa75 0xf9da 0xf94e 0xf8cd 0xf81f 0xf7d7 0xf7a0 0xf77d 0xf791 0xf7d7 0xf973 0xfa64 0xfb10 0xfb96 0xfc4f 0xfcea 
0xfaad 0xfa14 0xf996 0xf91d 0xf8a4 0xf839 0xf80e 0xf7ee 0xf801 0xf857 0xf9f0 0xfac0 0xfb4b 0xfbc8 0xfc8d 0xfd2d 
0xfba8 0xfa43 0xf9fd 0xf971 0xf919 0xf8bf 0xf8a3 0xf89e 0xf8b0 0xf8ec 0xfa60 0xfb4b 0xfbaf 0xfc37 0xfcf3 0xfdd7 
0x4c52 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9c 0xf552 0x1d04 0xd930 0xfff3 0xfff2 0xffff 0xffff 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x062b 0x18ad 0x18ad 0x18ad 0x18ad 0x18ac 0x18ac 0x18ac 0xfd98 0xce49 0xd0df 0xd8e7 0xfff4 0xfff3 0x0001 0x0001 
