1728232919
0xfd6c 0xfcf6 0xfc60 0xfae8 0xfa82 0xfa41 0xfa25 0xf9f9 0xfa12 0xfa11 0xfa54 0xfa8a 0xfada 0xfb25 0xfba9 0xfc04 
0xfd80 0xfd01 0xfc42 0xfa96 0xfa2b 0xf9cf 0xf9aa 0xf988 0xf97a 0xf9b0 0xfa0b 0xfa3b 0xfaa1 0xfae8 0xfb66 0xfbca 
0xfd74 0xfcf4 0xfc18 0xfa38 0xf9c3 0xf967 0xf929 0xf921 0xf909 0xf931 0xf97e 0xf9d9 0xfa27 0xfa95 0xfb30 0xfb96 
0xfd9e 0xfcfb 0xfc18 0xfa0c 0xf96e 0xf90f 0xf8d6 0xf8bb 0xf8b3 0xf8e2 0xf946 0xf991 0xf9ec 0xfa53 0xfafc 0xfb75 
0xfd82 0xfcfd 0xfc02 0xf9da 0xf928 0xf8c0 0xf88f 0xf888 0xf86a 0xf8ad 0xf900 0xf94c 0xf996 0xfa21 0xfacb 0xfb54 
0xfd8d 0xfd34 0xfc33 0xf9dd 0xf913 0xf8b3 0xf89a 0xf85e 0xf853 0xf893 0xf8e6 0xf923 0xf997 0xfa1a 0xfabf 0xfb69 
0xfd74 0xfd16 0xfc47 0xf9ea 0xf8ff 0xf88c 0xf871 0xf870 0xf833 0xf867 0xf8b5 0xf921 0xf998 0xfa09 0xfacc 0xfb47 
0xfd7b 0xfd2f 0xfc8f 0xfa23 0xf922 0xf8d2 0xf8d0 0xf890 0xf871 0xf8ae 0xf8f9 0xf94f 0xf9ae 0xfa39 0xfad1 0xfb74 
0xfd56 0xfd10 0xfc9d 0xfa8a 0xf955 0xf8e6 0xf8ad 0xf8b3 0xf8c0 0xf8b6 0xf912 0xf997 0xf9da 0xfa42 0xfb02 0xfb78 
0xfd55 0xfd19 0xfcb7 0xfafb 0xf996 0xf94f 0xf94d 0xf903 0xf927 0xf916 0xf971 0xf9e2 0xfa2b 0xfaa5 0xfb37 0xfbb8 
0xfd2b 0xfcfd 0xfcb8 0xfb8a 0xf9f9 0xf995 0xf996 0xf964 0xf962 0xf97b 0xf9b7 0xfa04 0xfa7b 0xfad7 0xfb67 0xfbe2 
0xfd1b 0xfcde 0xfcaf 0xfbbf 0xfa17 0xf9de 0xf9e6 0xf9cb 0xf9c4 0xf9e7 0xfa37 0xfa77 0xfad9 0xfb32 0xfba4 0xfc0a 
0x5502 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd06 0xf534 0x20b7 0xd7f2 0xfff7 0xfff9 0x0008 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c0 0x1700 0x1700 0x1700 0x1700 0x16fe 0x16fe 0x16fe 0xfd04 0xcc66 0xcf33 0xd720 0xfff6 0xfff3 0x000c 0x000c 
