1728232949
0xfc57 0xfbc7 0xfb7c 0xfb3d 0xfae7 0xfa96 0xfa81 0xfa68 0xfa5a 0xfa86 0xfabe 0xfb17 0xfb4f 0xfb8a 0xfc1a 0xfd5e 
0xfc20 0xfbbd 0xfb5d 0xfaf2 0xfaa5 0xfa48 0xfa34 0xf9eb 0xf9fc 0xfa24 0xfa70 0xfab8 0xfb0d 0xfb5b 0xfbc7 0xfc8b 
0xfbda 0xfb56 0xfada 0xfa8e 0xfa09 0xf9bd 0xf9a5 0xf978 0xf966 0xf99c 0xf9e5 0xfa3c 0xfaa1 0xfaf7 0xfb75 0xfbe8 
0xfbb2 0xfb35 0xfac6 0xfa4a 0xf9e1 0xf973 0xf95c 0xf929 0xf922 0xf959 0xf9a0 0xfa07 0xfa5a 0xfaf7 0xfb60 0xfbe4 
0xfb77 0xfaf0 0xfa7d 0xf9f5 0xf97a 0xf91d 0xf8f2 0xf8ec 0xf8d2 0xf8f8 0xf955 0xf9b5 0xfa1e 0xfaa9 0xfb28 0xfbb3 
0xfb7d 0xfae7 0xfa74 0xf9ea 0xf970 0xf922 0xf8e8 0xf8c8 0xf8d4 0xf8d9 0xf956 0xf9a2 0xfa13 0xfa9c 0xfb22 0xfbaf 
0xfb4e 0xfac5 0xfa56 0xf9f0 0xf963 0xf8fc 0xf8d0 0xf8a4 0xf8a4 0xf8cb 0xf94f 0xf99e 0xf9f8 0xfa85 0xfb12 0xfba5 
0xfb69 0xfae3 0xfa86 0xfa14 0xf994 0xf92c 0xf902 0xf8fa 0xf8ea 0xf914 0xf990 0xf9cc 0xfa1b 0xfab1 0xfb57 0xfbcb 
0xfb5f 0xfaee 0xfa7e 0xfa15 0xf98f 0xf924 0xf91d 0xf8fd 0xf8f5 0xf947 0xf980 0xf9e6 0xfa47 0xfabb 0xfb53 0xfbd9 
0xfba1 0xfb2a 0xfac7 0xfa67 0xf9ff 0xf9a5 0xf988 0xf964 0xf95e 0xf99a 0xf9f0 0xfa44 0xfaa8 0xfb14 0xfbb3 0xfc11 
0xfb95 0xfb3a 0xfae1 0xfa8c 0xfa43 0xf9e2 0xf9e3 0xf9c4 0xf9b9 0xf9c5 0xfa2e 0xfa69 0xfaff 0xfb3d 0xfbbf 0xfc4f 
0xfbc5 0xfb54 0xfb2d 0xfabd 0xfa7a 0xfa42 0xfa42 0xfa0a 0xfa30 0xfa2b 0xfa99 0xfad6 0xfb58 0xfb9b 0xfc27 0xfd09 
0x5366 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd9e 0xf5ab 0x1ecb 0xd76b 0xfff5 0xfff5 0x0005 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b7 0x16dc 0x16dc 0x16dc 0x16dc 0x16db 0x16db 0x16db 0xfd9b 0xccd4 0xced8 0xd7ef 0xfff8 0xfff5 0x0004 0x0008 
