1728232949
0xfb48 0xfa9c 0xfa19 0xf9ce 0xf938 0xf8e0 0xf8a4 0xf896 0xf88c 0xf8a7 0xf8ff 0xf94d 0xf9b3 0xfa1d 0xfad7 0xfc51 
0xfaf9 0xfa6d 0xf9dc 0xf955 0xf8ae 0xf84b 0xf825 0xf7fc 0xf7e1 0xf80c 0xf873 0xf8dc 0xf949 0xf9e7 0xfa97 0xfbd8 
0xfa81 0xf9dd 0xf960 0xf8e1 0xf819 0xf7a2 0xf769 0xf74e 0xf745 0xf789 0xf7ef 0xf85f 0xf8cc 0xf974 0xfa49 0xfbb7 
0xfa79 0xf9ca 0xf929 0xf896 0xf7bd 0xf733 0xf717 0xf6f6 0xf6f0 0xf719 0xf792 0xf82c 0xf89d 0xf958 0xfa62 0xfbc0 
0xfa37 0xf96f 0xf8dd 0xf831 0xf76b 0xf6fb 0xf6af 0xf695 0xf67c 0xf6c7 0xf73d 0xf7c0 0xf86a 0xf8ec 0xfa68 0xfbcd 
0xfa21 0xf96b 0xf8be 0xf818 0xf74e 0xf6de 0xf6ac 0xf68f 0xf66e 0xf6ce 0xf75e 0xf7c5 0xf853 0xf941 0xfaee 0xfbd1 
0xfa15 0xf94d 0xf8ac 0xf7fd 0xf742 0xf6b7 0xf67b 0xf66e 0xf683 0xf6cb 0xf760 0xf7c4 0xf85b 0xf93a 0xfb40 0xfbf9 
0xfa31 0xf97b 0xf8da 0xf830 0xf786 0xf70a 0xf6dc 0xf6be 0xf6bd 0xf700 0xf766 0xf7eb 0xf8a1 0xf9e5 0xfb66 0xfc30 
0xfa4d 0xf991 0xf903 0xf873 0xf7b8 0xf74f 0xf72b 0xf6ff 0xf71a 0xf743 0xf7ec 0xf84f 0xf8e1 0xfa89 0xfb6b 0xfc5b 
0xfa82 0xf9e9 0xf95f 0xf8e3 0xf837 0xf7f3 0xf7bd 0xf79b 0xf7a9 0xf7ea 0xf866 0xf8d2 0xf99a 0xfb16 0xfbbc 0xfc9e 
0xfab8 0xfa22 0xf9ab 0xf932 0xf8bb 0xf851 0xf82b 0xf80b 0xf819 0xf867 0xf8f8 0xf94c 0xfa79 0xfb66 0xfc19 0xfcf2 
0xfbae 0xfa51 0xfa0e 0xf986 0xf92f 0xf8d7 0xf8bd 0xf8b9 0xf8c7 0xf8f7 0xf997 0xfa02 0xfb1a 0xfbc9 0xfc9f 0xfdaf 
0x4cc6 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8b 0xf558 0x1d35 0xd933 0xfff0 0xfff4 0x0000 0xfffe 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0620 0x1880 0x1880 0x1880 0x1880 0x1880 0x1880 0x1880 0xfd86 0xce46 0xd0e2 0xd8e9 0xfff1 0xffef 0x0002 0x0003 
