1728233009
0xfdb7 0xfd79 0xfd73 0xfd39 0xfcb1 0xfb9b 0xfac3 0xfa5a 0xfa5b 0xfa48 0xfa75 0xfaa8 0xfaf5 0xfb40 0xfbbe 0xfc16 
0xfdae 0xfd78 0xfd58 0xfd49 0xfd13 0xfca2 0xfc09 0xfa6c 0xf9e0 0xf9f4 0xfa3a 0xfa5d 0xfabe 0xfb05 0xfb7c 0xfbde 
0xfd95 0xfd6e 0xfd76 0xfd58 0xfd26 0xfcb9 0xfc6c 0xfbfc 0xfa18 0xf995 0xf9bd 0xfa05 0xfa4b 0xfab5 0xfb49 0xfbaa 
0xfdb1 0xfda0 0xfda2 0xfd77 0xfd4c 0xfcf4 0xfcb3 0xfbfd 0xfbbe 0xf9cf 0xf997 0xf9c8 0xfa18 0xfa77 0xfb15 0xfb8b 
0xfd96 0xfd7e 0xfd77 0xfd61 0xfd26 0xfd03 0xfce9 0xfcb9 0xfbe1 0xfb54 0xf996 0xf995 0xf9cc 0xfa4c 0xfae7 0xfb69 
0xfdb3 0xfd95 0xfd76 0xfd4c 0xfd04 0xfcde 0xfd08 0xfcc6 0xfc62 0xfc02 0xfa8e 0xf98b 0xf9db 0xfa48 0xfadd 0xfb81 
0xfdd9 0xfdc0 0xfdc2 0xfdb2 0xfd6e 0xfd46 0xfd2d 0xfd1d 0xfca2 0xfc35 0xfbbb 0xf9d8 0xf9ed 0xfa41 0xfaef 0xfb60 
0xfdfe 0xfdf0 0xfdf4 0xfdd0 0xfdbb 0xfdac 0xfdaa 0xfd82 0xfd1e 0xfca5 0xfc24 0xfab7 0xfa1c 0xfa7b 0xfaf9 0xfb93 
0xfdd4 0xfdcd 0xfdd1 0xfdcf 0xfdb8 0xfd9a 0xfd7e 0xfd7f 0xfd82 0xfd43 0xfca0 0xfbcd 0xfa6c 0xfa95 0xfb31 0xfb99 
0xfdd6 0xfdcc 0xfdd5 0xfdc7 0xfdb4 0xfda7 0xfda4 0xfd87 0xfd93 0xfd7d 0xfd61 0xfc83 0xfaf4 0xfb01 0xfb6e 0xfbd8 
0xfda6 0xfda7 0xfdb0 0xfdbe 0xfdae 0xfd91 0xfd93 0xfd85 0xfd6d 0xfd6d 0xfd6b 0xfcfc 0xfb79 0xfb42 0xfba2 0xfc07 
0xfd86 0xfd7f 0xfd8f 0xfd7a 0xfd7b 0xfd7a 0xfd85 0xfd76 0xfd62 0xfd62 0xfd74 0xfd4c 0xfc0e 0xfba8 0xfbea 0xfc36 
0x5500 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd29 0xf532 0x20b7 0xd7f2 0xfffd 0xfffc 0x0007 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c0 0x1700 0x1700 0x1700 0x1700 0x16ff 0x16ff 0x16ff 0xfd26 0xcc63 0xcf32 0xd71e 0xfffc 0xfff8 0x0009 0x000d 
