1728233039
0xfc63 0xfbd9 0xfb8e 0xfb51 0xfafc 0xfaae 0xfa97 0xfa82 0xfa72 0xfa9e 0xfad3 0xfb2c 0xfb61 0xfb9c 0xfc28 0xfd65 
0xfc2f 0xfbcd 0xfb6d 0xfb09 0xfabd 0xfa60 0xfa4f 0xfa06 0xfa17 0xfa3c 0xfa87 0xfad1 0xfb1f 0xfb6d 0xfbd6 0xfc99 
0xfbe9 0xfb69 0xfaf0 0xfaa5 0xfa24 0xf9d9 0xf9c4 0xf996 0xf980 0xf9b9 0xf9fe 0xfa54 0xfab7 0xfb0e 0xfb88 0xfbf9 
0xfbc3 0xfb47 0xfadb 0xfa61 0xf9fc 0xf990 0xf97b 0xf946 0xf93e 0xf978 0xf9bc 0xfa21 0xfa72 0xfb0e 0xfb74 0xfbf6 
0xfb88 0xfb06 0xfa94 0xfa0e 0xf995 0xf939 0xf910 0xf90c 0xf8f1 0xf918 0xf971 0xf9d2 0xfa35 0xfac0 0xfb3c 0xfbc5 
0xfb91 0xfafe 0xfa8a 0xfa06 0xf98d 0xf93f 0xf90e 0xf8e9 0xf8f3 0xf8f9 0xf972 0xf9bd 0xfa2b 0xfab2 0xfb37 0xfbc2 
0xfb61 0xfadc 0xfa6d 0xfa0c 0xf980 0xf91a 0xf8f1 0xf8c7 0xf8c5 0xf8ec 0xf969 0xf9bb 0xfa11 0xfa9b 0xfb27 0xfbb5 
0xfb7c 0xfaf7 0xfa9b 0xfa2d 0xf9af 0xf94b 0xf922 0xf91a 0xf90b 0xf934 0xf9ab 0xf9e8 0xfa33 0xfac8 0xfb6d 0xfbdc 
0xfb70 0xfb00 0xfa96 0xfa2e 0xf9a6 0xf943 0xf93a 0xf91b 0xf911 0xf964 0xf99c 0xfa01 0xfa5e 0xfad1 0xfb67 0xfbe9 
0xfbb0 0xfb3c 0xfada 0xfa7e 0xfa19 0xf9bf 0xf9a4 0xf983 0xf97c 0xf9b1 0xfa09 0xfa5d 0xfac5 0xfb2b 0xfbc5 0xfc23 
0xfba6 0xfb4d 0xfaf3 0xfaa4 0xfa5b 0xf9fb 0xf9fb 0xf9dc 0xf9d4 0xf9e1 0xfa45 0xfa81 0xfb12 0xfb52 0xfbcc 0xfc5d 
0xfbd4 0xfb66 0xfb3f 0xfacf 0xfa8d 0xfa58 0xfa58 0xfa21 0xfa48 0xfa43 0xfaae 0xfaea 0xfb6b 0xfbad 0xfc36 0xfd11 
0x53bf 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda0 0xf5b0 0x1ef3 0xd76c 0xfff7 0xfff6 0x0003 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ae 0x16b8 0x16b8 0x16b8 0x16b8 0x16b7 0x16b7 0x16b7 0xfd9e 0xccd1 0xced8 0xd7f0 0xfff6 0xfff5 0x0005 0x0009 
