1728233039
0xfc79 0xfcfe 0xfced 0xfce2 0xfcb2 0xfcce 0xfcc3 0xfcb3 0xfcfa 0xfd3b 0xfd4b 0xfd6b 0xfd64 0xfd6c 0xfd9d 0xfdce 
0xfc63 0xfd16 0xfcdf 0xfcca 0xfc90 0xfc7b 0xfc9c 0xfcad 0xfcfc 0xfd39 0xfd48 0xfd54 0xfd6f 0xfd8a 0xfdaa 0xfdbd 
0xfbf8 0xfce3 0xfcac 0xfc86 0xfc7e 0xfc3c 0xfc53 0xfc85 0xfcea 0xfd01 0xfd17 0xfd38 0xfd3a 0xfd59 0xfd8a 0xfda1 
0xfbcc 0xfca5 0xfca7 0xfc55 0xfc67 0xfc51 0xfc41 0xfc90 0xfd0d 0xfcfa 0xfd21 0xfd2e 0xfd51 0xfd6b 0xfd84 0xfdb0 
0xfb77 0xfbdd 0xfc76 0xfc25 0xfc47 0xfc2f 0xfc32 0xfcca 0xfcfc 0xfcc7 0xfce1 0xfd01 0xfd1f 0xfd51 0xfd7e 0xfd70 
0xfb54 0xfb2c 0xfc51 0xfbf1 0xfbba 0xfbc4 0xfca0 0xfceb 0xfcdf 0xfcc7 0xfcdc 0xfd0c 0xfd3d 0xfd62 0xfd5e 0xfd8d 
0xfb08 0xfaae 0xfb24 0xfbdb 0xfb76 0xfbaf 0xfc8f 0xfce4 0xfcaf 0xfccd 0xfcf3 0xfd18 0xfd2d 0xfd3f 0xfd5c 0xfd9a 
0xfb16 0xfaa9 0xfa81 0xfb3d 0xfb66 0xfb80 0xfc68 0xfcbe 0xfcc9 0xfcf2 0xfce8 0xfd3a 0xfd2d 0xfd40 0xfd6d 0xfd8c 
0xfaff 0xfa97 0xfa31 0xfa29 0xfae0 0xfbcd 0xfbc1 0xfc7f 0xfcc8 0xfcd9 0xfcd7 0xfd1e 0xfcf0 0xfd24 0xfd50 0xfd84 
0xfb38 0xfad4 0xfa68 0xfa19 0xfa1d 0xfa98 0xfb55 0xfba6 0xfc7b 0xfce1 0xfd01 0xfd0c 0xfcf6 0xfd30 0xfd5e 0xfd81 
0xfb5f 0xfad8 0xfa86 0xfa44 0xfa02 0xf9e7 0xfa15 0xfab6 0xfb64 0xfbf9 0xfc5b 0xfc88 0xfc6e 0xfcb2 0xfcd0 0xfd70 
0xfc23 0xfb0a 0xfac7 0xfa61 0xfa4c 0xfa02 0xfa16 0xfa0a 0xfa48 0xfabe 0xfb56 0xfb7e 0xfbd0 0xfc03 0xfcc2 0xfde6 
0x5348 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd86 0xf58c 0x1eb2 0xd787 0xfffb 0xfffc 0x0002 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0612 0x1848 0x1848 0x1848 0x1848 0x1847 0x1847 0x1847 0xfd84 0xcbbb 0xce48 0xd704 0xfffe 0xfff8 0x0005 0x0007 
