1728233129
0xfd99 0xfd3a 0xfcfd 0xfcb5 0xfd21 0xfd23 0xfc95 0xfa30 0xfa1e 0xfa1d 0xfa5b 0xfa8d 0xfae1 0xfb2c 0xfbad 0xfc04 
0xfd9d 0xfd25 0xfcd0 0xfcf6 0xfd2d 0xfd0b 0xfb14 0xf999 0xf987 0xf9bb 0xfa11 0xfa41 0xfaa8 0xfaed 0xfb6a 0xfbce 
0xfd62 0xfcda 0xfcdf 0xfd25 0xfd18 0xfc3c 0xf979 0xf935 0xf91b 0xf93d 0xf986 0xf9e0 0xfa32 0xfa9f 0xfb39 0xfb9a 
0xfd4b 0xfcc3 0xfd10 0xfd18 0xfcf4 0xfaee 0xf8ef 0xf8cc 0xf8c5 0xf8f1 0xf94f 0xf998 0xf9f6 0xfa5c 0xfb03 0xfb7b 
0xfd06 0xfcbb 0xfd11 0xfd06 0xfc59 0xf961 0xf8a0 0xf896 0xf879 0xf8bb 0xf90d 0xf956 0xf9a1 0xfa29 0xfacd 0xfb59 
0xfcf8 0xfcfb 0xfcfe 0xfcee 0xfb1b 0xf8cf 0xf8a9 0xf86c 0xf863 0xf89f 0xf8f1 0xf92c 0xf9a2 0xfa22 0xfac5 0xfb71 
0xfcf7 0xfce6 0xfcbe 0xfc7d 0xf99c 0xf89d 0xf87e 0xf87a 0xf841 0xf875 0xf8c0 0xf92a 0xf9a0 0xfa12 0xfad2 0xfb4e 
0xfd1e 0xfce3 0xfcb3 0xfb71 0xf933 0xf8dd 0xf8dd 0xf89b 0xf87e 0xf8bb 0xf902 0xf957 0xf9b8 0xfa43 0xfada 0xfb79 
0xfcf2 0xfc9f 0xfc4b 0xfa42 0xf95b 0xf8f1 0xf8b6 0xf8bc 0xf8ce 0xf8c2 0xf91a 0xf99d 0xf9e5 0xfa4d 0xfb0c 0xfb80 
0xfccb 0xfc77 0xfbb2 0xfa10 0xf99c 0xf954 0xf956 0xf90a 0xf92f 0xf924 0xf97b 0xf9ed 0xfa3a 0xfab0 0xfb3f 0xfbbd 
0xfc9d 0xfc21 0xfae1 0xfa5e 0xf9fc 0xf99e 0xf99e 0xf967 0xf96d 0xf985 0xf9c1 0xfa0d 0xfa87 0xfade 0xfb6b 0xfbe5 
0xfc9a 0xfb93 0xfadb 0xfa5e 0xfa1a 0xf9e6 0xf9ec 0xf9d2 0xf9cb 0xf9f4 0xfa43 0xfa80 0xfae2 0xfb38 0xfbab 0xfc0f 
0x550a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd0e 0xf536 0x20bb 0xd7f3 0xfff8 0xfff8 0x0006 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05bf 0x16fc 0x16fc 0x16fc 0x16fc 0x16fb 0x16fb 0x16fb 0xfd0a 0xcc66 0xcf31 0xd720 0xfffb 0xfff4 0x000b 0x0009 
