1728233159
0xfc74 0xfbec 0xfba4 0xfb6a 0xfb16 0xfaca 0xfab5 0xfa9f 0xfa8d 0xfab8 0xfaed 0xfb43 0xfb79 0xfbad 0xfc3a 0xfd6f 
0xfc41 0xfbe1 0xfb85 0xfb21 0xfad8 0xfa7d 0xfa6d 0xfa26 0xfa36 0xfa5d 0xfaa5 0xfaea 0xfb3a 0xfb84 0xfbeb 0xfca7 
0xfbfb 0xfb7d 0xfb07 0xfac1 0xfa42 0xf9f8 0xf9e4 0xf9bb 0xf9a4 0xf9db 0xfa1f 0xfa70 0xfad2 0xfb25 0xfb9e 0xfc0e 
0xfbd7 0xfb5e 0xfaf4 0xfa7e 0xfa1b 0xf9b4 0xf99d 0xf96b 0xf962 0xf99a 0xf9dd 0xfa40 0xfa91 0xfb26 0xfb8e 0xfc09 
0xfb9f 0xfb1d 0xfab1 0xfa2e 0xf9b7 0xf95f 0xf938 0xf933 0xf919 0xf93f 0xf996 0xf9f1 0xfa59 0xfadd 0xfb53 0xfbd8 
0xfba5 0xfb17 0xfaa8 0xfa26 0xf9b2 0xf964 0xf930 0xf90e 0xf91c 0xf920 0xf997 0xf9e2 0xfa4f 0xfacf 0xfb50 0xfbd9 
0xfb75 0xfaf7 0xfa89 0xfa29 0xf9a2 0xf93f 0xf918 0xf8ed 0xf8ec 0xf912 0xf98e 0xf9de 0xfa32 0xfab7 0xfb3e 0xfbc8 
0xfb91 0xfb10 0xfab6 0xfa4c 0xf9d0 0xf972 0xf947 0xf940 0xf931 0xf95b 0xf9d0 0xfa0b 0xfa54 0xfae4 0xfb83 0xfbef 
0xfb87 0xfb1a 0xfab1 0xfa4c 0xf9cb 0xf966 0xf95f 0xf941 0xf935 0xf989 0xf9be 0xfa21 0xfa7c 0xfaec 0xfb80 0xfbff 
0xfbc5 0xfb54 0xfaf4 0xfa98 0xfa39 0xf9df 0xf9c9 0xf9a8 0xf99c 0xf9d5 0xfa2b 0xfa78 0xfad7 0xfb42 0xfbda 0xfc33 
0xfbb6 0xfb60 0xfb0c 0xfabd 0xfa78 0xfa1b 0xfa1b 0xf9fc 0xf9f6 0xf9ff 0xfa63 0xfa9c 0xfb13 0xfb66 0xfbdf 0xfc6e 
0xfbe3 0xfb7b 0xfb56 0xfae9 0xfaa7 0xfa74 0xfa74 0xfa3e 0xfa65 0xfa60 0xfac6 0xfb03 0xfb6d 0xfbbd 0xfc47 0xfd1b 
0x5432 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda4 0xf5b7 0x1f27 0xd76f 0xfff8 0xfff8 0x0004 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a3 0x168c 0x168c 0x168c 0x168c 0x168b 0x168b 0x168b 0xfda0 0xccce 0xced7 0xd7ef 0xfffa 0xfff6 0x0006 0x000b 
