1728233159
0xfd4b 0xfd31 0xfd1f 0xfce3 0xfc9b 0xfc73 0xfc61 0xfc3f 0xfc22 0xfc11 0xfc59 0xfca1 0xfc24 0xfb6a 0xfbb9 0xfc69 
0xfd73 0xfd58 0xfd15 0xfcce 0xfc98 0xfc87 0xfc71 0xfc55 0xfbf8 0xfc0c 0xfc45 0xfc4b 0xfc4a 0xfb66 0xfb90 0xfbf2 
0xfd43 0xfd2e 0xfd03 0xfcdb 0xfcb8 0xfc93 0xfc69 0xfc4a 0xfc24 0xfc49 0xfc6a 0xfc4d 0xfc48 0xfb09 0xfb4c 0xfba4 
0xfd66 0xfd3b 0xfcf7 0xfcc3 0xfc7e 0xfc69 0xfc5f 0xfc57 0xfc8c 0xfccd 0xfcf1 0xfcf5 0xfc73 0xfaf9 0xfb26 0xfbb2 
0xfd4d 0xfd07 0xfcc9 0xfc9d 0xfc77 0xfc60 0xfc3c 0xfc9b 0xfcc5 0xfcda 0xfcbe 0xfcab 0xfbcf 0xfaaa 0xfb09 0xfb71 
0xfd4c 0xfd0d 0xfcf3 0xfcba 0xfc8b 0xfc88 0xfcbf 0xfcbd 0xfcc2 0xfcc3 0xfc9f 0xfc7f 0xfb30 0xfaa2 0xfaff 0xfb6d 
0xfd20 0xfd07 0xfce6 0xfcb9 0xfcd0 0xfcaf 0xfcc3 0xfcc8 0xfc8b 0xfc82 0xfc8a 0xfc23 0xfa78 0xfa72 0xfaeb 0xfb77 
0xfd49 0xfd0e 0xfcf9 0xfcfd 0xfcec 0xfce8 0xfce2 0xfcb2 0xfc89 0xfc84 0xfc81 0xfb43 0xfa46 0xfa90 0xfb13 0xfb91 
0xfd22 0xfce2 0xfcc5 0xfd0b 0xfce8 0xfcf7 0xfcb2 0xfc9b 0xfc70 0xfc68 0xfbe5 0xfa5f 0xfa2b 0xfaa2 0xfb17 0xfbaf 
0xfd3d 0xfd04 0xfd0e 0xfd20 0xfd14 0xfce4 0xfcd0 0xfca6 0xfc80 0xfc2c 0xfabc 0xfa5d 0xfa89 0xfad8 0xfb62 0xfbfa 
0xfd13 0xfcf0 0xfd18 0xfd1d 0xfcfb 0xfcd9 0xfcb9 0xfc9a 0xfc2c 0xfacd 0xfa5f 0xfa7c 0xfac0 0xfb2e 0xfba4 0xfcbb 
0xfd36 0xfcf5 0xfd16 0xfced 0xfce9 0xfcb0 0xfc9c 0xfbe5 0xfac4 0xfa6f 0xfaae 0xfab7 0xfb26 0xfb73 0xfc4b 0xfd90 
0x53a4 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd72 0xf591 0x1edb 0xd789 0xfffb 0xfff9 0x0004 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0609 0x1824 0x1824 0x1824 0x1824 0x1823 0x1823 0x1823 0xfd72 0xcbb8 0xce49 0xd705 0xfffb 0xfffa 0x0008 0x0007 
