1728233189
0xfba4 0xfb13 0xfaa1 0xfa66 0xf9e2 0xf99b 0xf963 0xf957 0xf94e 0xf962 0xf9b3 0xf9f6 0xfa53 0xfb16 0xfc70 0xfd15 
0xfb66 0xfaf0 0xfa75 0xf9fc 0xf96b 0xf917 0xf8f9 0xf8d6 0xf8bd 0xf8e3 0xf93f 0xf997 0xf9f5 0xfa81 0xfba9 0xfcb7 
0xfafc 0xfa6e 0xfa07 0xf999 0xf8ec 0xf887 0xf855 0xf83d 0xf835 0xf86f 0xf8cb 0xf92b 0xf984 0xfa1a 0xfacd 0xfc0b 
0xfafb 0xfa63 0xf9d8 0xf95d 0xf89e 0xf826 0xf80e 0xf7f3 0xf7ed 0xf80f 0xf87a 0xf8fe 0xf961 0xfa00 0xfaaf 0xfb49 
0xfabf 0xfa12 0xf997 0xf906 0xf854 0xf7f5 0xf7b5 0xf7a3 0xf784 0xf7cb 0xf82b 0xf8a0 0xf931 0xf99d 0xfa53 0xfb16 
0xfaaa 0xfa0f 0xf97d 0xf8ef 0xf83d 0xf7dd 0xf7b4 0xf799 0xf77b 0xf7ca 0xf84f 0xf8a4 0xf91e 0xf9ed 0xfa6b 0xfb10 
0xfa9c 0xf9f0 0xf969 0xf8d5 0xf833 0xf7b6 0xf786 0xf77b 0xf78f 0xf7cd 0xf84f 0xf8a4 0xf924 0xf9ba 0xfa75 0xfb36 
0xfabb 0xfa1d 0xf991 0xf901 0xf86d 0xf801 0xf7dc 0xf7c1 0xf7be 0xf7f9 0xf855 0xf8c1 0xf961 0xf9ea 0xfaa5 0xfb50 
0xfacf 0xfa2f 0xf9b5 0xf93b 0xf897 0xf83b 0xf822 0xf7f9 0xf80e 0xf82e 0xf8c4 0xf919 0xf98e 0xfa0f 0xfabf 0xfb6f 
0xfafe 0xfa7b 0xfa08 0xf99e 0xf906 0xf8cf 0xf89f 0xf880 0xf88b 0xf8c4 0xf930 0xf98c 0xf9f8 0xfa87 0xfb28 0xfbcf 
0xfb2b 0xfaac 0xfa45 0xf9de 0xf975 0xf91c 0xf8f7 0xf8da 0xf8e8 0xf930 0xf9ad 0xf9ec 0xfa5b 0xfad1 0xfb7c 0xfc59 
0xfc00 0xfad0 0xfa9a 0xfa23 0xf9d6 0xf989 0xf977 0xf972 0xf97c 0xf9a5 0xfa25 0xfa6a 0xfabf 0xfb2e 0xfc02 0xfd7b 
0x4fa1 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd70 0xf57b 0x1e69 0xd940 0xfff5 0xfff6 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05da 0x176b 0x176b 0x176b 0x176b 0x176b 0x176b 0x176b 0xfd6c 0xce2e 0xd0e3 0xd8ea 0xfff7 0xfff1 0x0004 0x0007 
