1728233189
0xfda1 0xfd51 0xfd01 0xfce6 0xfce0 0xfd46 0xfd67 0xfd5e 0xfd78 0xfdad 0xfdfe 0xfdd8 0xfcd0 0xfbb1 0xfbf0 0xfc2e 
0xfd95 0xfd2a 0xfd02 0xfcc8 0xfd07 0xfd5b 0xfd62 0xfd4a 0xfd68 0xfde0 0xfdf7 0xfd59 0xfbc4 0xfb53 0xfba0 0xfbf2 
0xfd5e 0xfcf9 0xfcde 0xfce4 0xfd2a 0xfd36 0xfd31 0xfd3c 0xfd7e 0xfdbe 0xfda2 0xfce0 0xfae8 0xfaf2 0xfb62 0xfbb3 
0xfd69 0xfd01 0xfcee 0xfd03 0xfd23 0xfcff 0xfcf8 0xfd33 0xfdc5 0xfda4 0xfd81 0xfb66 0xfa61 0xfa9b 0xfb25 0xfb93 
0xfd50 0xfcf4 0xfcef 0xfd1a 0xfcc7 0xfcc8 0xfce7 0xfd79 0xfd9c 0xfd8c 0xfc2b 0xf9f4 0xf9e8 0xfa59 0xfaeb 0xfb6d 
0xfd59 0xfd37 0xfd03 0xfd06 0xfccc 0xfca2 0xfd0f 0xfd6e 0xfd87 0xfcd9 0xfa05 0xf979 0xf9d2 0xfa41 0xfada 0xfb81 
0xfd39 0xfd11 0xfd05 0xfcf0 0xfcb1 0xfc90 0xfcf8 0xfd66 0xfcc7 0xf9fb 0xf910 0xf95d 0xf9c5 0xfa2e 0xfae4 0xfb5e 
0xfd20 0xfd02 0xfce9 0xfcae 0xfc80 0xfc9e 0xfcf6 0xfcd0 0xfa07 0xf90f 0xf939 0xf97b 0xf9d6 0xfa59 0xfaea 0xfb88 
0xfd07 0xfcc3 0xfc8e 0xfc6e 0xfc64 0xfc90 0xfc0e 0xf9e2 0xf91f 0xf8fc 0xf941 0xf9bd 0xf9fc 0xfa63 0xfb1d 0xfb8e 
0xfd15 0xfcd9 0xfca4 0xfc51 0xfc33 0xfb43 0xf9fb 0xf95c 0xf966 0xf94b 0xf99a 0xfa01 0xfa4c 0xfac0 0xfb4d 0xfbc7 
0xfcd8 0xfc82 0xfbfd 0xfb89 0xfaaf 0xfa09 0xf9e1 0xf99b 0xf993 0xf9a5 0xf9d8 0xfa20 0xfa97 0xfaef 0xfb79 0xfbf0 
0xfc70 0xfb84 0xfb37 0xfab9 0xfa65 0xfa21 0xfa18 0xf9f4 0xf9ea 0xfa0b 0xfa57 0xfa93 0xfaf5 0xfb49 0xfbb7 0xfc1b 
0x5513 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd20 0xf535 0x20c0 0xd7f3 0xfffc 0xfffb 0x0007 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05be 0x16f8 0x16f8 0x16f8 0x16f8 0x16f7 0x16f7 0x16f7 0xfd21 0xcc63 0xcf30 0xd720 0xfffc 0xfff9 0x000b 0x000a 
