1728233279
0xfbc3 0xfb35 0xfac8 0xfa91 0xfa10 0xf9cd 0xf996 0xf98e 0xf984 0xf997 0xf9e4 0xfa24 0xfa79 0xfacf 0xfbf7 0xfcf6 
0xfb89 0xfb15 0xfa9e 0xfa2d 0xf9a0 0xf94f 0xf931 0xf911 0xf8f8 0xf91a 0xf972 0xf9c8 0xfa22 0xfaa9 0xfb78 0xfc97 
0xfb1f 0xfa96 0xfa36 0xf9cb 0xf924 0xf8c3 0xf894 0xf87b 0xf874 0xf8b0 0xf903 0xf962 0xf9b7 0xfa46 0xfaf8 0xfc75 
0xfb1f 0xfa8d 0xfa0c 0xf995 0xf8dc 0xf869 0xf852 0xf838 0xf834 0xf855 0xf8b9 0xf937 0xf996 0xfa30 0xfada 0xfc33 
0xfae5 0xfa3e 0xf9cb 0xf93f 0xf895 0xf83c 0xf7fb 0xf7e7 0xf7cf 0xf810 0xf86d 0xf8de 0xf965 0xf9d1 0xfa80 0xfbda 
0xfad2 0xfa3c 0xf9b2 0xf928 0xf87e 0xf822 0xf7fa 0xf7e4 0xf7c3 0xf813 0xf88e 0xf8e3 0xf957 0xfa1c 0xfa97 0xfba5 
0xfac4 0xfa22 0xf99e 0xf90f 0xf874 0xf7fc 0xf7d0 0xf7c3 0xf7d7 0xf811 0xf88f 0xf8e2 0xf95b 0xf9ed 0xfaa3 0xfbb0 
0xfade 0xfa4a 0xf9c6 0xf937 0xf8ab 0xf844 0xf821 0xf80c 0xf802 0xf83f 0xf896 0xf8fe 0xf994 0xfa1b 0xfad2 0xfbce 
0xfaf3 0xfa58 0xf9e6 0xf971 0xf8d4 0xf87d 0xf864 0xf83d 0xf850 0xf874 0xf902 0xf951 0xf9c2 0xfa3d 0xfae6 0xfbef 
0xfb20 0xfaa1 0xfa34 0xf9cc 0xf93d 0xf902 0xf8dc 0xf8be 0xf8c8 0xf900 0xf966 0xf9c2 0xfa29 0xfab0 0xfb4b 0xfc50 
0xfb4b 0xfacf 0xfa6e 0xfa0d 0xf9a5 0xf94f 0xf930 0xf916 0xf920 0xf964 0xf9dd 0xfa1c 0xfa8c 0xfb05 0xfba3 0xfca4 
0xfc13 0xfaf2 0xfac0 0xfa4c 0xfa05 0xf9b9 0xf9a7 0xf9a5 0xf9b0 0xf9d6 0xfa5b 0xfaa1 0xfaec 0xfb52 0xfc1e 0xfd85 
0x506d 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd70 0xf584 0x1ec2 0xd944 0xfff8 0xfff8 0x0005 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05c7 0x171d 0x171d 0x171d 0x171d 0x171c 0x171c 0x171c 0xfd6c 0xce28 0xd0e5 0xd8ec 0xfffa 0xfff4 0x0004 0x0005 
