1728233339
0xfc85 0xfc01 0xfbbb 0xfb82 0xfb35 0xfae9 0xfad4 0xfac0 0xfab0 0xfad9 0xfb0c 0xfb62 0xfb93 0xfbc6 0xfc4d 0xfd79 
0xfc56 0xfbfa 0xfba2 0xfb3f 0xfafb 0xfaa1 0xfa93 0xfa4d 0xfa5e 0xfa83 0xfac8 0xfb0a 0xfb58 0xfba0 0xfc02 0xfcb6 
0xfc14 0xfb9a 0xfb24 0xfae2 0xfa65 0xfa21 0xfa0e 0xf9e6 0xf9cd 0xfa03 0xfa43 0xfa98 0xfaf4 0xfb43 0xfbb8 0xfc20 
0xfbef 0xfb7a 0xfb13 0xfaa3 0xfa42 0xf9de 0xf9c9 0xf998 0xf992 0xf9c4 0xfa07 0xfa68 0xfab5 0xfb46 0xfba5 0xfc20 
0xfbb7 0xfb3e 0xfad3 0xfa53 0xf9e0 0xf98c 0xf967 0xf961 0xf949 0xf96f 0xf9c1 0xfa1b 0xfa7d 0xfafd 0xfb71 0xfbf0 
0xfbbf 0xfb35 0xfacb 0xfa4d 0xf9db 0xf992 0xf960 0xf941 0xf94a 0xf952 0xf9c3 0xfa0a 0xfa72 0xfaf1 0xfb6e 0xfbef 
0xfb8e 0xfb14 0xfaab 0xfa51 0xf9cd 0xf96d 0xf948 0xf91d 0xf91c 0xf941 0xf9bb 0xfa06 0xfa59 0xfadb 0xfb5c 0xfbe4 
0xfbac 0xfb2f 0xfad9 0xfa71 0xf9fa 0xf99b 0xf976 0xf96f 0xf960 0xf989 0xf9f9 0xfa31 0xfa78 0xfb07 0xfb9f 0xfc08 
0xfb9c 0xfb35 0xfad1 0xfa70 0xf9f5 0xf992 0xf98b 0xf96e 0xf965 0xf9b5 0xf9e7 0xfa48 0xfa9f 0xfb0d 0xfb99 0xfc15 
0xfbdb 0xfb6c 0xfb14 0xfabb 0xfa5c 0xfa09 0xf9f1 0xf9d0 0xf9c8 0xf9fe 0xfa50 0xfa9f 0xfb00 0xfb6d 0xfbf3 0xfc4a 
0xfbce 0xfb7a 0xfb29 0xfadc 0xfa99 0xfa41 0xfa41 0xfa22 0xfa1e 0xfa25 0xfa86 0xfabe 0xfb40 0xfb87 0xfbf8 0xfc81 
0xfbf7 0xfb92 0xfb6e 0xfb04 0xfac9 0xfa96 0xfa97 0xfa60 0xfa86 0xfa81 0xfae9 0xfb21 0xfb9d 0xfbde 0xfc5e 0xfd2a 
0x54c0 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfda8 0xf5bd 0x1f67 0xd771 0xfff8 0xfff6 0x0005 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0594 0x1653 0x1653 0x1653 0x1653 0x1653 0x1653 0x1653 0xfda3 0xccc7 0xced5 0xd7f0 0xfffa 0xfff6 0x0005 0x0009 
