1728233429
0xfde1 0xfe1a 0xfe34 0xfe2c 0xfdf9 0xfdda 0xfdf1 0xfdff 0xfdee 0xfdef 0xfdec 0xfdf8 0xfdd6 0xfdb6 0xfdae 0xfd96 
0xfdd2 0xfe01 0xfe3d 0xfe32 0xfe07 0xfe12 0xfe05 0xfde1 0xfdf1 0xfdf8 0xfded 0xfdd9 0xfddc 0xfdc9 0xfd97 0xfd16 
0xfd10 0xfdca 0xfe13 0xfe15 0xfe07 0xfdea 0xfdd9 0xfdc8 0xfdb5 0xfdb3 0xfdc3 0xfdd3 0xfdbc 0xfd8f 0xfd32 0xfca8 
0xfcbd 0xfd33 0xfdb8 0xfe0c 0xfdf2 0xfdd3 0xfdbb 0xfd7c 0xfd75 0xfd80 0xfda0 0xfdb6 0xfd9c 0xfd43 0xfcfd 0xfc60 
0xfcc6 0xfc84 0xfd0b 0xfd6e 0xfda0 0xfd6f 0xfd64 0xfd58 0xfd43 0xfd45 0xfd70 0xfd80 0xfd1b 0xfcd3 0xfc5c 0xfbf0 
0xfd7d 0xfd13 0xfd10 0xfd3b 0xfd79 0xfd80 0xfd6d 0xfd3f 0xfd3c 0xfd54 0xfd6b 0xfcfc 0xfcc5 0xfc7a 0xfba2 0xfbcd 
0xfd9a 0xfd8f 0xfd7d 0xfd2e 0xfd8c 0xfd82 0xfd73 0xfd77 0xfd4e 0xfd14 0xfcbe 0xfc75 0xfc27 0xfb31 0xfb4f 0xfbc4 
0xfdc3 0xfdaa 0xfdaf 0xfda7 0xfd8e 0xfd9e 0xfd8a 0xfd41 0xfce4 0xfc89 0xfc2c 0xfba5 0xfad2 0xfaeb 0xfb55 0xfbc9 
0xfd47 0xfd87 0xfd8b 0xfd95 0xfd5d 0xfd65 0xfce3 0xfc9b 0xfc2c 0xfb82 0xfaae 0xfa56 0xfa5c 0xfadd 0xfb48 0xfbe0 
0xfc35 0xfc60 0xfcbc 0xfcb9 0xfcd8 0xfc88 0xfbc9 0xfb40 0xfa7b 0xf9ff 0xfa17 0xfa63 0xfaa9 0xfb02 0xfb8b 0xfc20 
0xfbf2 0xfb8a 0xfb49 0xfb11 0xfaca 0xfa7d 0xfa37 0xfa09 0xf9ce 0xf9eb 0xfa3f 0xfa87 0xfadf 0xfb53 0xfbc4 0xfcd5 
0xfc7f 0xfb7c 0xfb3f 0xfad8 0xfab7 0xfa59 0xfa4d 0xfa14 0xfa16 0xfa41 0xfaa7 0xfac9 0xfb41 0xfb93 0xfc63 0xfda0 
0x5468 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd83 0xf59b 0x1f2c 0xd789 0xfffd 0xfffb 0x0005 0x0005 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05f6 0x17da 0x17da 0x17da 0x17da 0x17d9 0x17d9 0x17d9 0xfd7e 0xcbad 0xce44 0xd703 0xfffd 0xfff9 0x0007 0x0009 
