1728233459
0xfc94 0xfc17 0xfbd0 0xfb97 0xfb4b 0xfb02 0xfaef 0xfada 0xfacc 0xfaf5 0xfb25 0xfb78 0xfbac 0xfbdc 0xfc61 0xfd8a 
0xfc68 0xfc0e 0xfbb6 0xfb56 0xfb13 0xfab9 0xfaae 0xfa69 0xfa79 0xfaa1 0xfae3 0xfb27 0xfb70 0xfbb8 0xfc18 0xfcca 
0xfc28 0xfbae 0xfb3e 0xfafc 0xfa85 0xfa3f 0xfa2c 0xfa02 0xf9ef 0xfa22 0xfa62 0xfab5 0xfb0e 0xfb5f 0xfbce 0xfc36 
0xfc05 0xfb8f 0xfb2d 0xfac2 0xfa63 0xf9fd 0xf9e7 0xf9b8 0xf9b4 0xf9e6 0xfa25 0xfa85 0xfad0 0xfb5f 0xfbbd 0xfc35 
0xfbce 0xfb54 0xfaee 0xfa71 0xfa01 0xf9ad 0xf987 0xf988 0xf96c 0xf98f 0xf9e1 0xfa3a 0xfa99 0xfb17 0xfb87 0xfc04 
0xfbd4 0xfb4d 0xfae6 0xfa6c 0xf9fd 0xf9b5 0xf983 0xf962 0xf96d 0xf974 0xf9e4 0xfa2b 0xfa91 0xfb0a 0xfb82 0xfc05 
0xfba7 0xfb2f 0xfac9 0xfa70 0xf9ed 0xf991 0xf96b 0xf942 0xf944 0xf964 0xf9db 0xfa24 0xfa75 0xfaf5 0xfb75 0xfbf7 
0xfbc2 0xfb48 0xfaf5 0xfa93 0xfa1c 0xf9be 0xf99a 0xf990 0xf983 0xf9a8 0xfa17 0xfa51 0xfa96 0xfb1e 0xfbb4 0xfc19 
0xfbb4 0xfb4f 0xfaee 0xfa91 0xfa15 0xf9b5 0xf9ae 0xf992 0xf987 0xf9d5 0xfa07 0xfa65 0xfabb 0xfb23 0xfbad 0xfc26 
0xfc30 0xfb87 0xfb2f 0xfad6 0xfa7d 0xfa29 0xfa11 0xf9f2 0xf9e9 0xfa1e 0xfa6e 0xfab7 0xfb0f 0xfb78 0xfc07 0xfc5b 
0xfca1 0xfbde 0xfb45 0xfaf8 0xfab6 0xfa5d 0xfa5f 0xfa41 0xfa3c 0xfa45 0xfaa0 0xfad9 0xfb46 0xfb97 0xfc0a 0xfc90 
0xfcdd 0xfc8a 0xfbe1 0xfb20 0xfae4 0xfab1 0xfab4 0xfa80 0xfaa2 0xfaa0 0xfb00 0xfb38 0xfb9c 0xfbea 0xfc6d 0xfd37 
0x5518 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb1 0xf5c3 0x1f8f 0xd772 0xfff9 0xfff9 0x0003 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x058c 0x1631 0x1631 0x1631 0x1631 0x1630 0x1630 0x1630 0xfdad 0xccc5 0xced6 0xd7f2 0xfff8 0xfff5 0x0006 0x000a 
