1728233459
0xfe17 0xfe1f 0xfe20 0xfe01 0xfdca 0xfdd7 0xfddc 0xfdc4 0xfd99 0xfd75 0xfd38 0xfcb6 0xfb8f 0xfb3e 0xfbab 0xfc62 
0xfe45 0xfe34 0xfe1f 0xfdf3 0xfde9 0xfdc4 0xfdd1 0xfdb6 0xfd82 0xfd59 0xfcbe 0xfbde 0xfae2 0xfb12 0xfb76 0xfbeb 
0xfdf6 0xfe13 0xfe02 0xfdeb 0xfdc1 0xfd7b 0xfd64 0xfd5e 0xfd2a 0xfc98 0xfbda 0xfa7c 0xfa35 0xfa92 0xfb2a 0xfb98 
0xfde6 0xfdfd 0xfe02 0xfdd1 0xfd7f 0xfd52 0xfd38 0xfd2b 0xfcaf 0xfbe4 0xfa80 0xf9c7 0xfa15 0xfa7d 0xfb01 0xfba6 
0xfd1a 0xfd58 0xfd9a 0xfd90 0xfd54 0xfd16 0xfcff 0xfc81 0xfba9 0xfa04 0xf911 0xf946 0xf9b0 0xfa40 0xfaeb 0xfb68 
0xfd01 0xfd3b 0xfd65 0xfd94 0xfd61 0xfd1e 0xfc81 0xfb66 0xf99e 0xf8a5 0xf8dc 0xf93d 0xf9d5 0xfa5e 0xfaeb 0xfb6c 
0xfd81 0xfd77 0xfd77 0xfd6f 0xfd17 0xfc44 0xfb0a 0xf924 0xf844 0xf872 0xf8ec 0xf93c 0xf9c8 0xfa49 0xfae5 0xfb80 
0xfda7 0xfd93 0xfd79 0xfd18 0xfc09 0xfa81 0xf8f4 0xf881 0xf878 0xf8b0 0xf917 0xf972 0xf9f1 0xfa7e 0xfb14 0xfb9d 
0xfd4c 0xfd1a 0xfc6a 0xfb59 0xf9d3 0xf983 0xf8cb 0xf8b2 0xf8a8 0xf8db 0xf92c 0xf9b4 0xf9fe 0xfa9a 0xfb1f 0xfbc0 
0xfc08 0xfb83 0xfadf 0xfa44 0xf9ea 0xf978 0xf937 0xf928 0xf91e 0xf943 0xf9ab 0xfa1d 0xfa73 0xfade 0xfb70 0xfc09 
0xfbba 0xfb29 0xfac2 0xfa67 0xfa00 0xf9be 0xf998 0xf98d 0xf96b 0xf9a4 0xfa0c 0xfa63 0xfabd 0xfb39 0xfbb1 0xfcc2 
0xfc4c 0xfb3d 0xfaf5 0xfa87 0xfa65 0xfa08 0xfa0b 0xf9db 0xf9e2 0xfa1a 0xfa8d 0xfab1 0xfb2a 0xfb81 0xfc54 0xfd92 
0x547e 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd71 0xf59a 0x1f35 0xd78b 0xfff8 0xfff7 0x0004 0x0003 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05f4 0x17d2 0x17d2 0x17d2 0x17d2 0x17d0 0x17d0 0x17d0 0xfd6b 0xcbad 0xce45 0xd703 0xfff9 0xfff5 0x0008 0x0009 
