1728233519
0xfdfd 0xfe07 0xfe01 0xfdd7 0xfd6f 0xfcff 0xfc67 0xfa0b 0xf9ca 0xf9d8 0xfa1e 0xfa80 0xfab8 0xfaf8 0xfb8f 0xfc50 
0xfe33 0xfe1f 0xfe04 0xfdb6 0xfd1d 0xfcc6 0xfb20 0xf988 0xf95f 0xf980 0xf9c3 0xfa0f 0xfa7e 0xfae7 0xfb62 0xfbdd 
0xfe02 0xfdf6 0xfdc8 0xfd7e 0xfd0a 0xfbcd 0xf981 0xf903 0xf8e5 0xf8f1 0xf951 0xf9c3 0xfa03 0xfa7b 0xfb1f 0xfb94 
0xfe1c 0xfdce 0xfd71 0xfd4a 0xfc93 0xfaa3 0xf8d3 0xf8aa 0xf8b1 0xf8c4 0xf946 0xf990 0xf9ff 0xfa6f 0xfafb 0xfba3 
0xfdef 0xfd98 0xfd54 0xfd12 0xfbdb 0xf916 0xf86b 0xf857 0xf860 0xf877 0xf8e1 0xf934 0xf9a4 0xfa3a 0xfaea 0xfb6a 
0xfdf1 0xfd92 0xfd63 0xfcbd 0xfa97 0xf891 0xf86a 0xf82c 0xf847 0xf87a 0xf8ca 0xf937 0xf9cc 0xfa56 0xfae9 0xfb6f 
0xfd9d 0xfd65 0xfcf3 0xfbf1 0xf94f 0xf872 0xf838 0xf85c 0xf81e 0xf85e 0xf8e4 0xf939 0xf9c2 0xfa46 0xfae9 0xfb7f 
0xfda5 0xfd3e 0xfcc2 0xfaee 0xf91a 0xf8cb 0xf89f 0xf865 0xf863 0xf8a3 0xf913 0xf972 0xf9ec 0xfa7c 0xfb18 0xfb9e 
0xfd17 0xfcfd 0xfc01 0xf9f2 0xf949 0xf955 0xf8b6 0xf8a6 0xf89c 0xf8d3 0xf92c 0xf9b5 0xf9fb 0xfa9a 0xfb21 0xfbc1 
0xfd10 0xfcca 0xfb09 0xfa10 0xf9cc 0xf968 0xf92d 0xf921 0xf917 0xf941 0xf9ae 0xfa20 0xfa74 0xfadd 0xfb70 0xfc0c 
0xfcf1 0xfbe4 0xfab2 0xfa53 0xf9f7 0xf9b5 0xf991 0xf98a 0xf967 0xf9a1 0xfa0c 0xfa66 0xfabb 0xfb37 0xfbb0 0xfcc4 
0xfca5 0xfb4e 0xfaed 0xfa80 0xfa5b 0xfa01 0xfa05 0xf9d8 0xf9db 0xfa17 0xfa8b 0xfab4 0xfb26 0xfb7f 0xfc53 0xfd8d 
0x54b5 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd65 0xf59e 0x1f4f 0xd78c 0xfff6 0xfff7 0x0003 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ef 0x17bd 0x17bd 0x17bd 0x17bd 0x17bc 0x17bc 0x17bc 0xfd60 0xcbab 0xce45 0xd704 0xfff7 0xfff2 0x0007 0x0007 
