1728233549
0xfd38 0xfc48 0xfbdf 0xfba9 0xfb5b 0xfb12 0xfb01 0xfaee 0xfadd 0xfb03 0xfb36 0xfb87 0xfbb7 0xfbe9 0xfc6b 0xfd95 
0xfd6c 0xfc83 0xfbc9 0xfb6a 0xfb28 0xfad1 0xfac7 0xfa7f 0xfa8d 0xfab0 0xfaf7 0xfb36 0xfb7f 0xfbc7 0xfc26 0xfcd7 
0xfd9c 0xfc7e 0xfb55 0xfb14 0xfaa0 0xfa59 0xfa44 0xfa1b 0xfa05 0xfa3a 0xfa76 0xfac6 0xfb1e 0xfb6d 0xfbdd 0xfc44 
0xfddd 0xfcbf 0xfb5e 0xfada 0xfa7d 0xfa19 0xfa01 0xf9d1 0xf9ca 0xf9fe 0xfa3b 0xfa99 0xfae1 0xfb6f 0xfbcf 0xfc44 
0xfdb9 0xfcd3 0xfb56 0xfa91 0xfa1e 0xf9ca 0xf9a3 0xf99e 0xf983 0xf9a4 0xf9f7 0xfa51 0xfaaa 0xfb29 0xfb99 0xfc14 
0xfdb3 0xfccb 0xfbaa 0xfa8b 0xfa1a 0xf9cf 0xf9a0 0xf97d 0xf986 0xf98b 0xf9ff 0xfa40 0xfaa4 0xfb1b 0xfb96 0xfc13 
0xfd4d 0xfc96 0xfbdd 0xfaa2 0xfa0b 0xf9ad 0xf987 0xf95e 0xf95c 0xf97a 0xf9f3 0xfa3c 0xfa8a 0xfb08 0xfb86 0xfc07 
0xfd97 0xfcc3 0xfc30 0xfb04 0xfa39 0xf9dc 0xf9b3 0xf9ad 0xf99d 0xf9c3 0xfa31 0xfa66 0xfaa9 0xfb31 0xfbc9 0xfc2c 
0xfd9b 0xfce6 0xfc37 0xfb74 0xfa35 0xf9d4 0xf9ca 0xf9af 0xf99f 0xf9eb 0xfa1e 0xfa7b 0xfacd 0xfb37 0xfbbf 0xfc36 
0xfd92 0xfd46 0xfcad 0xfc53 0xfaa9 0xfa46 0xfa2f 0xfa0c 0xfa03 0xfa35 0xfa83 0xfacc 0xfb1e 0xfb89 0xfc15 0xfc67 
0xfd7f 0xfd7a 0xfcd7 0xfcd6 0xfb2e 0xfa78 0xfa79 0xfa5a 0xfa53 0xfa57 0xfab6 0xfae9 0xfb56 0xfba4 0xfc16 0xfc9d 
0xfd8c 0xfd89 0xfd08 0xfce9 0xfbe4 0xfac5 0xfac9 0xfa91 0xfab5 0xfab0 0xfb12 0xfb48 0xfbac 0xfbf7 0xfc7a 0xfd45 
0x5544 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb7 0xf5c4 0x1fa3 0xd772 0xfff7 0xfff8 0x0004 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0587 0x161e 0x161e 0x161e 0x161e 0x161e 0x161e 0x161e 0xfdb7 0xccc2 0xced6 0xd7f2 0xfffc 0xfffa 0x0008 0x000b 
