1728233549
0xfdf1 0xfda3 0xfd9a 0xfcde 0xfd1e 0xfd7e 0xfdfa 0xfdcb 0xfdb5 0xfd85 0xfd92 0xfdee 0xfdf4 0xfdf2 0xfda1 0xfd7b 
0xfe43 0xfdf6 0xfd91 0xfcff 0xfd87 0xfd55 0xfda9 0xfd67 0xfcfb 0xfd1d 0xfd5a 0xfdc9 0xfde3 0xfdc4 0xfd72 0xfdab 
0xfe22 0xfde5 0xfda2 0xfd36 0xfd2f 0xfd0c 0xfd3c 0xfcea 0xfcb1 0xfd3e 0xfd5c 0xfd94 0xfdbf 0xfd68 0xfd52 0xfd5e 
0xfe07 0xfddf 0xfd19 0xfd1c 0xfd01 0xfd1e 0xfd8d 0xfd74 0xfd66 0xfd1f 0xfd53 0xfd5e 0xfcf2 0xfc65 0xfc32 0xfc05 
0xfd0e 0xfd31 0xfd3c 0xfcdc 0xfc75 0xfbff 0xfcad 0xfd0e 0xfcd0 0xfc5f 0xfb84 0xfa99 0xfa60 0xfa93 0xfb15 0xfb8e 
0xfb80 0xfb1d 0xfac1 0xfa54 0xf9e2 0xf98d 0xf97a 0xf91a 0xf8db 0xf8f0 0xf934 0xf966 0xf9d8 0xfa51 0xfaeb 0xfb91 
0xfb40 0xfaa2 0xfa2e 0xf9b2 0xf933 0xf8c6 0xf8aa 0xf8ac 0xf878 0xf8a9 0xf8f0 0xf958 0xf9ce 0xfa39 0xfaef 0xfb66 
0xfb45 0xfab9 0xfa52 0xf9be 0xf950 0xf903 0xf904 0xf8c8 0xf8b3 0xf8ea 0xf92f 0xf981 0xf9e0 0xfa63 0xfaf5 0xfb92 
0xfb3b 0xfab5 0xfa58 0xf9e9 0xf97d 0xf919 0xf8de 0xf8e6 0xf8fc 0xf8f0 0xf944 0xf9c3 0xfa0a 0xfa6e 0xfb26 0xfb97 
0xfb61 0xfaf3 0xfa90 0xfa24 0xf9bd 0xf97d 0xf977 0xf92f 0xf958 0xf94a 0xf99f 0xfa0b 0xfa59 0xfacd 0xfb54 0xfbd3 
0xfb73 0xfb07 0xfabd 0xfa74 0xfa1d 0xf9c0 0xf9be 0xf98b 0xf991 0xf9a8 0xf9de 0xfa2a 0xfaa0 0xfafd 0xfb82 0xfbf9 
0xfc04 0xfb20 0xfae7 0xfa76 0xfa37 0xfa06 0xfa0c 0xf9f3 0xf9f0 0xfa13 0xfa5f 0xfa9a 0xfafd 0xfb54 0xfbc1 0xfc24 
0x553c 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd27 0xf536 0x20d4 0xd7f3 0xfffc 0xfffd 0x0008 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05ba 0x16e8 0x16e8 0x16e8 0x16e8 0x16e8 0x16e8 0x16e8 0xfd23 0xcc62 0xcf30 0xd721 0xfffd 0xfffb 0x0009 0x000b 
