1728233579
0xfda8 0xfd04 0xfc00 0xfbac 0xfb5f 0xfb16 0xfb05 0xfaf0 0xfae0 0xfb07 0xfb3a 0xfb8c 0xfbb9 0xfbea 0xfc6d 0xfd97 
0xfdf7 0xfd3a 0xfbfe 0xfb6d 0xfb2c 0xfad5 0xfac8 0xfa82 0xfa90 0xfab5 0xfaf8 0xfb39 0xfb82 0xfbc7 0xfc29 0xfcd9 
0xfdea 0xfd0f 0xfbb1 0xfb1b 0xfaa3 0xfa5c 0xfa46 0xfa1e 0xfa0b 0xfa3c 0xfa7b 0xfac9 0xfb22 0xfb70 0xfbdd 0xfc46 
0xfde3 0xfd24 0xfbcd 0xfadd 0xfa7f 0xfa1a 0xfa06 0xf9d6 0xf9cd 0xfa04 0xfa40 0xfa9d 0xfae5 0xfb70 0xfbd1 0xfc45 
0xfd5e 0xfcc2 0xfb99 0xfa97 0xfa20 0xf9cd 0xf9a4 0xf99f 0xf986 0xf9a9 0xf9fb 0xfa52 0xfab1 0xfb2b 0xfb9c 0xfc15 
0xfd4c 0xfcb7 0xfbad 0xfa8e 0xfa1d 0xf9d2 0xf9a2 0xf980 0xf988 0xf98f 0xf9fe 0xfa41 0xfaa9 0xfb1f 0xfb99 0xfc14 
0xfd1c 0xfc6a 0xfbc3 0xfa9a 0xfa0e 0xf9b1 0xf98b 0xf961 0xf95e 0xf97d 0xf9f6 0xfa41 0xfa8c 0xfb09 0xfb87 0xfc0b 
0xfd4b 0xfca7 0xfc08 0xfacd 0xfa3d 0xf9e0 0xf9b7 0xf9b0 0xf99d 0xf9c5 0xfa33 0xfa6b 0xfaac 0xfb34 0xfbc8 0xfc2c 
0xfd27 0xfca6 0xfc0b 0xfaf2 0xfa33 0xf9d6 0xf9cd 0xf9b1 0xf9a3 0xf9ef 0xfa20 0xfa7d 0xfad1 0xfb37 0xfbc2 0xfc39 
0xfd70 0xfd0c 0xfcab 0xfb71 0xfa9a 0xfa47 0xfa31 0xfa0d 0xfa05 0xfa35 0xfa86 0xfad1 0xfb21 0xfb8b 0xfc19 0xfc6a 
0xfd3c 0xfd2c 0xfd14 0xfbda 0xfad1 0xfa7b 0xfa7b 0xfa5c 0xfa53 0xfa5a 0xfab9 0xfaed 0xfb58 0xfba7 0xfc1a 0xfca1 
0xfd6f 0xfd3f 0xfd1c 0xfc3c 0xfafc 0xfac6 0xfac9 0xfa94 0xfab9 0xfab1 0xfb13 0xfb4c 0xfbae 0xfbf9 0xfc79 0xfd46 
0x554f 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb8 0xf5c4 0x1fa9 0xd775 0xfffb 0xfff9 0x0007 0x0009 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0586 0x161a 0x161a 0x161a 0x161a 0x1619 0x1619 0x1619 0xfdb5 0xccc4 0xced7 0xd7f2 0xfffc 0xfff8 0x0009 0x000d 
