1728233609
0xfda4 0xfd9e 0xfdd0 0xfdba 0xfdbe 0xfd90 0xfd7a 0xfd6c 0xfcdf 0xfcac 0xfc48 0xfc44 0xfc54 0xfc68 0xfc6a 0xfc59 
0xfd8a 0xfd75 0xfd74 0xfd7d 0xfd62 0xfd1b 0xfcab 0xfbe9 0xfac3 0xfa85 0xfaa1 0xfa99 0xfad0 0xfb0e 0xfb83 0xfbe2 
0xfd0f 0xfc9d 0xfc45 0xfc14 0xfb48 0xfa5b 0xf9b5 0xf971 0xf941 0xf961 0xf9ab 0xfa02 0xfa4f 0xfabc 0xfb4e 0xfbae 
0xfbeb 0xfb1f 0xfa9a 0xfa1c 0xf99d 0xf941 0xf90b 0xf8ed 0xf8e7 0xf913 0xf975 0xf9ba 0xfa15 0xfa78 0xfb19 0xfb8f 
0xfb51 0xfaa7 0xfa47 0xf9d3 0xf952 0xf8ed 0xf8bc 0xf8b5 0xf89b 0xf8df 0xf92b 0xf97a 0xf9bf 0xfa47 0xfae8 0xfb6e 
0xfb34 0xfabc 0xfa3c 0xf9bd 0xf939 0xf8dc 0xf8c4 0xf88d 0xf886 0xf8c4 0xf916 0xf94d 0xf9be 0xfa3d 0xfadb 0xfb82 
0xfb29 0xfa8a 0xfa1e 0xf9a1 0xf920 0xf8b1 0xf898 0xf89d 0xf865 0xf897 0xf8e0 0xf94d 0xf9c1 0xfa2c 0xfae7 0xfb61 
0xfb3b 0xfaaf 0xfa4b 0xf9b5 0xf943 0xf8f5 0xf8f8 0xf8b9 0xf89e 0xf8dd 0xf924 0xf977 0xf9d6 0xfa5b 0xfaef 0xfb8e 
0xfb35 0xfaad 0xfa4e 0xf9e2 0xf975 0xf90b 0xf8d1 0xf8db 0xf8ee 0xf8e4 0xf937 0xf9bf 0xfa01 0xfa66 0xfb24 0xfb95 
0xfb5a 0xfaeb 0xfa89 0xfa1e 0xf9b5 0xf971 0xf96e 0xf92a 0xf94f 0xf945 0xf99a 0xfa07 0xfa52 0xfac5 0xfb52 0xfbd0 
0xfb6c 0xfafc 0xfab7 0xfa70 0xfa15 0xf9b8 0xf9bb 0xf987 0xf98c 0xf9a5 0xf9de 0xfa2b 0xfa9e 0xfaf7 0xfb80 0xfbf6 
0xfbfd 0xfb19 0xfae3 0xfa71 0xfa31 0xfa02 0xfa0a 0xf9f0 0xf9ea 0xfa10 0xfa5f 0xfa99 0xfafa 0xfb50 0xfbc0 0xfc22 
0x5553 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd1d 0xf537 0x20dc 0xd7f3 0xfffa 0xfffa 0x0008 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b8 0x16e0 0x16e0 0x16e0 0x16e0 0x16df 0x16df 0x16df 0xfd1a 0xcc60 0xcf30 0xd720 0xfff9 0xfff6 0x000b 0x000c 
