1728233609
0xfd8c 0xfd68 0xfd77 0xfd42 0xfce9 0xfb8b 0xfa1f 0xf9e8 0xf9e2 0xf9f2 0xfa36 0xfa96 0xfacf 0xfb0e 0xfb9f 0xfc60 
0xfdba 0xfd89 0xfd55 0xfd14 0xfcd6 0xfbeb 0xf9b5 0xf99e 0xf97b 0xf99f 0xf9dc 0xfa2b 0xfa99 0xfb01 0xfb76 0xfbf1 
0xfdc7 0xfd98 0xfd45 0xfd02 0xfcef 0xfc14 0xf94e 0xf924 0xf904 0xf917 0xf973 0xf9e0 0xfa23 0xfa96 0xfb36 0xfba5 
0xfde1 0xfd7e 0xfd58 0xfd49 0xfd66 0xfc5c 0xf901 0xf8ce 0xf8d5 0xf8ec 0xf96b 0xf9ad 0xfa1e 0xfa8c 0xfb12 0xfbb7 
0xfdc8 0xfd49 0xfc89 0xfd2a 0xfd8b 0xfc5f 0xf8ad 0xf880 0xf885 0xf89f 0xf907 0xf957 0xf9c6 0xfa57 0xfaff 0xfb80 
0xfddd 0xfd5c 0xfcd0 0xfd31 0xfd9a 0xfc77 0xf8b4 0xf854 0xf873 0xf8a4 0xf8ee 0xf956 0xf9ef 0xfa73 0xfb01 0xfb81 
0xfdb9 0xfd84 0xfcf3 0xfd59 0xfd9a 0xfc68 0xf888 0xf885 0xf84b 0xf888 0xf905 0xf957 0xf9e2 0xfa63 0xfaff 0xfb94 
0xfdda 0xfd8b 0xfd8c 0xfd57 0xfd84 0xfc56 0xf8eb 0xf88f 0xf88e 0xf8cc 0xf935 0xf992 0xfa0b 0xfa96 0xfb2d 0xfbb1 
0xfd4c 0xfcc7 0xfd1d 0xfd5e 0xfd54 0xfc4b 0xf8fb 0xf8cd 0xf8c5 0xf8f8 0xf94c 0xf9d2 0xfa1b 0xfab6 0xfb38 0xfbd2 
0xfd3e 0xfc9d 0xfca5 0xfd68 0xfd57 0xfc13 0xf969 0xf945 0xf93c 0xf95f 0xf9c8 0xfa39 0xfa8e 0xfaf1 0xfb83 0xfc1a 
0xfd2e 0xfca3 0xfc52 0xfd69 0xfd1c 0xfbe7 0xf9c9 0xf9a8 0xf987 0xf9bc 0xfa25 0xfa7d 0xfad1 0xfb4e 0xfbc0 0xfccf 
0xfd2d 0xfcd4 0xfcc3 0xfd48 0xfcdd 0xfba5 0xfa39 0xf9f7 0xf9fc 0xfa2f 0xfaa1 0xfac8 0xfb3e 0xfb90 0xfc62 0xfd96 
0x5510 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd6b 0xf5a2 0x1f76 0xd78c 0xfffb 0xfff6 0x0004 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05e7 0x179c 0x179c 0x179c 0x179c 0x179b 0x179b 0x179b 0xfd69 0xcba7 0xce43 0xd702 0xfffc 0xfff6 0x0007 0x0007 
