1728233639
0xfd3d 0xfcb7 0xfbfa 0xfbad 0xfb60 0xfb17 0xfb04 0xfaef 0xfade 0xfb08 0xfb39 0xfb8b 0xfbba 0xfbea 0xfc6c 0xfd8e 
0xfd23 0xfcc0 0xfbce 0xfb6b 0xfb2a 0xfad3 0xfac8 0xfa82 0xfa90 0xfab3 0xfaf8 0xfb3a 0xfb7f 0xfbc6 0xfc25 0xfcd5 
0xfcf7 0xfc63 0xfb56 0xfb15 0xfa9d 0xfa58 0xfa45 0xfa1e 0xfa08 0xfa3b 0xfa7a 0xfac9 0xfb20 0xfb6e 0xfbde 0xfc45 
0xfd3f 0xfc0f 0xfb45 0xfad8 0xfa7c 0xfa18 0xfa04 0xf9d6 0xf9ce 0xfa02 0xfa40 0xfa9d 0xfae3 0xfb6f 0xfbce 0xfc43 
0xfd54 0xfb97 0xfb04 0xfa8c 0xfa1e 0xf9c9 0xf9a4 0xf9a0 0xf986 0xf9a9 0xf9fa 0xfa55 0xfab0 0xfb2a 0xfb98 0xfc14 
0xfd41 0xfb70 0xfafe 0xfa86 0xfa17 0xf9d0 0xf9a2 0xf981 0xf98c 0xf990 0xfa02 0xfa46 0xfaa4 0xfb1f 0xfb98 0xfc17 
0xfce2 0xfb47 0xfae0 0xfa8d 0xfa0c 0xf9ae 0xf98a 0xf95e 0xf961 0xf981 0xf9f7 0xfa40 0xfa8e 0xfb09 0xfb85 0xfc0b 
0xfcc8 0xfb5e 0xfb0a 0xfaae 0xfa36 0xf9db 0xf9b5 0xf9ae 0xf9a0 0xf9c4 0xfa35 0xfa69 0xfaab 0xfb33 0xfbc7 0xfc2c 
0xfc81 0xfb63 0xfb03 0xfaa9 0xfa31 0xf9d1 0xf9c8 0xf9ad 0xf9a4 0xf9ef 0xfa21 0xfa7f 0xfad0 0xfb3a 0xfbc0 0xfc38 
0xfc97 0xfb97 0xfb40 0xfaec 0xfa93 0xfa41 0xfa2a 0xfa0c 0xfa01 0xfa33 0xfa87 0xfad0 0xfb21 0xfb8c 0xfc18 0xfc69 
0xfc6d 0xfba0 0xfb53 0xfb0a 0xfacf 0xfa75 0xfa78 0xfa59 0xfa52 0xfa59 0xfab7 0xfaee 0xfb5a 0xfba7 0xfc19 0xfca0 
0xfc7a 0xfbb6 0xfb93 0xfb2f 0xfaf4 0xfac3 0xfaca 0xfa93 0xfab6 0xfaae 0xfb13 0xfb4c 0xfbac 0xfbf8 0xfc7a 0xfd43 
0x556a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdb5 0xf5c6 0x1fb6 0xd773 0xfffa 0xfff9 0x0006 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0584 0x1610 0x1610 0x1610 0x1610 0x160f 0x160f 0x160f 0xfdaf 0xccc2 0xced5 0xd7f1 0xfff9 0xfff6 0x0008 0x000b 
