1728233639
0xfda6 0xfd9c 0xfdb4 0xfd9e 0xfd61 0xfd0c 0xfc62 0xfb5c 0xfa8d 0xfa42 0xfa7b 0xfaaa 0xfafa 0xfb45 0xfbc4 0xfc1a 
0xfd97 0xfd47 0xfd31 0xfcd9 0xfc21 0xfabc 0xf9ff 0xf9b8 0xf9a8 0xf9da 0xfa32 0xfa5f 0xfac4 0xfb07 0xfb7f 0xfbe1 
0xfd0e 0xfc76 0xfb8d 0xfaa8 0xf9f8 0xf997 0xf957 0xf952 0xf93a 0xf95f 0xf9aa 0xfa00 0xfa4c 0xfabb 0xfb4d 0xfbaf 
0xfc57 0xfb17 0xfa90 0xfa16 0xf999 0xf93b 0xf903 0xf8eb 0xf8e4 0xf910 0xf973 0xf9bc 0xfa0f 0xfa79 0xfb1b 0xfb92 
0xfb53 0xfaaa 0xfa48 0xf9d6 0xf950 0xf8ea 0xf8be 0xf8b8 0xf89b 0xf8df 0xf92c 0xf978 0xf9be 0xfa43 0xfaed 0xfb6f 
0xfb35 0xfac0 0xfa3f 0xf9be 0xf93a 0xf8dc 0xf8c8 0xf88f 0xf884 0xf8c2 0xf913 0xf94e 0xf9c1 0xfa3f 0xfade 0xfb85 
0xfb2b 0xfa8e 0xfa21 0xf9a7 0xf921 0xf8b3 0xf89b 0xf89d 0xf865 0xf899 0xf8e1 0xf94a 0xf9c2 0xfa2f 0xfaec 0xfb65 
0xfb3b 0xfab0 0xfa4d 0xf9b9 0xf946 0xf8f5 0xf8f7 0xf8bb 0xf8a1 0xf8dc 0xf927 0xf976 0xf9d7 0xfa5d 0xfaef 0xfb92 
0xfb34 0xfab1 0xfa51 0xf9e7 0xf974 0xf90c 0xf8d6 0xf8de 0xf8ee 0xf8e6 0xf93b 0xf9bd 0xfa05 0xfa69 0xfb26 0xfb96 
0xfb5b 0xfaee 0xfa8f 0xfa20 0xf9b7 0xf975 0xf971 0xf92c 0xf950 0xf945 0xf99d 0xfa09 0xfa54 0xfac7 0xfb55 0xfbd3 
0xfb6f 0xfb01 0xfabc 0xfa70 0xfa18 0xf9bc 0xf9bb 0xf98a 0xf98e 0xf9a5 0xf9e0 0xfa2b 0xfa9f 0xfaf9 0xfb83 0xfbf8 
0xfbfc 0xfb1b 0xfae6 0xfa73 0xfa35 0xfa03 0xfa0d 0xf9f2 0xf9ec 0xfa12 0xfa63 0xfa9c 0xfafc 0xfb54 0xfbc5 0xfc26 
0x5563 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd1d 0xf538 0x20e4 0xd7f5 0xfff8 0xfff7 0x0007 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b6 0x16d9 0x16d9 0x16d9 0x16d9 0x16d9 0x16d9 0x16d9 0xfd19 0xcc5f 0xcf30 0xd721 0xfffa 0xfff5 0x0008 0x000a 
