1728233699
0xfdcb 0xfdb5 0xfdea 0xfdc5 0xfd63 0xfc7c 0xfaa5 0xfa35 0xfa47 0xfa46 0xfa83 0xfab5 0xfb03 0xfb4d 0xfbcb 0xfc21 
0xfdce 0xfde6 0xfdc5 0xfd50 0xfc66 0xfa6a 0xf9e5 0xf9c1 0xf9b5 0xf9e8 0xfa3f 0xfa6c 0xfacd 0xfb12 0xfb8b 0xfbeb 
0xfdc5 0xfda0 0xfd30 0xfbbc 0xfa49 0xf9a4 0xf964 0xf95e 0xf948 0xf96b 0xf9b7 0xfa0d 0xfa57 0xfac3 0xfb58 0xfbba 
0xfdb8 0xfce6 0xfc17 0xfa68 0xf9aa 0xf94b 0xf917 0xf8f8 0xf8f5 0xf920 0xf97d 0xf9c6 0xfa1d 0xfa84 0xfb26 0xfb9a 
0xfd4f 0xfc64 0xfabc 0xf9e8 0xf961 0xf8fc 0xf8cd 0xf8cb 0xf8ab 0xf8ee 0xf93b 0xf986 0xf9cf 0xfa52 0xfaf4 0xfb7c 
0xfcf3 0xfb56 0xfa52 0xf9d1 0xf94c 0xf8ee 0xf8d9 0xf89d 0xf897 0xf8d1 0xf925 0xf95d 0xf9cc 0xfa4b 0xfaeb 0xfb92 
0xfbdf 0xfa9f 0xfa31 0xf9b7 0xf934 0xf8c2 0xf8ae 0xf8ad 0xf874 0xf8a8 0xf8f4 0xf959 0xf9cf 0xfa3b 0xfaf6 0xfb6f 
0xfb4b 0xfac0 0xfa58 0xf9c7 0xf956 0xf908 0xf907 0xf8ca 0xf8af 0xf8eb 0xf934 0xf987 0xf9e5 0xfa6b 0xfaff 0xfb9e 
0xfb43 0xfabd 0xfa61 0xf9f6 0xf984 0xf91c 0xf8e2 0xf8eb 0xf8f9 0xf8f1 0xf94a 0xf9cd 0xfa13 0xfa75 0xfb33 0xfba4 
0xfb67 0xfaf9 0xfa99 0xfa2e 0xf9c3 0xf97f 0xf97e 0xf93a 0xf95c 0xf953 0xf9aa 0xfa17 0xfa61 0xfad7 0xfb64 0xfbdd 
0xfb78 0xfb08 0xfac5 0xfa7d 0xfa20 0xf9c5 0xf9c8 0xf997 0xf996 0xf9b1 0xf9eb 0xfa38 0xfaaa 0xfb05 0xfb8e 0xfc04 
0xfc00 0xfb23 0xfaef 0xfa7d 0xfa3d 0xfa0d 0xfa14 0xf9fc 0xf9f8 0xfa1b 0xfa6c 0xfaa7 0xfb05 0xfb5c 0xfbcf 0xfc2d 
0x558a 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd23 0xf539 0x20f9 0xd7f5 0xfff7 0xfffa 0x0008 0x0007 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05b2 0x16ca 0x16ca 0x16ca 0x16ca 0x16c9 0x16c9 0x16c9 0xfd21 0xcc5d 0xcf2f 0xd721 0xfff8 0xfff7 0x000a 0x000a 
