1728233729
0xfe21 0xfe41 0xfe44 0xfe13 0xfdb0 0xfddb 0xfdbe 0xfd7a 0xfcf0 0xfc24 0xfb14 0xfb1f 0xfb2f 0xfb59 0xfbd6 0xfc8c 
0xfe75 0xfe70 0xfe6e 0xfe49 0xfdfd 0xfd4f 0xfd7d 0xfd43 0xfce1 0xfcee 0xfbb2 0xfae5 0xfb0e 0xfb51 0xfbb4 0xfc23 
0xfe52 0xfe6d 0xfe67 0xfe4b 0xfe29 0xfd93 0xfda5 0xfd56 0xfc7f 0xfc9c 0xfcbf 0xfaff 0xfaba 0xfaf9 0xfb78 0xfbdc 
0xfe87 0xfe7b 0xfe89 0xfe75 0xfe24 0xfde6 0xfdc3 0xfd87 0xfc7a 0xfd21 0xfcb1 0xfbc0 0xfad1 0xfafc 0xfb5e 0xfbee 
0xfe6f 0xfe73 0xfe70 0xfe77 0xfe50 0xfe10 0xfdb6 0xfdda 0xfcb8 0xfd2b 0xfd13 0xfc7c 0xfaaf 0xfad4 0xfb51 0xfbb9 
0xfe83 0xfe73 0xfe79 0xfe7e 0xfe58 0xfe5a 0xfdde 0xfdf9 0xfd5d 0xfd17 0xfd6b 0xfc59 0xfb1a 0xfaff 0xfb58 0xfbc3 
0xfe47 0xfe4a 0xfdfa 0xfdec 0xfe31 0xfe38 0xfdcb 0xfdd9 0xfdbf 0xfd30 0xfcdb 0xfc4f 0xfb5e 0xfaf2 0xfb5f 0xfbd5 
0xfe53 0xfe33 0xfe05 0xfd5e 0xfcdc 0xfe1d 0xfde4 0xfdff 0xfde1 0xfcb0 0xfc89 0xfc91 0xfb9d 0xfb2a 0xfb8a 0xfbf4 
0xfe0f 0xfe07 0xfd72 0xfcf1 0xfc8e 0xfdab 0xfdce 0xfdbd 0xfdb9 0xfd97 0xfcdd 0xfcaf 0xfb7c 0xfb44 0xfb92 0xfc15 
0xfdfa 0xfe0e 0xfdd6 0xfd6d 0xfd11 0xfd1e 0xfd70 0xfd4b 0xfd8f 0xfda8 0xfd74 0xfce3 0xfbbc 0xfb80 0xfbdf 0xfc5a 
0xfd7d 0xfdd2 0xfdc8 0xfd86 0xfd55 0xfcfd 0xfd2e 0xfc97 0xfceb 0xfd62 0xfd8f 0xfcca 0xfbc3 0xfbcf 0xfc18 0xfd05 
0xfda1 0xfdac 0xfdbb 0xfd8a 0xfd90 0xfd74 0xfd0e 0xfc87 0xfc93 0xfcdc 0xfd6c 0xfcaf 0xfbf8 0xfc07 0xfcb2 0xfdc9 
0x5572 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd8f 0xf5a5 0x1fa0 0xd78d 0xfffc 0xfffd 0x0006 0x0006 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05de 0x1778 0x1778 0x1778 0x1778 0x1777 0x1777 0x1777 0xfd8d 0xcba0 0xce42 0xd701 0xfffe 0xfff9 0x000c 0x000a 
