1728233789
0xfe69 0xfe6c 0xfe4d 0xfe0c 0xfd37 0xfb7b 0xfb1f 0xfb0e 0xfafe 0xfb21 0xfb50 0xfb9d 0xfbce 0xfbfc 0xfc7a 0xfd99 
0xfe98 0xfe6e 0xfe2c 0xfd64 0xfba8 0xfaf5 0xfae7 0xfaa4 0xfab1 0xfad3 0xfb10 0xfb50 0xfb96 0xfbdc 0xfc38 0xfcdf 
0xfe5c 0xfe10 0xfd6a 0xfbaa 0xfac4 0xfa7d 0xfa6a 0xfa40 0xfa29 0xfa5d 0xfa96 0xfae6 0xfb39 0xfb85 0xfbf1 0xfc53 
0xfe39 0xfdad 0xfbff 0xfafa 0xfa9e 0xfa3b 0xfa27 0xf9f9 0xf9f3 0xfa25 0xfa60 0xfab8 0xfaff 0xfb89 0xfbe3 0xfc58 
0xfdb3 0xfc40 0xfb25 0xfaaf 0xfa43 0xf9ef 0xf9c9 0xf9c4 0xf9ad 0xf9cc 0xfa1c 0xfa72 0xfac9 0xfb45 0xfbae 0xfc28 
0xfce0 0xfb81 0xfb1c 0xfaa7 0xfa3a 0xf9f5 0xf9c5 0xf9a4 0xf9af 0xf9b5 0xfa22 0xfa63 0xfac3 0xfb37 0xfbad 0xfc28 
0xfbde 0xfb5b 0xfafc 0xfaaf 0xfa2b 0xf9d0 0xf9ae 0xf985 0xf981 0xf9a2 0xfa17 0xfa60 0xfaa9 0xfb22 0xfb9e 0xfc1d 
0xfbe9 0xfb73 0xfb25 0xfac8 0xfa56 0xf9fd 0xf9d8 0xf9d1 0xf9c0 0xf9e9 0xfa54 0xfa87 0xfac8 0xfb4d 0xfbde 0xfc3e 
0xfbd9 0xfb76 0xfb1a 0xfac4 0xfa51 0xf9ef 0xf9e9 0xf9cf 0xf9c3 0xfa0d 0xfa3e 0xfa9b 0xfaec 0xfb55 0xfbd7 0xfc4a 
0xfc13 0xfbab 0xfb59 0xfb09 0xfab0 0xfa60 0xfa49 0xfa2a 0xfa21 0xfa56 0xfaa5 0xfaee 0xfb3b 0xfba6 0xfc2c 0xfc7d 
0xfc01 0xfbb4 0xfb6a 0xfb21 0xfae4 0xfa91 0xfa90 0xfa75 0xfa6f 0xfa77 0xfad2 0xfb0a 0xfb6f 0xfbbf 0xfc2e 0xfcb3 
0xfc29 0xfbc5 0xfba9 0xfb46 0xfb0b 0xfadc 0xfadf 0xfaac 0xfad0 0xfacc 0xfb2f 0xfb64 0xfbc2 0xfc0f 0xfc8b 0xfd54 
0x55bc 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdbd 0xf5ca 0x1fdb 0xd775 0xfffb 0xfffc 0x0005 0x0008 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057c 0x15f0 0x15f0 0x15f0 0x15f0 0x15ef 0x15ef 0x15ef 0xfdb9 0xccbf 0xced4 0xd7f2 0xfffd 0xfff5 0x0005 0x000b 
