1728233819
0xfead 0xfee4 0xfefe 0xff05 0xff0c 0xfef2 0xfefa 0xfeb7 0xfe0e 0xfc31 0xfb79 0xfbb8 0xfbe2 0xfc0f 0xfc8a 0xfda7 
0xfeb8 0xff16 0xff2d 0xff2b 0xff36 0xff33 0xff21 0xfea4 0xfd6a 0xfb21 0xfb2e 0xfb65 0xfbae 0xfbed 0xfc45 0xfcf1 
0xfe92 0xfeef 0xff17 0xff3f 0xff24 0xff1b 0xfee3 0xfe04 0xfb2d 0xfa84 0xfab4 0xfafd 0xfb4f 0xfb9a 0xfc02 0xfc66 
0xfeed 0xff19 0xff3c 0xff43 0xff2d 0xff01 0xfe8a 0xfc2b 0xfa25 0xfa46 0xfa7b 0xfad0 0xfb18 0xfb9d 0xfbf4 0xfc64 
0xfef6 0xff15 0xff1e 0xff13 0xfef2 0xfea1 0xfd45 0xfa24 0xf9d4 0xf9ef 0xfa37 0xfa8b 0xfae1 0xfb59 0xfbc2 0xfc38 
0xff23 0xff18 0xff13 0xfef3 0xfeca 0xfdfc 0xfaa3 0xf9cf 0xf9d5 0xf9d5 0xfa3c 0xfa7c 0xfadd 0xfb4d 0xfbbd 0xfc37 
0xfee5 0xfede 0xfed3 0xfecb 0xfe2d 0xfb3d 0xf9dc 0xf9a9 0xf9aa 0xf9c7 0xfa34 0xfa79 0xfac3 0xfb37 0xfbaf 0xfc2e 
0xfee1 0xfebd 0xfeb5 0xfe3e 0xfc07 0xfa34 0xf9fe 0xf9ef 0xf9e4 0xfa0b 0xfa6f 0xfaa1 0xfae2 0xfb62 0xfbee 0xfc50 
0xfe79 0xfe5e 0xfde3 0xfc32 0xfa8d 0xfa1c 0xfa0b 0xf9ee 0xf9e5 0xfa2f 0xfa5a 0xfab1 0xfb04 0xfb6b 0xfbe6 0xfc5a 
0xfe4a 0xfdca 0xfc60 0xfb43 0xfad5 0xfa81 0xfa67 0xfa47 0xfa41 0xfa70 0xfab9 0xfafe 0xfb4f 0xfbb6 0xfc3a 0xfc8a 
0xfd60 0xfc5c 0xfba3 0xfb45 0xfb02 0xfaaa 0xfaab 0xfa8e 0xfa8b 0xfa8e 0xfae6 0xfb1c 0xfb84 0xfbd0 0xfc3a 0xfcbe 
0xfc8f 0xfc01 0xfbc8 0xfb5c 0xfb20 0xfaef 0xfaf5 0xfac2 0xfae8 0xfadf 0xfb40 0xfb71 0xfbd3 0xfc1e 0xfc9a 0xfd5f 
0x55c6 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdcf 0xf5ca 0x1fe3 0xd775 0x0001 0xffff 0x0008 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057b 0x15ed 0x15ed 0x15ed 0x15ed 0x15ec 0x15ec 0x15ec 0xfdcb 0xccbe 0xced4 0xd7f2 0xfffd 0xfff9 0x000a 0x000d 
