1728233849
0xfe6f 0xfe7a 0xfece 0xff1f 0xff2d 0xff1a 0xff17 0xff02 0xfee3 0xfe5d 0xfcf9 0xfc2a 0xfc22 0xfc39 0xfca5 0xfdbb 
0xfeb7 0xfecc 0xfea3 0xff40 0xff59 0xff46 0xff60 0xff3d 0xff40 0xfeeb 0xfd8e 0xfbf6 0xfbf2 0xfc15 0xfc61 0xfd03 
0xfeaa 0xfe5d 0xfe65 0xff05 0xff43 0xff59 0xff6f 0xff64 0xff4d 0xff01 0xfdb7 0xfb83 0xfb8c 0xfbbc 0xfc17 0xfc72 
0xfed5 0xfe90 0xfefb 0xff4f 0xff72 0xff7e 0xff94 0xff7a 0xff6e 0xff19 0xfce5 0xfb3b 0xfb4b 0xfbbc 0xfc09 0xfc73 
0xfec2 0xfedb 0xff3a 0xff64 0xff67 0xff84 0xff88 0xff73 0xff42 0xfea9 0xfbb1 0xfad9 0xfb0b 0xfb78 0xfbd5 0xfc46 
0xfef9 0xff43 0xff70 0xff7e 0xff85 0xff81 0xff80 0xff67 0xff28 0xfe2e 0xfaf2 0xfab7 0xfaff 0xfb66 0xfbd3 0xfc46 
0xff0e 0xff33 0xff5d 0xff75 0xff63 0xff4f 0xff4b 0xff3b 0xfef3 0xfc91 0xfa93 0xfaa6 0xfadf 0xfb4f 0xfbc1 0xfc3a 
0xff1b 0xff3d 0xff61 0xff5b 0xff4c 0xff47 0xff44 0xff36 0xfe9c 0xfb02 0xfaaf 0xfac5 0xfafc 0xfb73 0xfbfc 0xfc5a 
0xfef2 0xff14 0xff2f 0xff32 0xff19 0xff31 0xff2b 0xfef4 0xfc2c 0xfa9d 0xfa8d 0xfad0 0xfb14 0xfb79 0xfbf2 0xfc67 
0xfef4 0xfefd 0xff11 0xff09 0xff16 0xff17 0xfef9 0xfd5f 0xfaf3 0xfabd 0xfae3 0xfb13 0xfb5e 0xfbc5 0xfc44 0xfc92 
0xfe85 0xfeb7 0xfec5 0xfedb 0xfed5 0xfe88 0xfd7c 0xfb6f 0xfaf0 0xfac6 0xfb04 0xfb2b 0xfb90 0xfbdd 0xfc45 0xfcca 
0xfe72 0xfe78 0xfe8b 0xfe72 0xfe10 0xfd08 0xfbc7 0xfb37 0xfb2b 0xfb04 0xfb52 0xfb80 0xfbe2 0xfc2a 0xfca4 0xfd67 
0x55c8 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfdd9 0xf5c9 0x1fe3 0xd774 0x0002 0xffff 0x0008 0x000a 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x057b 0x15ec 0x15ec 0x15ec 0x15ec 0x15eb 0x15eb 0x15eb 0xfdd8 0xccbd 0xced3 0xd7f1 0x0000 0xfffd 0x000a 0x0010 
