1728233879
0xfcd7 0xfbc6 0xfb93 0xfb2c 0xfad1 0xfa95 0xfa7e 0xfa5a 0xfa6f 0xfa70 0xfab0 0xfb77 0xfd27 0xfdb6 0xfe14 0xfe2c 
0xfc20 0xfb9a 0xfb3f 0xfae0 0xfa85 0xfa2b 0xfa0a 0xf9eb 0xf9dd 0xfa15 0xfa6b 0xfa9d 0xfb9d 0xfd21 0xfdd8 0xfe20 
0xfbc2 0xfb41 0xfaea 0xfa81 0xfa1f 0xf9cb 0xf98c 0xf98e 0xf978 0xf99a 0xf9e3 0xfa3e 0xfa8c 0xfbc8 0xfd40 0xfde4 
0xfbaf 0xfb25 0xfabe 0xfa4a 0xf9cd 0xf972 0xf942 0xf92d 0xf928 0xf953 0xf9b0 0xf9f9 0xfa4f 0xfabb 0xfc5a 0xfd6f 
0xfb77 0xfad7 0xfa7b 0xfa0c 0xf987 0xf92b 0xf901 0xf8fa 0xf8e2 0xf925 0xf96f 0xf9b8 0xfa00 0xfa82 0xfb2f 0xfcc9 
0xfb61 0xfaec 0xfa74 0xf9fa 0xf978 0xf920 0xf909 0xf8d5 0xf8cd 0xf908 0xf959 0xf994 0xf9ff 0xfa7a 0xfb13 0xfbe3 
0xfb56 0xfabf 0xfa55 0xf9e0 0xf961 0xf8f3 0xf8e0 0xf8e3 0xf8ae 0xf8dc 0xf926 0xf990 0xf9fd 0xfa6b 0xfb1e 0xfb93 
0xfb68 0xfae2 0xfa83 0xf9f2 0xf982 0xf939 0xf93b 0xf900 0xf8e6 0xf920 0xf966 0xf9b7 0xfa12 0xfa96 0xfb24 0xfbbb 
0xfb64 0xfae2 0xfa8c 0xfa21 0xf9b4 0xf94e 0xf914 0xf91f 0xf92e 0xf926 0xf97a 0xf9fc 0xfa39 0xfa9f 0xfb54 0xfbc1 
0xfb86 0xfb1e 0xfabf 0xfa5a 0xf9f0 0xf9b1 0xf9af 0xf96a 0xf98e 0xf980 0xf9d7 0xfa45 0xfa89 0xfaf8 0xfb7f 0xfbf8 
0xfb96 0xfb2d 0xfaeb 0xfaa5 0xfa4c 0xf9f4 0xf9f2 0xf9c2 0xf9c5 0xf9dd 0xfa17 0xfa5d 0xfad0 0xfb25 0xfba8 0xfc1a 
0xfc1f 0xfb43 0xfb10 0xfaa2 0xfa64 0xfa37 0xfa3c 0xfa28 0xfa1d 0xfa42 0xfa8e 0xfacc 0xfb27 0xfb7d 0xfbe4 0xfc44 
0x561b 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0x7fff 0xfd2c 0xf53f 0x213e 0xd7f6 0xfff8 0xfffa 0x0007 0x0004 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x0001 0x05a4 0x1693 0x1693 0x1693 0x1693 0x1692 0x1692 0x1692 0xfd2b 0xcc57 0xcf2d 0xd722 0xfffa 0xfff6 0x000a 0x000c 
